sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Arizona nights This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.07,0.109,0.821,negative,Arizona nights
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Arizona nights
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Arizona nights
"Title : Arizona nights Author : Stewart Edward White Release date : December 1, 1996 [eBook #753] Most recently updated: January 1, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/753 *** START OF THE PROJECT GUTENBERG EBOOK ARIZONA NIGHTS *** ARIZONA NIGHTS by STEWART EDWARD WHITE TABLE OF CONTENTS CHAP.",0.0,0.0,0.0,1.0,neutral,Arizona nights
I.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE OLE VIRGINIA II.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE EMIGRANTS III.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE REMITTANCE MAN IV.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE CATTLE RUSTLERS V. THE DRIVE VI.,0.0,0.0,0.0,1.0,neutral,Arizona nights
CUTTING OUT VII.,-0.128,0.0,0.429,0.571,negative,Arizona nights
A CORNER IN HORSES VIII.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE CORRAL BRANDING IX.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE OLD TIMER X.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE TEXAS RANGERS XI.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE SAILOR WITH ONE HAND XII.,0.4939,0.39,0.0,0.61,positive,Arizona nights
THE MURDER ON THE BEACH XIII.,-0.6908,0.0,0.485,0.515,negative,Arizona nights
BURIED TREASURE XIV.,0.296,0.524,0.0,0.476,positive,Arizona nights
THE CHEWED SUGAR CANE XV.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE CALABASH STEW XVI.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE HONK-HONK BREED PART II--THE TWO GUN MAN I.,-0.34,0.0,0.231,0.769,negative,Arizona nights
THE CATTLE RUSTLERS II.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE MAN WITH NERVE III.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE AGREEMENT IV.,0.4939,0.615,0.0,0.385,positive,Arizona nights
THE ACCOMPLISHMENT PART III--THE RAWHIDE I.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE PASSING OF THE COLT'S FORTY-FIVE II.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE SHAPES OF ILLUSION III.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE PAPER A YEAR OLD IV.,0.0,0.0,0.0,1.0,neutral,Arizona nights
DREAMS V. THE ARRIVAL VI.,0.4019,0.403,0.0,0.597,positive,Arizona nights
THE WAGON TIRE VII.,0.0,0.0,0.0,1.0,neutral,Arizona nights
ESTRELLA VIII.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE ROUND-UP IX.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE LONG TRAIL X.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE DISCOVERY XI.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE CAPTURE XII.,0.0,0.0,0.0,1.0,neutral,Arizona nights
IN THE ARROYO XIII.,0.0,0.0,0.0,1.0,neutral,Arizona nights
THE RAWHIDE XIV.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"THE DESERT CHAPTER ONE THE OLE VIRGINIA The ring around the sun had thickened all day long, and the turquoise blue of the Arizona sky had filmed.",0.0,0.0,0.0,1.0,neutral,Arizona nights
"Storms in the dry countries are infrequent, but heavy; and this surely meant storm.",0.677,0.26,0.0,0.74,positive,Arizona nights
"We had ridden since sun-up over broad mesas, down and out of deep canons, along the base of the mountain in the wildest parts of the territory.",0.0,0.0,0.0,1.0,neutral,Arizona nights
The cattle were winding leisurely toward the high country; the jack rabbits had disappeared; the quail lacked; we did not see a single antelope in the open.,-0.2263,0.0,0.071,0.929,negative,Arizona nights
"""It's a case of hole up,"" the Cattleman ventured his opinion.",0.0,0.0,0.0,1.0,neutral,Arizona nights
"""I have a ranch over in the Double R. Charley and Windy Bill hold it down.",0.0,0.0,0.0,1.0,neutral,Arizona nights
We'll tackle it.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"What do you think?""",0.0,0.0,0.0,1.0,neutral,Arizona nights
The four cowboys agreed.,0.2732,0.412,0.0,0.588,positive,Arizona nights
"We dropped into a low, broad watercourse, ascended its bed to big cottonwoods and flowing water, followed it into box canons between rim-rock carved fantastically and painted like a Moorish facade, until at last in a widening below a rounded hill, we came upon an adobe house, a fruit tree, and a round corral.",0.1027,0.049,0.042,0.909,positive,Arizona nights
This was the Double R. Charley and Windy Bill welcomed us with soda biscuits.,0.34,0.156,0.0,0.844,positive,Arizona nights
"We turned our horses out, spread our beds on the floor, filled our pipes, and squatted on our heels.",0.0,0.0,0.0,1.0,neutral,Arizona nights
Various dogs of various breeds investigated us.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"It was very pleasant, and we did not mind the ring around the sun.",0.5563,0.217,0.0,0.783,positive,Arizona nights
"""Somebody else coming,"" announced the Cattleman finally.",0.0,0.0,0.0,1.0,neutral,Arizona nights
"""Uncle Jim,"" said Charley, after a glance.",0.0,0.0,0.0,1.0,neutral,Arizona nights
A hawk-faced old man with a long white beard and long white hair rode out from the cottonwoods.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"He had on a battered broad hat abnormally high of crown, carried across his saddle a heavy ""eight square"" rifle, and was followed by a half-dozen lolloping hounds.",0.0,0.0,0.0,1.0,neutral,Arizona nights
"The largest and fiercest of the latter, catching sight of our group, launched himself with lightning rapidity at the biggest of the ranch dogs, promptly nailed that canine by the back of the neck, shook him violently a score of times, flung him aside, and pounced on the next.",-0.5719,0.029,0.101,0.87,negative,Arizona nights
During the ensuing few moments that hound was the busiest thing in the West.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"He satisfactorily whipped four dogs, pursued two cats up a tree, upset the Dutch oven and the rest of the soda biscuits, stampeded the horses, and raised a cloud of dust adequate to represent the smoke of battle.",-0.1779,0.108,0.125,0.767,negative,Arizona nights
We others were too paralysed to move.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"Uncle Jim sat placidly on his white horse, his thin knees bent to the ox-bow stirrups, smoking.",0.0,0.0,0.0,1.0,neutral,Arizona nights
"In ten seconds the trouble was over, principally because there was no more trouble to make.",-0.765,0.0,0.369,0.631,negative,Arizona nights
"The hound returned leisurely, licking from his chops the hair of his victims.",-0.3182,0.0,0.161,0.839,negative,Arizona nights
Uncle Jim shook his head.,-0.1027,0.0,0.259,0.741,negative,Arizona nights
"""Trailer,"" said he sadly, ""is a little severe.""",-0.4215,0.0,0.318,0.682,negative,Arizona nights
"We agreed heartily, and turned in to welcome Uncle Jim with a fresh batch of soda biscuits.",0.7506,0.363,0.0,0.637,positive,Arizona nights
"The old man was one of the typical ""long hairs.""",0.0,0.0,0.0,1.0,neutral,Arizona nights
"He had come to the Galiuro Mountains in '69, and since '69 he had remained in the Galiuro Mountains, spite of man or the devil.",-0.8316,0.0,0.253,0.747,negative,Arizona nights
"At present he possessed some hundreds of cattle, which he was reputed to water, in a dry season, from an ordinary dishpan.",0.0,0.0,0.0,1.0,neutral,Arizona nights
In times past he had prospected.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"That evening, the severe Trailer having dropped to slumber, he held forth on big-game hunting and dogs, quartz claims and Apaches.",-0.3818,0.0,0.115,0.885,negative,Arizona nights
"""Did you ever have any very close calls?""",0.0,0.0,0.0,1.0,neutral,Arizona nights
I asked.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"He ruminated a few moments, refilled his pipe with some awful tobacco, and told the following experience: In the time of Geronimo I was living just about where I do now; and that was just about in line with the raiding.",-0.4588,0.0,0.075,0.925,negative,Arizona nights
"You see, Geronimo, and Ju [1], and old Loco used to pile out of the reservation at Camp Apache, raid south to the line, slip over into Mexico when the soldiers got too promiscuous, and raid there until they got ready to come back.",0.296,0.055,0.028,0.917,positive,Arizona nights
Then there was always a big medicine talk.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"Says Geronimo: ""I am tired of the warpath.",-0.4404,0.0,0.293,0.707,negative,Arizona nights
"I will come back from Mexico with all my warriors, if you will escort me with soldiers and protect my people.""",0.3818,0.12,0.0,0.88,positive,Arizona nights
"""All right,"" says the General, being only too glad to get him back at all.",0.4588,0.176,0.0,0.824,positive,Arizona nights
"So, then, in ten minutes there wouldn't be a buck in camp, but next morning they shows up again, each with about fifty head of hosses.",0.0,0.0,0.0,1.0,neutral,Arizona nights
"""Where'd you get those hosses?""",0.0,0.0,0.0,1.0,neutral,Arizona nights
"asks the General, suspicious.",-0.3612,0.0,0.455,0.545,negative,Arizona nights
"""Had 'em pastured in the hills,"" answers Geronimo.",0.0,0.0,0.0,1.0,neutral,Arizona nights
"""I can't take all those hosses with me; I believe they're stolen!""",0.0,0.0,0.0,1.0,neutral,Arizona nights
says the General.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"""My people cannot go without their hosses,"" says Geronimo.",0.0,0.0,0.0,1.0,neutral,Arizona nights
"So, across the line they goes, and back to the reservation.",0.0,0.0,0.0,1.0,neutral,Arizona nights
In about a week there's fifty-two frantic Greasers wanting to know where's their hosses.,-0.4404,0.0,0.195,0.805,negative,Arizona nights
"The army is nothing but an importer of stolen stock, and knows it, and can't help it.",-0.8013,0.0,0.324,0.676,negative,Arizona nights
"Well, as I says, I'm between Camp Apache and the Mexican line, so that every raiding party goes right on past me.",0.5859,0.202,0.0,0.798,positive,Arizona nights
"The point is that I'm a thousand feet or so above the valley, and the renegades is in such a devil of a hurry about that time that they never stop to climb up and collect me.",-0.5442,0.049,0.115,0.836,negative,Arizona nights
Often I've watched them trailing down the valley in a cloud of dust.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"Then, in a day or two, a squad of soldiers would come up, and camp at my spring for a while.",0.0,0.0,0.0,1.0,neutral,Arizona nights
They used to send soldiers to guard every water hole in the country so the renegades couldn't get water.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"After a while, from not being bothered none, I got thinking I wasn't worth while with them.",0.0762,0.126,0.107,0.768,positive,Arizona nights
Me and Johnny Hooper were pecking away at the old Virginia mine then.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"We'd got down about sixty feet, all timbered, and was thinking of cross-cutting.",0.0,0.0,0.0,1.0,neutral,Arizona nights
"One day Johnny went to town, and that same day I got in a hurry and left my gun at camp.",-0.34,0.0,0.118,0.882,negative,Arizona nights
"I worked all the morning down at the bottom of the shaft, and when I see by the sun it was getting along towards noon, I put in three good shots, tamped 'em down, lit the fusees, and started to climb out.",0.4404,0.071,0.0,0.929,positive,Arizona nights
"It ain't noways pleasant to light a fuse in a shaft, and then have to climb out a fifty-foot ladder, with it burning behind you.",-0.4023,0.0,0.114,0.886,negative,Arizona nights
I never did get used to it.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"You keep thinking, ""Now suppose there's a flaw in that fuse, or something, and she goes off in six seconds instead of two minutes?",0.0,0.0,0.0,1.0,neutral,Arizona nights
"where'll you be then?""",0.0,0.0,0.0,1.0,neutral,Arizona nights
"It would give you a good boost towards your home on high, anyway.",0.6808,0.359,0.0,0.641,positive,Arizona nights
"So I climbed fast, and stuck my head out the top without looking--and then I froze solid enough.",0.1027,0.185,0.109,0.707,positive,Arizona nights
"There, about fifty feet away, climbing up the hill on mighty tired hosses, was a dozen of the ugliest Chiricahuas you ever don't want to meet, and in addition a Mexican renegade named Maria, who was worse than any of 'em.",-0.8756,0.0,0.239,0.761,negative,Arizona nights
"I see at once their hosses was tired out, and they had a notion of camping at my water hole, not knowing nothing about the Ole Virginia mine.",-0.4404,0.0,0.104,0.896,negative,Arizona nights
"For two bits I'd have let go all holts and dropped backwards, trusting to my thick head for easy lighting.",0.6808,0.237,0.0,0.763,positive,Arizona nights
Then I heard a little fizz and sputter from below.,0.0,0.0,0.0,1.0,neutral,Arizona nights
At that my hair riz right up so I could feel the breeze blow under my hat.,0.0,0.0,0.0,1.0,neutral,Arizona nights
"For about six seconds I stood there like an imbecile, grinning amiably.",0.2023,0.309,0.198,0.494,positive,Arizona nights
"Then one of the Chiricahuas made a sort of grunt, and I sabed that they'd seen the original exhibit your Uncle Jim was making of himself.",0.3182,0.091,0.0,0.909,positive,Arizona nights
"Then that fuse gave another sputter and one of the Apaches said ""Un dah.""",0.0,0.0,0.0,1.0,neutral,Arizona nights
"That means ""white man.""",0.0,0.0,0.0,1.0,neutral,Arizona nights
"It was harder to turn my head than if I'd had a stiff neck; but I managed to do it, and I see that my ore dump wasn't more than ten foot away.",-0.5267,0.0,0.105,0.895,negative,Arizona nights
I mighty near overjumped it; and the next I knew I was on one side of it and those Apaches on the other.,0.0,0.0,0.0,1.0,neutral,Arizona nights
Probably I flew; leastways I don't seem to remember jumping.,0.0,0.0,0.0,1.0,neutral,Arizona nights
That didn't seem to do me much good.,0.4404,0.293,0.0,0.707,positive,Arizona nights
The renegades were grinning and laughing to think how easy a thing they had; and I couldn't rightly think up any arguments against that notion--at least from their standpoint.,0.7096,0.251,0.079,0.671,positive,Arizona nights
They were chattering away to each other in Mexican for the benefit of Maria.,0.4588,0.188,0.0,0.812,positive,Arizona nights
"Oh, they had me all distributed, down to my suspender buttons!",0.0,0.0,0.0,1.0,neutral,Arizona nights
And me squatting behind that ore dump about as formidable as a brush rabbit!,-0.4389,0.0,0.194,0.806,negative,Arizona nights
"Then, all at once, one of my shots went off down in the shaft.",0.0,0.0,0.0,1.0,neutral,Arizona nights
"""Boom!""",0.0,0.0,0.0,1.0,neutral,Arizona nights
"says she, plenty big; and a slather of rock, and stones come out of the mouth, and began to dump down promiscuous on the scenery.",-0.4404,0.0,0.151,0.849,negative,Arizona nights
"I got one little one in the shoulder-blade, and found time to wish my ore dump had a roof.",0.0258,0.133,0.128,0.739,neutral,Arizona nights
But those renegades caught it square in the thick of trouble.,-0.5499,0.0,0.262,0.738,negative,Arizona nights
"One got knocked out entirely for a minute, by a nice piece of country rock in the head.",0.4215,0.157,0.0,0.843,positive,Arizona nights
"""Otra vez!""",0.0,0.0,0.0,1.0,neutral,Arizona nights
"yells I, which means ""again.""",0.0,0.0,0.0,1.0,neutral,Arizona nights
"""Boom!""",0.0,0.0,0.0,1.0,neutral,Arizona nights
