sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Twenty Years at Hull House; with Autobiographical Notes This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.061,0.095,0.844,negative,Twenty Years at Hull House; with Autobiographical Notes
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Twenty Years at Hull House; with Autobiographical Notes
"Title : Twenty Years at Hull House; with Autobiographical Notes Author : Jane Addams Release date : May 1, 1998 [eBook #1325] Most recently updated: April 2, 2015 Language : English Other information and formats : www.gutenberg.org/ebooks/1325 *** START OF THE PROJECT GUTENBERG EBOOK TWENTY YEARS AT HULL HOUSE; WITH AUTOBIOGRAPHICAL NOTES *** deHTML from allhull.htm 1998 Apr 10 <alhambra@CapAccess.org> For Project Gutenberg [A Celebration of Women Writers] TWENTY YEARS AT HULL-HOUSE WITH AUTOBIOGRAPHICAL NOTES BY JANE ADDAMS HULL-HOUSE, CHICAGO AUTHOR OF ""DEMOCRACY AND SOCIAL ETHICS,"" ""NEWER IDEALS OF PEACE,"" ""THE SPIRIT OF YOUTH AND THE CITY STREETS,"" ETC.",0.608,0.051,0.0,0.949,positive,Twenty Years at Hull House; with Autobiographical Notes
"WITH ILLUSTRATIONS BY NORAH HAMILTON HULL-HOUSE, CHICAGO TO THE MEMORY OF MY FATHER PREFACE CONTENTS Preface vii I.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
EARLIEST IMPRESSIONS 1 II.,0.2263,0.487,0.0,0.513,positive,Twenty Years at Hull House; with Autobiographical Notes
INFLUENCE OF LINCOLN 23 III.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
BOARDING-SCHOOL IDEALS 43 IV.,0.368,0.458,0.0,0.542,positive,Twenty Years at Hull House; with Autobiographical Notes
THE SNARE OF PREPARATION 65 V. FIRST DAYS AT HULL-HOUSE 89 VI.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
THE SUBJECTIVE NECESSITY FOR SOCIAL SETTLEMENTS 113 VII.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
SOME EARLY UNDERTAKINGS AT HULL-HOUSE 129 VIII.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
PROBLEMS OF POVERTY 154 IX.,-0.8159,0.0,0.713,0.287,negative,Twenty Years at Hull House; with Autobiographical Notes
A DECADE OF ECONOMIC DISCUSSION 177 X.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
PIONEER LABOR LEGISLATION IN ILLINOIS 198 XI.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
IMMIGRANTS AND THEIR CHILDREN 231 XII.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
TOLSTOYISM 259 XIII.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
PUBLIC ACTIVITIES AND INVESTIGATIONS 281 XIV.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
CIVIC COOPERATION 310 XV.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
THE VALUE OF SOCIAL CLUBS 342 XVI.,0.4824,0.343,0.0,0.657,positive,Twenty Years at Hull House; with Autobiographical Notes
ARTS AT HULL-HOUSE 371 XVII.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
ECHOES OF THE RUSSIAN REVOLUTION 400 XVIII.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"SOCIALIZED EDUCATION 427 PLATES Jane Addams, from a photograph taken in 1899 Frontispiece John H. Addams, from a photograph taken in 1880 22 Ellen Gates Starr, from a photograph taken in 1906 64 A Hull-House Interior 88 A View from a Hull-House Window 112 A Spent Old Man 154 Sweatshop Workers 198 Chicago River at Halsted Street 258 Polk Street opposite Hull-House 280 Julia C. Lathrop 310 A Studio in Hull-House Court 370 A View between Hull-House Gymnasium and Theater 426 ILLUSTRATIONS IN THE TEXT Birthplace, Jane Addams, Cedarville, Illinois 4 Jane Addams, aged Seven, from a Photograph of 1867 7 Mill at Cedarville, Illinois 10 Stream at Cedarville, Illinois 22 Old Abe 42 Rockford College, Rockford, Illinois 44 Porto del Popolo, Rome 76 View of St. Peter's 88 Polk Street opposite Hull-House 95 South Halsted Street opposite Hull-House 96 Consulting the Hull-House Bulletin Board, from a Photograph by Lewis W. Hine 104 A Boy's Club Member 105 An Italian Woman with Grandchild 111 Portrait, Jane Addams, from a Charcoal Drawing by Alice Kellogg Tyler of 1892 114 Main Entrance to Hull-House 128 Head of Slavic Woman 134 Head of Italian Woman 135 A Doorway in Hull-House Court 149 Woman and Child in Hull-House Reception Room 154 In a Tenement House, Sick Mother and Children 164 A Row of Nursery Babies 168 A Neighborhood Alley 181 Hull-House on Halsted Street, Apartment House in Foreground 197 An Italian Sweatshop Worker 208 Out of Work, from a Drawing by Alice Kellogg Tyler 220 Head of Immigrant Woman 226 Aniello 235 Irish Spinner in the Hull-House Labor Museum 238 Scandinavian Weaver in the Hull-House Labor Museum 239 Italian Spinner in the Hull-House Labor Museum 241 An Italian Grocery opposite Hull-House 258 Sketches of Tolstoy Mowing 271 Head of Russian Immigrant 275 Rear Tenement in Hull-House Neighborhood 282 An Alley near Hull-House 293 A View from Hull-House Window 314 Alley between Hull-House Buildings 321 A Window in the Hull-House Library 346 An Italian Mother and Child 354 Facade of Bowen Hall 363 A Club Child listening to a Story 367 In the Hull-House Studio, from a Photograph by Lewis W. Hine 374 Exterior Hull-House Music School 379 In the Hull-House Music School 383 Terrace in the Hull-House Court 398 South Halsted Street 401 Russian Immigrant on Halsted Street, from a Photograph by Lewis W. Hine 416 Entrance to Hull-House Courtyard 426 Boy at Forge, Hull-House Boy's Club, from a Photograph by Lewis W. Hine 439 Steps to Hull-House Terrace 447 Waiting in the Hull-House Hall 453 [Editor: Mary Mark Ockerbloom] This book has been put on-line as part of the BUILD-A-BOOK Initiative at the Celebration of Women Writers through the combined work of: Adrienne Fermoyle, Andrea Jeddi, David Cheezem, Diana Camden, Flo Carriere, Jill Thoren, Judi Oswalt, Margaret Sylvia, Samantha M. Constant, Terri Perkins, and Mary Mark Ockerbloom.",-0.5106,0.0,0.007,0.993,negative,Twenty Years at Hull House; with Autobiographical Notes
"[Editor: Mary Mark Ockerbloom] [A Celebration of Women Writers] ""Preface.""",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
by Jane Addams (1860-1935) From: Twenty Years at Hull-House with Autobiographical Notes.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
