sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Relativity : the Special and General Theory This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.2732,0.12,0.096,0.784,positive,Relativity : the Special and General Theory
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Relativity : the Special and General Theory
"Title : Relativity : the Special and General Theory Author : Albert Einstein Translator : Robert W. Lawson Release date : February 1, 2004 [eBook #5001] Most recently updated: January 7, 2022 Language : English Original publication : Methuen & Co Ltd,, 1920 Other information and formats : www.gutenberg.org/ebooks/5001 Credits : Brian Basgen and Jeroen Hellingman Revised by Richard Tonsing.",0.7579,0.138,0.0,0.862,positive,Relativity : the Special and General Theory
*** START OF THE PROJECT GUTENBERG EBOOK RELATIVITY : THE SPECIAL AND GENERAL THEORY *** Albert Einstein.,0.5319,0.186,0.0,0.814,positive,Relativity : the Special and General Theory
"Relativity The Special and General Theory A Popular Exposition By Albert Einstein, Ph.D.",0.6705,0.355,0.0,0.645,positive,Relativity : the Special and General Theory
"Professor of Physics in the University of Berlin Authorised Translation by Robert W. Lawson, D.Sc.",0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
University of Sheffield 1916 Table of Contents Preface I.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Special Theory of Relativity I.,0.4019,0.351,0.0,0.649,positive,Relativity : the Special and General Theory
Physical Meaning of Geometrical Propositions II.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The System of Co-ordinates III.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Space and Time in Classical Mechanics IV.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Galileian System of Co-ordinates V. The Principle of Relativity in the Restricted Sense VI.,-0.3818,0.0,0.157,0.843,negative,Relativity : the Special and General Theory
The Theorem of the Addition of Velocities Employed in Classical Mechanics VII.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Apparent Incompatibility of the Law of Propagation of Light with the Principle of Relativity VIII.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
On the Idea of Time in Physics IX.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Relativity of Simultaneity X.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
On the Relativity of the Conception of Distance XI.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Lorentz Transformation XII.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Behaviour of Measuring-Rods and Clocks in Motion XIII.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Theorem of the Addition of Velocities.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Experiment of Fizeau XIV.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Heuristic Value of the Theory of Relativity XV.,0.34,0.231,0.0,0.769,positive,Relativity : the Special and General Theory
General Results of the Theory XVI.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Experience and the Special Theory of Relativity XVII.,0.4019,0.278,0.0,0.722,positive,Relativity : the Special and General Theory
Minkowski's Four-Dimensional Space II.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The General Theory of Relativity XVIII.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Special and General Principle of Relativity XIX.,0.4019,0.31,0.0,0.69,positive,Relativity : the Special and General Theory
The Gravitational Field XX.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Equality of Inertial and Gravitational Mass as an Argument for the General Postulate of Relativity XXI.,-0.3612,0.0,0.135,0.865,negative,Relativity : the Special and General Theory
In What Respects Are the Foundations of Classical Mechanics and of the Special Theory of Relativity Unsatisfactory?,0.6124,0.25,0.0,0.75,positive,Relativity : the Special and General Theory
XXII.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
A Few Inferences from the General Principle of Relativity XXIII.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Behaviour of Clocks and Measuring-Rods on a Rotating Body of Reference XXIV.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Euclidean and Non-Euclidean Continuum XXV.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Gaussian Co-Ordinates XXVI.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Space-Time Continuum of the Special Theory of Relativity Considered as a Euclidean Continuum XXVII.,0.4019,0.172,0.0,0.828,positive,Relativity : the Special and General Theory
The Space-Time Continuum of the General Theory of Relativity is Not a Euclidean Continuum XXVIII.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Exact Formulation of the General Principle of Relativity XXIX.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Solution of the Problem of Gravitation on the Basis of the General Principle of Relativity III.,-0.1027,0.115,0.135,0.75,negative,Relativity : the Special and General Theory
Considerations on the Universe as a Whole XXX.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Cosmological Difficulties of Newton's Theory XXXI.,-0.296,0.0,0.306,0.694,negative,Relativity : the Special and General Theory
"The Possibility of a ""Finite"" and yet ""Unbounded"" Universe XXXII.",0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Structure of Space According to the General Theory of Relativity I.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Simple Derivation of the Lorentz Transformation [Supplementary to Section XI] II.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
"Minkowski's Four-Dimensional Space (""World"") [Supplementary to Section XVII] III.",0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
The Experimental Confirmation of the General Theory of Relativity ( a ).,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Motion of the Perihelion of Mercury ( b ).,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Deflection of Light by a Gravitational Field ( c ).,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
Displacement of Spectral Lines Towards the Red IV.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
"The Structure of Space According to the General Theory of Relativity [Supplementary to Section XXXII] Preface The present book is intended, as far as possible, to give an exact insight into the theory of Relativity to those readers who, from a general scientific and philosophical point of view, are interested in the theory, but who are not conversant with the mathematical apparatus of theoretical physics.",0.2144,0.029,0.0,0.971,positive,Relativity : the Special and General Theory
"The work presumes a standard of education corresponding to that of a university matriculation examination, and, despite the shortness of the book, a fair amount of patience and force of will on the part of the reader.",0.3182,0.065,0.0,0.935,positive,Relativity : the Special and General Theory
"The author has spared himself no pains in his endeavour to present the main ideas in the simplest and most intelligible form, and on the whole, in the sequence and connection in which they actually originated.",-0.3197,0.066,0.123,0.811,negative,Relativity : the Special and General Theory
"In the interest of clearness, it appeared to me inevitable that I should repeat myself frequently, without paying the slightest attention to the elegance of the presentation.",0.7269,0.203,0.0,0.797,positive,Relativity : the Special and General Theory
"I adhered scrupulously to the precept of that brilliant theoretical physicist L. Boltzmann, according to whom matters of elegance ought to be left to the tailor and to the cobbler.",0.7906,0.235,0.0,0.765,positive,Relativity : the Special and General Theory
I make no pretence of having withheld from the reader difficulties which are inherent to the subject.,-0.5267,0.0,0.239,0.761,negative,Relativity : the Special and General Theory
"On the other hand, I have purposely treated the empirical physical foundations of the theory in a ""step-motherly"" fashion, so that readers unfamiliar with physics may not feel like the wanderer who was unable to see the forest for the trees.",0.2709,0.076,0.05,0.874,positive,Relativity : the Special and General Theory
May the book bring some one a few happy hours of suggestive thought!,0.6114,0.266,0.0,0.734,positive,Relativity : the Special and General Theory
"December, 1916 A. EINSTEIN PART I The Special Theory of Relativity I Physical Meaning of Geometrical Propositions In your schooldays most of you who read this book made acquaintance with the noble building of Euclid's geometry, and you remember--perhaps with more respect than love--the magnificent structure, on the lofty staircase of which you were chased about for uncounted hours by conscientious teachers.",0.9184,0.188,0.0,0.812,positive,Relativity : the Special and General Theory
"By reason of our past experience, you would certainly regard everyone with disdain who should pronounce even the most out-of-the-way proposition of this science to be untrue.",-0.1779,0.079,0.102,0.82,negative,Relativity : the Special and General Theory
"But perhaps this feeling of proud certainty would leave you immediately if some one were to ask you: ""What, then, do you mean by the assertion that these propositions are true?""",0.8067,0.233,0.035,0.732,positive,Relativity : the Special and General Theory
Let us proceed to give this question a little consideration.,0.0,0.0,0.0,1.0,neutral,Relativity : the Special and General Theory
