sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Picture of Dorian Gray This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,The Picture of Dorian Gray
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Picture of Dorian Gray
"Title : The Picture of Dorian Gray Author : Oscar Wilde Release date : October 1, 1994 [eBook #174] Most recently updated: September 17, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/174 Credits : Judith Boss.",0.3612,0.075,0.0,0.925,positive,The Picture of Dorian Gray
HTML version by Al Haines.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
*** START OF THE PROJECT GUTENBERG EBOOK THE PICTURE OF DORIAN GRAY *** The Picture of Dorian Gray by Oscar Wilde Contents THE PREFACE CHAPTER I.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER II.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER III.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER IV.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER V. CHAPTER VI.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER VII.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER VIII.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER IX.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER X.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER XI.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER XII.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER XIII.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER XIV.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER XV.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER XVI.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER XVII.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER XVIII.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER XIX.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
CHAPTER XX.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
THE PREFACE The artist is the creator of beautiful things.,0.5994,0.302,0.0,0.698,positive,The Picture of Dorian Gray
To reveal art and conceal the artist is art's aim.,0.0,0.0,0.0,1.0,neutral,The Picture of Dorian Gray
The critic is he who can translate into another manner or a new material his impression of beautiful things.,0.5719,0.253,0.092,0.655,positive,The Picture of Dorian Gray
The highest as the lowest form of criticism is a mode of autobiography.,-0.6705,0.0,0.355,0.645,negative,The Picture of Dorian Gray
Those who find ugly meanings in beautiful things are corrupt without being charming.,-0.3553,0.192,0.314,0.493,negative,The Picture of Dorian Gray
