sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of The Awakening, and Selected Short Stories This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",-0.1531,0.063,0.1,0.837,negative,"The Awakening, and Selected Short Stories"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"The Awakening, and Selected Short Stories"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"The Awakening, and Selected Short Stories"
"Title : The Awakening, and Selected Short Stories Author : Kate Chopin Release date : March 11, 2006 [eBook #160] Most recently updated: February 28, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/160 Credits : Judith Boss and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE AWAKENING, AND SELECTED SHORT STORIES *** The Awakening and Selected Short Stories by Kate Chopin Contents THE AWAKENING I II III IV V VI VII VIII IX X XI XII XIII XIV XV XVI XVII XVIII XIX XX XXI XXII XXIII XXIV XXV XXVI XXVII XXVIII XXIX XXX XXXI XXXII XXXIII XXXIV XXXV XXXVI XXXVII XXXVIII XXXIX BEYOND THE BAYOU MA'AME PÉLAGIE I II III IV DÉSIRÉE'S BABY A RESPECTABLE WOMAN THE KISS A PAIR OF SILK STOCKINGS THE LOCKET I II A REFLECTION THE AWAKENING I A green and yellow parrot, which hung in a cage outside the door, kept repeating over and over: "" Allez vous-en!",0.8738,0.068,0.0,0.932,positive,"The Awakening, and Selected Short Stories"
Allez vous-en!,0.0,0.0,0.0,1.0,neutral,"The Awakening, and Selected Short Stories"
Sapristi!,0.0,0.0,0.0,1.0,neutral,"The Awakening, and Selected Short Stories"
"That's all right!""",0.0,0.0,0.0,1.0,neutral,"The Awakening, and Selected Short Stories"
"He could speak a little Spanish, and also a language which nobody understood, unless it was the mocking-bird that hung on the other side of the door, whistling his fluty notes out upon the breeze with maddening persistence.",-0.4939,0.0,0.084,0.916,negative,"The Awakening, and Selected Short Stories"
"Mr. Pontellier, unable to read his newspaper with any degree of comfort, arose with an expression and an exclamation of disgust.",-0.34,0.098,0.154,0.748,negative,"The Awakening, and Selected Short Stories"
"He walked down the gallery and across the narrow ""bridges"" which connected the Lebrun cottages one with the other.",0.0,0.0,0.0,1.0,neutral,"The Awakening, and Selected Short Stories"
He had been seated before the door of the main house.,0.0,0.0,0.0,1.0,neutral,"The Awakening, and Selected Short Stories"
"The parrot and the mocking-bird were the property of Madame Lebrun, and they had the right to make all the noise they wished.",0.0,0.0,0.0,1.0,neutral,"The Awakening, and Selected Short Stories"
Mr. Pontellier had the privilege of quitting their society when they ceased to be entertaining.,0.6597,0.293,0.0,0.707,positive,"The Awakening, and Selected Short Stories"
"He stopped before the door of his own cottage, which was the fourth one from the main building and next to the last.",-0.2263,0.0,0.079,0.921,negative,"The Awakening, and Selected Short Stories"
