sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Enchanted Castle This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.25,0.126,0.103,0.771,positive,The Enchanted Castle
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Enchanted Castle
"Title : The Enchanted Castle Author : E. Nesbit Release date : November 1, 2002 [eBook #3536] Most recently updated: July 24, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/3536 *** START OF THE PROJECT GUTENBERG EBOOK THE ENCHANTED CASTLE *** The Enchanted Castle by E. Nesbit To Margaret Ostler with love from E. Nesbit Peggy, you came from the heath and moor, And you brought their airs through my open door; You brought the blossom of youth to blow In the Latin Quarter of Soho.",0.9141,0.139,0.0,0.861,positive,The Enchanted Castle
"For the sake of that magic I send you here A tale of enchantments, Peggy dear, A bit of my work, and a bit of my heart… The bit that you left when we had to part.",0.3818,0.075,0.0,0.925,positive,The Enchanted Castle
"Royalty Chambers, Soho, W. 25 September 1907 CHAPTER I There were three of them Jerry, Jimmy, and Kathleen.",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"Of course, Jerry's name was Gerald, and not Jeremiah, whatever you may think; and Jimmy's name was James; and Kathleen was never called by her name at all, but Cathy, or Catty, or Puss Cat, when her brothers were pleased with her, and Scratch Cat when they were not pleased.",0.8271,0.138,0.0,0.862,positive,The Enchanted Castle
"And they were at school in a little town in the West of England the boys at one school, of course, and the girl at another, because the sensible habit of having boys and girls at the same school is not yet as common as I hope it will be some day.",0.4404,0.056,0.0,0.944,positive,The Enchanted Castle
They used to see each other on Saturdays and Sundays at the house of a kind maiden lady; but it was one of those houses where it is impossible to play.,0.6486,0.159,0.0,0.841,positive,The Enchanted Castle
"You know the kind of house, don't you?",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"There is a sort of a something about that kind of house that makes you hardly able even to talk to each other when you are left alone, and playing seems unnatural and affected.",-0.2023,0.052,0.105,0.843,negative,The Enchanted Castle
"So they looked forward to the holidays, when they should all go home and be together all day long, in a house where playing was natural and conversation possible, and where the Hampshire forests and fields were full of interesting things to do and see.",0.8225,0.194,0.0,0.806,positive,The Enchanted Castle
"Their Cousin Betty was to be there too, and there were plans.",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"Betty's school broke up before theirs, and so she got to the Hampshire home first, and the moment she got there she began to have measles, so that my three couldn't go home at all.",-0.4215,0.0,0.076,0.924,negative,The Enchanted Castle
You may imagine their feelings.,0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"The thought of seven weeks at Miss Hervey's was not to be borne, and all three wrote home and said so.",-0.1531,0.0,0.074,0.926,negative,The Enchanted Castle
"This astonished their parents very much, because they had always thought it was so nice for the children to have dear Miss Hervey's to go to.",0.8029,0.272,0.049,0.679,positive,The Enchanted Castle
"However, they were ""jolly decent about it , as Jerry said, and after a lot of letters and telegrams, it was arranged that the boys should go and stay at Kathleen's school, where there were now no girls left and no mistresses except the French one.",-0.0258,0.068,0.09,0.842,neutral,The Enchanted Castle
"""It'll be better than being at Miss Hervey's,"" said Kathleen, when the boys came round to ask Mademoiselle when it would be convenient for them to come; ""and, besides, our school's not half so ugly as yours.",-0.4481,0.068,0.137,0.795,negative,The Enchanted Castle
"We do have tablecloths on the tables and curtains at the windows, and yours is all deal boards, and desks, and inkiness.""",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"When they had gone to pack their boxes Kathleen made all the rooms as pretty as she could with flowers in jam jars marigolds chiefly, because there was nothing much else in the back garden.",0.4939,0.086,0.0,0.914,positive,The Enchanted Castle
"There were geraniums in the front garden, and calceolarias and lobelias; of course, the children were not allowed to pick these.",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"""We ought to have some sort of play to keep us going through the holidays,"" said Kathleen, when tea was over, and she had unpacked and arranged the boys clothes in the painted chests of drawers, feeling very grown-up and careful as she neatly laid the different sorts of clothes in tidy little heaps in the drawers.",0.7069,0.129,0.0,0.871,positive,The Enchanted Castle
"""Suppose we write a book.""",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"""You couldn't,"" said Jimmy.",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"""I didn't mean me, of course,"" said Kathleen, a little injured; ""I meant us.""",-0.3415,0.0,0.167,0.833,negative,The Enchanted Castle
"""Too much fag,"" said Gerald briefly.",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"""If we wrote a book,"" Kathleen persisted, ""about what the insides of schools really are like, people would read it and say how clever we were.""",0.6983,0.201,0.0,0.799,positive,The Enchanted Castle
"""More likely expel us,"" said Gerald.",-0.4902,0.0,0.389,0.611,negative,The Enchanted Castle
"""No; we'll have an out-of-doors game bandits, or something like that.",0.3612,0.2,0.0,0.8,positive,The Enchanted Castle
"It wouldn't be bad if we could get a cave and keep stores in it, and have our meals there.""",0.431,0.137,0.0,0.863,positive,The Enchanted Castle
"""There aren't any caves,"" said Jimmy, who was fond of contradicting everyone.",0.1531,0.191,0.151,0.658,positive,The Enchanted Castle
"""And, besides, your precious Mamselle won't let us go out alone, as likely as not.""",0.4019,0.198,0.107,0.695,positive,The Enchanted Castle
"""Oh, we'll see about that,"" said Gerald.",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"""I'll go and talk to her like a father.""",0.3612,0.263,0.0,0.737,positive,The Enchanted Castle
"""Like that?""",0.3612,0.714,0.0,0.286,positive,The Enchanted Castle
"Kathleen pointed the thumb of scorn at him, and he looked in the glass.",-0.4019,0.0,0.172,0.828,negative,The Enchanted Castle
"""To brush his hair and his clothes and to wash his face and hands was to our hero but the work of a moment,"" said Gerald, and went to suit the action to the word.",0.3182,0.065,0.0,0.935,positive,The Enchanted Castle
"It was a very sleek boy, brown and thin and interesting-looking, that knocked at the door of the parlour where Mademoiselle sat reading a yellow-covered book and wishing vain wishes.",-0.0772,0.112,0.089,0.799,negative,The Enchanted Castle
"Gerald could always make himself look interesting at a moment's notice, a very useful accomplishment in dealing with strange grown-ups.",0.624,0.26,0.079,0.661,positive,The Enchanted Castle
"It was done by opening his grey eyes rather wide, allowing the corners of his mouth to droop, and assuming a gentle, pleading expression, resembling that of the late little Lord Fauntleroy who must, by the way, be quite old now, and an awful prig.",0.0258,0.085,0.062,0.852,neutral,The Enchanted Castle
"""Entrez!""",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"said Mademoiselle, in shrill French accents.",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
So he entered.,0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
"""Eh bien?""",0.0,0.0,0.0,1.0,neutral,The Enchanted Castle
she said rather impatiently.,-0.4019,0.0,0.474,0.526,negative,The Enchanted Castle
