sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Faust: Der Tragödie erster Teil This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,Faust: Der Tragödie erster Teil
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Faust: Der Tragödie erster Teil
"Title : Faust: Der Tragödie erster Teil Author : Johann Wolfgang von Goethe Release date : June 1, 2000 [eBook #2229] Most recently updated: May 26, 2021 Language : German Other information and formats : www.gutenberg.org/ebooks/2229 Credits : Michael Pullen *** START OF THE PROJECT GUTENBERG EBOOK FAUST: DER TRAGÖDIE ERSTER TEIL *** Faust: Der Tragödie erster Teil by Johann Wolfgang von Goethe Contents Zueignung Vorspiel auf dem Theater Prolog im Himmel Nacht Vor dem Tor Studierzimmer Studierzimmer Auerbachs Keller in Leipzig Hexenküche Straße (I) Abend Spaziergang Der Nachbarin Haus Straße (II) Garten Ein Gartenhäuschen Wald und Höhle Gretchens Stube Marthens Garten Am Brunnen Zwinger Nacht.",0.3612,0.025,0.0,0.975,positive,Faust: Der Tragödie erster Teil
Straße vor Gretchens Türe Dom Walpurgisnacht Walpurgisnachtstraum Trüber Tag.,0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"Feld Nacht, offen Feld Kerker Zueignung Ihr naht euch wieder, schwankende Gestalten, Die früh sich einst dem trüben Blick gezeigt.",-0.5994,0.0,0.17,0.83,negative,Faust: Der Tragödie erster Teil
"Versuch ich wohl, euch diesmal festzuhalten?",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
Fühl ich mein Herz noch jenem Wahn geneigt?,0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
Ihr drängt euch zu!,0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"nun gut, so mögt ihr walten, Wie ihr aus Dunst und Nebel um mich steigt; Mein Busen fühlt sich jugendlich erschüttert Vom Zauberhauch, der euren Zug umwittert.",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"Ihr bringt mit euch die Bilder froher Tage, Und manche liebe Schatten steigen auf; Gleich einer alten, halbverklungnen Sage Kommt erste Lieb und Freundschaft mit herauf; Der Schmerz wird neu, es wiederholt die Klage Des Lebens labyrinthisch irren Lauf, Und nennt die Guten, die, um schöne Stunden Vom Glück getäuscht, vor mir hinweggeschwunden.",-0.9485,0.0,0.241,0.759,negative,Faust: Der Tragödie erster Teil
"Sie hören nicht die folgenden Gesänge, Die Seelen, denen ich die ersten sang; Zerstoben ist das freundliche Gedränge, Verklungen, ach!",-0.9184,0.0,0.414,0.586,negative,Faust: Der Tragödie erster Teil
der erste Widerklang.,0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"Mein Lied ertönt der unbekannten Menge, Ihr Beifall selbst macht meinem Herzen bang, Und was sich sonst an meinem Lied erfreuet, Wenn es noch lebt, irrt in der Welt zerstreuet.",-0.6369,0.0,0.157,0.843,negative,Faust: Der Tragödie erster Teil
"Und mich ergreift ein längst entwöhntes Sehnen Nach jenem stillen, ernsten Geisterreich, Es schwebet nun in unbestimmten Tönen Mein lispelnd Lied, der Äolsharfe gleich, Ein Schauer faßt mich, Träne folgt den Tränen, Das strenge Herz, es fühlt sich mild und weich; Was ich besitze, seh ich wie im Weiten, Und was verschwand, wird mir zu Wirklichkeiten.",-0.3818,0.0,0.045,0.955,negative,Faust: Der Tragödie erster Teil
Vorspiel auf dem Theater Direktor.,0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
Theatherdichter.,0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
Lustige Person: DIREKTOR.,0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"Ihr beiden, die ihr mir so oft, In Not und Trübsal, beigestanden, Sagt, was ihr wohl in deutschen Landen Von unsrer Unternehmung hofft?",-0.5994,0.0,0.151,0.849,negative,Faust: Der Tragödie erster Teil
"Ich wünschte sehr der Menge zu behagen, Besonders weil sie lebt und leben läßt.",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"Die Pfosten sind, die Bretter aufgeschlagen, Und jedermann erwartet sich ein Fest.",-0.8316,0.0,0.438,0.562,negative,Faust: Der Tragödie erster Teil
Sie sitzen schon mit hohen Augenbraunen Gelassen da und möchten gern erstaunen.,0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"Ich weiß, wie man den Geist des Volks versöhnt; Doch so verlegen bin ich nie gewesen.",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"Zwar sind sie an das Beste nicht gewöhnt, Allein sie haben schrecklich viel gelesen.",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"Wie machen wir's, daß alles frisch und neu Und mit Bedeutung auch gefällig sei?",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"Denn freilich mag ich gern die Menge sehen, Wenn sich der Strom nach unsrer Bude drängt, Und mit gewaltig wiederholten Wehen Sich durch die enge Gnadenpforte zwängt; Bei hellem Tage, schon vor vieren, Mit Stößen sich bis an die Kasse ficht Und, wie in Hungersnot um Brot an Bäckertüren, Um ein Billet sich fast die Hälse bricht.",-0.9485,0.0,0.227,0.773,negative,Faust: Der Tragödie erster Teil
"Dies Wunder wirkt auf so verschiedne Leute Der Dichter nur; mein Freund, o tu es heute!",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
DICHTER.,0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"O sprich mir nicht von jener bunten Menge, Bei deren Anblick uns der Geist entflieht.",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"Verhülle mir das wogende Gedränge, Das wider Willen uns zum Strudel zieht.",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"Nein, führe mich zur stillen Himmelsenge, Wo nur dem Dichter reine Freude blüht; Wo Lieb und Freundschaft unsres Herzens Segen Mit Götterhand erschaffen und erpflegen.",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
Ach!,0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
"was in tiefer Brust uns da entsprungen, Was sich die Lippe schüchtern vorgelallt, Mißraten jetzt und jetzt vielleicht gelungen, Verschlingt des wilden Augenblicks Gewalt.",-0.5994,0.0,0.145,0.855,negative,Faust: Der Tragödie erster Teil
"Oft, wenn es erst durch Jahre durchgedrungen, Erscheint es in vollendeter Gestalt.",0.0,0.0,0.0,1.0,neutral,Faust: Der Tragödie erster Teil
