Sentence_ID,Genre,Title,Sentence,VADER_Compound,Rater_1,Rater_2,Rater_3
1,Gothic/Horror,"Frankenstein; or, the modern p","If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,,,
2,Gothic/Horror,"Frankenstein; or, the modern p",I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.,0.296,,,
3,Gothic/Horror,"Frankenstein; or, the modern p","My courage and my resolution is firm; but my hopes fluctuate, and my spirits are often depressed.",0.09,,,
4,Gothic/Horror,"Frankenstein; or, the modern p","I desire the company of a man who could sympathise with me, whose eyes would reply to mine.",0.4019,,,
5,Gothic/Horror,"Frankenstein; or, the modern p","I heard of him first in rather a romantic manner, from a lady who owes to him the happiness of her life.",0.743,,,
6,Gothic/Horror,"Frankenstein; or, the modern p","I am practically industrious--painstaking, a workman to execute with perseverance and labour--but besides this there is a love for the marvellous, a belief in the marvellous, intertwined in all my projects, which hurries me out of the common pathways of men, even to the wild sea and unvisited regions I am about to explore.",0.6369,,,
7,Gothic/Horror,"Frankenstein; or, the modern p",My swelling heart involuntarily pours itself out thus.,0.0,,,
8,Gothic/Horror,"Frankenstein; or, the modern p","He was not, as the other traveller seemed to be, a savage inhabitant of some undiscovered island, but a European.",-0.25,,,
9,Gothic/Horror,"Frankenstein; or, the modern p","But he is generally melancholy and despairing, and sometimes he gnashes his teeth, as if impatient of the weight of woes that oppresses him.",-0.9428,,,
10,Gothic/Horror,"Frankenstein; or, the modern p","Yet his manners are so conciliating and gentle that the sailors are all interested in him, although they have had very little communication with him.",0.834,,,
11,Gothic/Horror,"Frankenstein; or, the modern p","At first I perceived that he tried to suppress his emotion; he placed his hands before his eyes, and my voice quivered and failed me as I beheld tears trickle fast from between his fingers; a groan burst from his heaving breast.",-0.6369,,,
12,Gothic/Horror,"Frankenstein; or, the modern p","Such a man has a double existence: he may suffer misery and be overwhelmed by disappointments, yet when he has retired into himself, he will be like a celestial spirit that has a halo around him, within whose circle no grief or folly ventures.",-0.9042,,,
13,Gothic/Horror,"Frankenstein; or, the modern p","I have resolved every night, when I am not imperatively occupied by my duties, to record, as nearly as possible in his own words, what he has related during the day.",0.1779,,,
14,Gothic/Horror,"Frankenstein; or, the modern p","But when he entered, misery and despair alone welcomed him.",-0.8126,,,
15,Gothic/Horror,"Frankenstein; or, the modern p","Her health, and even the tranquillity of her hitherto constant spirit, had been shaken by what she had gone through.",0.4939,,,
16,Gothic/Horror,"Frankenstein; or, the modern p","Her hair was the brightest living gold, and despite the poverty of her clothing, seemed to set a crown of distinction on her head.",0.7719,,,
17,Gothic/Horror,"Frankenstein; or, the modern p","On the evening previous to her being brought to my home, my mother had said playfully, ""I have a pretty present for my Victor--tomorrow he shall have it.""",0.7003,,,
18,Gothic/Horror,"Frankenstein; or, the modern p",Henry Clerval was the son of a merchant of Geneva.,0.0,,,
19,Gothic/Horror,"Frankenstein; or, the modern p","Her sympathy was ours; her smile, her soft voice, the sweet glance of her celestial eyes, were ever there to bless and animate us.",0.8689,,,
20,Gothic/Horror,"Frankenstein; or, the modern p","In spite of the intense labour and wonderful discoveries of modern philosophers, I always came from my studies discontented and unsatisfied.",-0.5994,,,
21,Gothic/Horror,Dracula,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,,,
22,Gothic/Horror,Dracula,"In the population of Transylvania there are four distinct nationalities: Saxons in the South, and mixed with them the Wallachs, who are the descendants of the Dacians; Magyars in the West, and Szekelys in the East and North.",0.0,,,
23,Gothic/Horror,Dracula,"The strangest figures we saw were the Slovaks, who were more barbarian than the rest, with their big cow-boy hats, great baggy dirty-white trousers, white linen shirts, and enormous heavy leather belts, nearly a foot wide, all studded over with brass nails.",0.6249,,,
24,Gothic/Horror,Dracula,"This could not be true, because up to then he had understood it perfectly; at least, he answered my questions exactly as if he did.",0.4344,,,
25,Gothic/Horror,Dracula,It was all very ridiculous but I did not feel comfortable.,-0.6651,,,
26,Gothic/Horror,Dracula,"I must say they were not cheering to me, for amongst them were ""Ordog""--Satan, ""pokol""--hell, ""stregoica""--witch, ""vrolok"" and ""vlkoslak""--both of which mean the same thing, one being Slovak and the other Servian for something that is either were-wolf or vampire.",-0.4023,,,
27,Gothic/Horror,Dracula,"As we wound on our endless way, and the sun sank lower and lower behind us, the shadows of the evening began to creep round us.",-0.5267,,,
28,Gothic/Horror,Dracula,Then the mountains seemed to come nearer to us on each side and to frown down upon us; we were entering on the Borgo Pass.,0.0,,,
29,Gothic/Horror,Dracula,"I could only see the gleam of a pair of very bright eyes, which seemed red in the lamplight, as he turned to us.",0.4927,,,
30,Gothic/Horror,Dracula,"The carriage went at a hard pace straight along, then we made a complete turn and went along another straight road.",0.34,,,
31,Gothic/Horror,Dracula,"The baying of the wolves sounded nearer and nearer, as though they were closing round on us from every side.",0.0,,,
32,Gothic/Horror,Dracula,"I called to the coachman to come, for it seemed to me that our only chance was to try to break out through the ring and to aid his approach.",0.25,,,
33,Gothic/Horror,Dracula,"As I stood, the driver jumped again into his seat and shook the reins; the horses started forward, and trap and all disappeared down one of the dark openings.",-0.5574,,,
34,Gothic/Horror,Dracula,"He held in his hand an antique silver lamp, in which the flame burned without chimney or globe of any kind, throwing long quivering shadows as it flickered in the draught of the open door.",0.765,,,
35,Gothic/Horror,Dracula,"When you are ready, come into the other room, where you will find your supper prepared.""",0.3612,,,
36,Gothic/Horror,Dracula,"His eyebrows were very massive, almost meeting over the nose, and with bushy hair that seemed to curl in its own profusion.",0.0,,,
37,Gothic/Horror,Dracula,"With a courteous bow, he opened for me himself the door to the octagonal room, and I entered my bedroom....",0.5106,,,
38,Gothic/Horror,Dracula,"There was absolutely nothing in the room, book, newspaper, or even writing materials; so I opened another door in the room and found a sort of library.",0.0,,,
39,Gothic/Horror,Dracula,"Here I am noble; I am boyar ; the common people know me, and I am master.",0.4588,,,
40,Gothic/Horror,Dracula,"Why, there is hardly a foot of soil in all this region that has not been enriched by the blood of men, patriots or invaders.",0.0,,,
41,Gothic/Horror,Carmilla,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,,,
42,Gothic/Horror,Carmilla,"The forest opens in an irregular and very picturesque glade before its gate, and at the right a steep Gothic bridge carries the road over a stream that winds in deep shadow through the wood.",0.4391,,,
43,Gothic/Horror,Carmilla,"These were our regular social resources; but of course there were chance visits from ""neighbors"" of only five or six leagues distance.",0.3612,,,
