sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Lives of the English Poets This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"Title : Lives of the English Poets Author : Henry Francis Cary Release date : January 1, 2004 [eBook #10660] Most recently updated: October 28, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/10660 Credits : Produced by Jonathan Ingram, Carol David and PG Distributed Proofreaders *** START OF THE PROJECT GUTENBERG EBOOK LIVES OF THE ENGLISH POETS *** [Transcriber's Note: Printers' errors have been marked with the notation ** .",0.0258,0.037,0.035,0.928,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
There are a few special characters in the section on Erasmus Darwin; macrons (a straight line over a letter) are denoted [=x] and breves (the bottom half of a circle over a letter) are denoted [)x].],0.5574,0.133,0.0,0.867,positive,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"* * * * * By the same Author , THE EARLY FRENCH POETS, A SERIES OF NOTICES AND TRANSLATIONS: WITH AN Introductory Sketch of the History of French Poetry.",0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
BY THE REV.,0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"HENRY CARY, M.A.",0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
MDCCCXLVI.,0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"* * * * * Shortly will be published , THE ODES OF PINDAR, IN ENGLISH VERSE.",0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"SECOND EDITION, WITH NOTES, EDITED BY THE REV.",0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"HENRY CARY, M.A.",0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"* * * * * Preparing for the Press , THE LITERARY JOURNAL AND LETTERS OF THE REV.",0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
HENRY FRANCIS CARY.,0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
WITH A MEMOIR .,0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"BY HIS SON, THE REV.",0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"HENRY CARY, M.A.",0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"* * * * * LIVES OF ENGLISH POETS, FROM JOHNSON TO KIRKE WHITE, DESIGNED AS A CONTINUATION OF JOHNSON'S LIVES.",0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
BY THE LATE REV.,0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
"HENRY FRANCIS CARY, M.A.",0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
TRANSLATOR OF DANTE.,0.0,0.0,0.0,1.0,neutral,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
