sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Pygmalion This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Pygmalion
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Pygmalion
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Pygmalion
"Title : Pygmalion Author : Bernard Shaw Release date : March 1, 2003 [eBook #3825] Most recently updated: April 13, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/3825 Credits : Eve Sobol.",0.3612,0.085,0.0,0.915,positive,Pygmalion
"HTML version by Al Haines *** START OF THE PROJECT GUTENBERG EBOOK PYGMALION *** TRANSCRIBER'S NOTE: In the printed version of this text, all apostrophes for contractions such as ""can't"", ""wouldn't"" and ""he'd"" were omitted, to read as ""cant"", ""wouldnt"", and ""hed"".",0.0,0.0,0.0,1.0,neutral,Pygmalion
This etext edition restores the omitted apostrophes.,0.296,0.268,0.0,0.732,positive,Pygmalion
PYGMALION BERNARD SHAW 1912 ACT 1 ACT 2 ACT 3 ACT 4 ACT 5 PREFACE TO PYGMALION.,0.0,0.0,0.0,1.0,neutral,Pygmalion
A Professor of Phonetics.,0.0,0.0,0.0,1.0,neutral,Pygmalion
"As will be seen later on, Pygmalion needs, not a preface, but a sequel, which I have supplied in its due place.",0.0,0.0,0.0,1.0,neutral,Pygmalion
"The English have no respect for their language, and will not teach their children to speak it.",0.2263,0.153,0.108,0.739,positive,Pygmalion
They spell it so abominably that no man can teach himself what it sounds like.,0.0094,0.139,0.137,0.724,neutral,Pygmalion
It is impossible for an Englishman to open his mouth without making some other Englishman hate or despise him.,-0.7269,0.0,0.264,0.736,negative,Pygmalion
German and Spanish are accessible to foreigners: English is not accessible even to Englishmen.,0.0,0.0,0.0,1.0,neutral,Pygmalion
The reformer England needs today is an energetic phonetic enthusiast: that is why I have made such a one the hero of a popular play.,0.9217,0.455,0.0,0.545,positive,Pygmalion
There have been heroes of that kind crying in the wilderness for many years past.,0.5574,0.307,0.142,0.55,positive,Pygmalion
"When I became interested in the subject towards the end of the eighteen-seventies, Melville Bell was dead; but Alexander J. Ellis was still a living patriarch, with an impressive head always covered by a velvet skull cap, for which he would apologize to public meetings in a very courtly manner.",0.6428,0.15,0.05,0.799,positive,Pygmalion
"He and Tito Pagliardini, another phonetic veteran, were men whom it was impossible to dislike.",-0.3818,0.0,0.157,0.843,negative,Pygmalion
"Henry Sweet, then a young man, lacked their sweetness of character: he was about as conciliatory to conventional mortals as Ibsen or Samuel Butler.",0.7351,0.228,0.0,0.772,positive,Pygmalion
"His great ability as a phonetician (he was, I think, the best of them all at his job) would have entitled him to high official recognition, and perhaps enabled him to popularize his subject, but for his Satanic contempt for all academic dignitaries and persons in general who thought more of Greek than of phonetics.",0.4019,0.189,0.082,0.729,positive,Pygmalion
"Once, in the days when the Imperial Institute rose in South Kensington, and Joseph Chamberlain was booming the Empire, I induced the editor of a leading monthly review to commission an article from Sweet on the imperial importance of his subject.",0.6705,0.129,0.0,0.871,positive,Pygmalion
"When it arrived, it contained nothing but a savagely derisive attack on a professor of language and literature whose chair Sweet regarded as proper to a phonetic expert only.",0.5093,0.215,0.12,0.665,positive,Pygmalion
"The article, being libelous, had to be returned as impossible; and I had to renounce my dream of dragging its author into the limelight.",-0.2732,0.077,0.119,0.805,negative,Pygmalion
"When I met him afterwards, for the first time for many years, I found to my astonishment that he, who had been a quite tolerably presentable young man, had actually managed by sheer scorn to alter his personal appearance until he had become a sort of walking repudiation of Oxford and all its traditions.",-0.4019,0.0,0.052,0.948,negative,Pygmalion
It must have been largely in his own despite that he was squeezed into something called a Readership of phonetics there.,0.0,0.0,0.0,1.0,neutral,Pygmalion
"The future of phonetics rests probably with his pupils, who all swore by him; but nothing could bring the man himself into any sort of compliance with the university, to which he nevertheless clung by divine right in an intensely Oxonian way.",0.7096,0.107,0.0,0.893,positive,Pygmalion
"I daresay his papers, if he has left any, include some satires that may be published without too destructive results fifty years hence.",0.4973,0.133,0.0,0.867,positive,Pygmalion
"He was, I believe, not in the least an ill-natured man: very much the opposite, I should say; but he would not suffer fools gladly.",0.6871,0.242,0.086,0.672,positive,Pygmalion
"Those who knew him will recognize in my third act the allusion to the patent Shorthand in which he used to write postcards, and which may be acquired from a four and six-penny manual published by the Clarendon Press.",0.0,0.0,0.0,1.0,neutral,Pygmalion
The postcards which Mrs. Higgins describes are such as I have received from Sweet.,0.4588,0.2,0.0,0.8,positive,Pygmalion
"I would decipher a sound which a cockney would represent by zerr, and a Frenchman by seu, and then write demanding with some heat what on earth it meant.",-0.2263,0.0,0.073,0.927,negative,Pygmalion
"Sweet, with boundless contempt for my stupidity, would reply that it not only meant but obviously was the word Result, as no other Word containing that sound, and capable of making sense with the context, existed in any language spoken on earth.",-0.1901,0.109,0.144,0.747,negative,Pygmalion
That less expert mortals should require fuller indications was beyond Sweet's patience.,0.0,0.0,0.0,1.0,neutral,Pygmalion
"Therefore, though the whole point of his ""Current Shorthand"" is that it can express every sound in the language perfectly, vowels as well as consonants, and that your hand has to make no stroke except the easy and current ones with which you write m, n, and u, l, p, and q, scribbling them at whatever angle comes easiest to you, his unfortunate determination to make this remarkable and quite legible script serve also as a Shorthand reduced it in his own practice to the most inscrutable of cryptograms.",0.9513,0.208,0.049,0.743,positive,Pygmalion
"His true objective was the provision of a full, accurate, legible script for our noble but ill-dressed language; but he was led past that by his contempt for the popular Pitman system of Shorthand, which he called the Pitfall system.",0.1027,0.159,0.109,0.732,positive,Pygmalion
"The triumph of Pitman was a triumph of business organization: there was a weekly paper to persuade you to learn Pitman: there were cheap textbooks and exercise books and transcripts of speeches for you to copy, and schools where experienced teachers coached you up to the necessary proficiency.",0.7351,0.124,0.0,0.876,positive,Pygmalion
Sweet could not organize his market in that fashion.,0.4588,0.273,0.0,0.727,positive,Pygmalion
He might as well have been the Sybil who tore up the leaves of prophecy that nobody would attend to.,0.2732,0.1,0.0,0.9,positive,Pygmalion
"The four and six-penny manual, mostly in his lithographed handwriting, that was never vulgarly advertized, may perhaps some day be taken up by a syndicate and pushed upon the public as The Times pushed the Encyclopaedia Britannica; but until then it will certainly not prevail against Pitman.",0.4767,0.064,0.0,0.936,positive,Pygmalion
I have bought three copies of it during my lifetime; and I am informed by the publishers that its cloistered existence is still a steady and healthy one.,0.4019,0.101,0.0,0.899,positive,Pygmalion
