sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Waste Land This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.5267,0.065,0.167,0.767,negative,The Waste Land
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Waste Land
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Waste Land
"Title : The Waste Land Author : T. S. Eliot Release date : May 1, 1998 [eBook #1321] Most recently updated: October 29, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1321 Credits : An Anonymous Project Gutenberg Volunteer and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE WASTE LAND *** The Waste Land By T. S. Eliot Contents I.",-0.7672,0.039,0.141,0.82,negative,The Waste Land
THE BURIAL OF THE DEAD II.,-0.6486,0.0,0.462,0.538,negative,The Waste Land
A GAME OF CHESS III.,0.0,0.0,0.0,1.0,neutral,The Waste Land
THE FIRE SERMON IV.,-0.34,0.0,0.444,0.556,negative,The Waste Land
"DEATH BY WATER V. WHAT THE THUNDER SAID NOTES ON ""THE WASTE LAND"" ""Nam Sibyllam quidem Cumis ego ipse oculis meis vidi in ampulla pendere, et cum illi pueri dicerent: Σίβυλλα τί θέλεις; respondebat illa: ἀποθανεῖν θέλω.""",-0.8468,0.0,0.189,0.811,negative,The Waste Land
For Ezra Pound il miglior fabbro I.,0.0,0.0,0.0,1.0,neutral,The Waste Land
"THE BURIAL OF THE DEAD April is the cruellest month, breeding Lilacs out of the dead land, mixing Memory and desire, stirring Dull roots with spring rain.",-0.9353,0.066,0.392,0.541,negative,The Waste Land
"Winter kept us warm, covering Earth in forgetful snow, feeding A little life with dried tubers.",-0.0516,0.112,0.124,0.765,negative,The Waste Land
"Summer surprised us, coming over the Starnbergersee With a shower of rain; we stopped in the colonnade, And went on in sunlight, into the Hofgarten, 10 And drank coffee, and talked for an hour.",0.0,0.055,0.055,0.891,neutral,The Waste Land
"Bin gar keine Russin, stamm' aus Litauen, echt deutsch.",0.0,0.0,0.0,1.0,neutral,The Waste Land
"And when we were children, staying at the archduke's, My cousin's, he took me out on a sled, And I was frightened.",-0.4404,0.0,0.132,0.868,negative,The Waste Land
"He said, Marie, Marie, hold on tight.",0.0,0.0,0.0,1.0,neutral,The Waste Land
And down we went.,0.0,0.0,0.0,1.0,neutral,The Waste Land
"In the mountains, there you feel free.",0.5106,0.355,0.0,0.645,positive,The Waste Land
"I read, much of the night, and go south in the winter.",0.0,0.0,0.0,1.0,neutral,The Waste Land
"What are the roots that clutch, what branches grow Out of this stony rubbish?",0.0,0.0,0.0,1.0,neutral,The Waste Land
"Son of man, 20 You cannot say, or guess, for you know only A heap of broken images, where the sun beats, And the dead tree gives no shelter, the cricket no relief, And the dry stone no sound of water.",-0.872,0.061,0.274,0.665,negative,The Waste Land
"Only There is shadow under this red rock, (Come in under the shadow of this red rock), And I will show you something different from either Your shadow at morning striding behind you Or your shadow at evening rising to meet you; I will show you fear in a handful of dust.",-0.4939,0.0,0.062,0.938,negative,The Waste Land
"30 Frisch weht der Wind Der Heimat zu Mein Irisch Kind, Wo weilest du?",0.5267,0.207,0.0,0.793,positive,The Waste Land
"""You gave me hyacinths first a year ago; ""They called me the hyacinth girl.""",0.0,0.0,0.0,1.0,neutral,The Waste Land
