sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The war of the worlds This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.6705,0.061,0.18,0.759,negative,The war of the worlds
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The war of the worlds
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The war of the worlds
"Title : The war of the worlds Author : H. G. Wells Release date : October 1, 2004 [eBook #36] Most recently updated: March 30, 2026 Language : English Other information and formats : www.gutenberg.org/ebooks/36 *** START OF THE PROJECT GUTENBERG EBOOK THE WAR OF THE WORLDS *** The War of the Worlds by H. G. Wells 'But who shall dwell in these worlds if they be inhabited?",-0.6081,0.068,0.111,0.821,negative,The war of the worlds
.,0.0,0.0,0.0,0.0,neutral,The war of the worlds
.,0.0,0.0,0.0,0.0,neutral,The war of the worlds
.,0.0,0.0,0.0,0.0,neutral,The war of the worlds
Are we or they Lords of the World?,0.0,0.0,0.0,1.0,neutral,The war of the worlds
.,0.0,0.0,0.0,0.0,neutral,The war of the worlds
.,0.0,0.0,0.0,0.0,neutral,The war of the worlds
.,0.0,0.0,0.0,0.0,neutral,The war of the worlds
And how are all things made for man?',0.0,0.0,0.0,1.0,neutral,The war of the worlds
KEPLER (quoted in The Anatomy of Melancholy ) Contents BOOK ONE.--THE COMING OF THE MARTIANS I.,-0.4404,0.0,0.172,0.828,negative,The war of the worlds
THE EVE OF THE WAR.,-0.5994,0.0,0.494,0.506,negative,The war of the worlds
II.,0.0,0.0,0.0,1.0,neutral,The war of the worlds
THE FALLING STAR.,-0.1531,0.0,0.444,0.556,negative,The war of the worlds
III.,0.0,0.0,0.0,1.0,neutral,The war of the worlds
ON HORSELL COMMON.,0.0,0.0,0.0,1.0,neutral,The war of the worlds
IV.,0.0,0.0,0.0,1.0,neutral,The war of the worlds
THE CYLINDER OPENS.,0.0,0.0,0.0,1.0,neutral,The war of the worlds
V. THE HEAT-RAY.,0.0,0.0,0.0,1.0,neutral,The war of the worlds
VI.,0.0,0.0,0.0,1.0,neutral,The war of the worlds
THE HEAT-RAY IN THE CHOBHAM ROAD.,0.0,0.0,0.0,1.0,neutral,The war of the worlds
VII.,0.0,0.0,0.0,1.0,neutral,The war of the worlds
HOW I REACHED HOME.,0.1027,0.412,0.0,0.588,positive,The war of the worlds
VIII.,0.0,0.0,0.0,1.0,neutral,The war of the worlds
FRIDAY NIGHT.,0.0,0.0,0.0,1.0,neutral,The war of the worlds
