sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Railway Children This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.068,0.107,0.825,negative,The Railway Children
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Railway Children
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Railway Children
"Title : The Railway Children Author : E. Nesbit Release date : August 1, 1999 [eBook #1874] Most recently updated: January 27, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/1874 Credits : Produced by Les Bowler, and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE RAILWAY CHILDREN *** THE RAILWAY CHILDREN By E. Nesbit To my dear son Paul Bland, behind whose knowledge of railways my ignorance confidently shelters.",0.6908,0.111,0.034,0.855,positive,The Railway Children
Contents Chapter I.,0.0,0.0,0.0,1.0,neutral,The Railway Children
The beginning of things.,0.0,0.0,0.0,1.0,neutral,The Railway Children
Chapter II.,0.0,0.0,0.0,1.0,neutral,The Railway Children
Peter's coal-mine.,0.0,0.0,0.0,1.0,neutral,The Railway Children
Chapter III.,0.0,0.0,0.0,1.0,neutral,The Railway Children
The old gentleman.,0.0,0.0,0.0,1.0,neutral,The Railway Children
Chapter IV.,0.0,0.0,0.0,1.0,neutral,The Railway Children
The engine-burglar.,0.0,0.0,0.0,1.0,neutral,The Railway Children
Chapter V. Prisoners and captives.,-0.5106,0.0,0.452,0.548,negative,The Railway Children
Chapter VI.,0.0,0.0,0.0,1.0,neutral,The Railway Children
Saviours of the train.,0.0,0.0,0.0,1.0,neutral,The Railway Children
Chapter VII.,0.0,0.0,0.0,1.0,neutral,The Railway Children
For valour.,0.0,0.0,0.0,1.0,neutral,The Railway Children
Chapter VIII.,0.0,0.0,0.0,1.0,neutral,The Railway Children
The amateur firemen.,0.0,0.0,0.0,1.0,neutral,The Railway Children
Chapter IX.,0.0,0.0,0.0,1.0,neutral,The Railway Children
The pride of Perks.,0.34,0.444,0.0,0.556,positive,The Railway Children
Chapter X.,0.0,0.0,0.0,1.0,neutral,The Railway Children
The terrible secret.,-0.4767,0.0,0.608,0.392,negative,The Railway Children
Chapter XI.,0.0,0.0,0.0,1.0,neutral,The Railway Children
