sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Insectivorous Plants This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.07,0.109,0.821,negative,Insectivorous Plants
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Insectivorous Plants
"Title : Insectivorous Plants Author : Charles Darwin Release date : May 1, 2004 [eBook #5765] Most recently updated: December 28, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/5765 Credits : Sue Asscher and David Widger *** START OF THE PROJECT GUTENBERG EBOOK INSECTIVOROUS PLANTS *** INSECTIVOROUS PLANTS By Charles Darwin CONTENTS DETAILED TABLE OF CONTENTS.",0.3612,0.047,0.0,0.953,positive,Insectivorous Plants
INSECTIVOROUS PLANTS.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
"CHAPTER I. DROSERA ROTUNDIFOLIA, OR THE COMMON SUN-DEW.",0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
CHAPTER II.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
THE MOVEMENTS OF THE TENTACLES FROM THE CONTACT OF SOLID BODIES.,0.1531,0.138,0.0,0.862,positive,Insectivorous Plants
CHAPTER III.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
AGGREGATION OF THE PROTOPLASM WITHIN THE CELLS OF THE TENTACLES.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
CHAPTER IV.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
THE EFFECTS OF HEAT ON THE LEAVES.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
CHAPTER V. THE EFFECTS OF NON-NITROGENOUS AND NITROGENOUS ORGANIC FLUIDS ON THE LEAVES.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
CHAPTER VI.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
THE DIGESTIVE POWER OF THE SECRETION OF DROSERA.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
CHAPTER VII.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
THE EFFECTS OF SALTS OF AMMONIA.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
CHAPTER VIII.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
THE EFFECTS OF VARIOUS OTHER SALTS AND ACIDS ON THE LEAVES.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
CHAPTER IX.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
"THE EFFECTS OF CERTAIN ALKALOID POISONS, OTHER SUBSTANCES AND VAPOURS.",-0.3818,0.152,0.268,0.58,negative,Insectivorous Plants
CHAPTER X.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
"ON THE SENSITIVENESS OF THE LEAVES, AND ON THE LINES OF TRANSMISSION OF THE MOTOR IMPULSE.",0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
CHAPTER XI.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
RECAPITULATION OF THE CHIEF OBSERVATIONS ON DROSERA ROTUNDIFOLIA.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
CHAPTER XII.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
ON THE STRUCTURE AND MOVEMENTS OF SOME OTHER SPECIES OF DROSERA.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
CHAPTER XIII.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
DIONAEA MUSCIPULA.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
CHAPTER XIV.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
ALDROVANDA VESICULOSA.,0.0,0.0,0.0,1.0,neutral,Insectivorous Plants
