sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Siddhartha This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Siddhartha
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Siddhartha
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Siddhartha
"Title : Siddhartha Author : Hermann Hesse Release date : February 1, 2001 [eBook #2500] Most recently updated: December 22, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/2500 Credits : Michael Pullen, Chandra Yenco and Isaac Jones *** START OF THE PROJECT GUTENBERG EBOOK SIDDHARTHA *** Siddhartha An Indian Tale by Herman Hesse Contents FIRST PART THE SON OF THE BRAHMAN WITH THE SAMANAS GOTAMA AWAKENING SECOND PART KAMALA WITH THE CHILDLIKE PEOPLE SANSARA BY THE RIVER THE FERRYMAN THE SON OM GOVINDA FIRST PART To Romain Rolland, my dear friend THE SON OF THE BRAHMAN In the shade of the house, in the sunshine of the riverbank near the boats, in the shade of the Sal-wood forest, in the shade of the fig tree is where Siddhartha grew up, the handsome son of the Brahman, the young falcon, together with his friend Govinda, son of a Brahman.",0.9509,0.116,0.0,0.884,positive,Siddhartha
"The sun tanned his light shoulders by the banks of the river when bathing, performing the sacred ablutions, the sacred offerings.",0.0,0.0,0.0,1.0,neutral,Siddhartha
"In the mango grove, shade poured into his black eyes, when playing as a boy, when his mother sang, when the sacred offerings were made, when his father, the scholar, taught him, when the wise men talked.",0.5994,0.126,0.0,0.874,positive,Siddhartha
"For a long time, Siddhartha had been partaking in the discussions of the wise men, practising debate with Govinda, practising with Govinda the art of reflection, the service of meditation.",0.4767,0.1,0.0,0.9,positive,Siddhartha
"He already knew how to speak the Om silently, the word of words, to speak it silently into himself while inhaling, to speak it silently out of himself while exhaling, with all the concentration of his soul, the forehead surrounded by the glow of the clear-thinking spirit.",0.1779,0.036,0.0,0.964,positive,Siddhartha
"He already knew to feel Atman in the depths of his being, indestructible, one with the universe.",0.1531,0.091,0.0,0.909,positive,Siddhartha
"Joy leapt in his father's heart for his son who was quick to learn, thirsty for knowledge; he saw him growing up to become great wise man and priest, a prince among the Brahmans.",0.9136,0.305,0.0,0.695,positive,Siddhartha
