sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Ragged Trousered Philanthropists This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.066,0.104,0.829,negative,The Ragged Trousered Philanthropists
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Ragged Trousered Philanthropists
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Ragged Trousered Philanthropists
"Title : The Ragged Trousered Philanthropists Author : Robert Tressell Release date : January 1, 2003 [eBook #3608] Most recently updated: May 5, 2023 Language : English Other information and formats : www.gutenberg.org/ebooks/3608 Credits : Iain Tatch *** START OF THE PROJECT GUTENBERG EBOOK THE RAGGED TROUSERED PHILANTHROPISTS *** The Ragged Trousered Philanthropists by Robert Tressell CONTENTS 1 An Imperial Banquet.",0.3612,0.045,0.0,0.955,positive,The Ragged Trousered Philanthropists
A Philosophical Discussion.,0.0,0.0,0.0,1.0,neutral,The Ragged Trousered Philanthropists
The Mysterious Stranger.,0.0,0.0,0.0,1.0,neutral,The Ragged Trousered Philanthropists
Britons Never shall be Slaves 2 Nimrod: a Mighty Hunter before the Lord 3 The Financiers 4 The Placard 5 The Clock-case 6 It is not My Crime 7 The Exterminating Machines 8 The Cap on the Stairs 9 Who is to Pay?,0.3506,0.079,0.039,0.883,positive,The Ragged Trousered Philanthropists
10 The Long Hill 11 Hands and Brains 12 The Letting of the Room 13 Penal Servitude and Death 14 Three Children.,-0.5994,0.0,0.157,0.843,negative,The Ragged Trousered Philanthropists
The Wages of Intelligence 15 The Undeserving Persons and the Upper and Nether Millstones 16 True Freedom 17 The Rev.,0.802,0.348,0.1,0.552,positive,The Ragged Trousered Philanthropists
John Starr 18 The Lodger 19 The Filling of the Tank 20 The Forty Thieves.,-0.5106,0.0,0.191,0.809,negative,The Ragged Trousered Philanthropists
The Battle: Brigands versus Bandits 21 The Reign of Terror.,-0.7184,0.0,0.429,0.571,negative,The Ragged Trousered Philanthropists
"The Great Money Trick 22 The Phrenologist 23 The ""Open-air"" 24 Ruth 25 The Oblong 26 The Slaughter 27 The March of the Imperialists 28 The Week before Christmas 29 The Pandorama 30 The Brigands hold a Council of War 31 The Deserter 32 The Veteran 33 The Soldier's Children 34 The Beginning of the End 35 Facing the ""Problem"" 36 The O.B.S.",0.0,0.06,0.075,0.865,neutral,The Ragged Trousered Philanthropists
37 A Brilliant Epigram 38 The Brigands' Cave 39 The Brigands at Work 40 Vive la System!,0.6239,0.214,0.0,0.786,positive,The Ragged Trousered Philanthropists
41 The Easter Offering.,0.0,0.0,0.0,1.0,neutral,The Ragged Trousered Philanthropists
