sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.2732,0.104,0.083,0.813,positive,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"Title : On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris Author : F. S. Brereton Illustrator : Walter Paget Release date : July 2, 2013 [eBook #43081] Most recently updated: October 23, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/43081 Credits : Produced by sp1nd, Mary Meehan and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images generously made available by The Internet Archive) *** START OF THE PROJECT GUTENBERG EBOOK ON THE ROAD TO BAGDAD: A STORY OF TOWNSHEND'S GALLANT ADVANCE ON THE TIGRIS *** On the Road to Bagdad A Story of Townshend's Gallant Advance on the Tigris BY CAPTAIN F. S. BRERETON Author of ""With Joffre at Verdun"" ""Under French's Command"" ""With Our Russian Allies"" &c. &c. Illustrated by Wal Paget BLACKIE AND SON LIMITED LONDON GLASGOW AND BOMBAY 1917 ""THE CHIEF RETURNED THE OFFICER'S FRANK GAZE WITH A GLANCE WHICH TOLD OF COURAGE AND PRIDE"" Contents Chap.",0.9556,0.126,0.016,0.858,positive,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
Page I.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
A Frontier Station 9 II.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
Geoffrey Keith and Another 23 III.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
The Persian Gulf 39 IV.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
The First Encounter 58 V. News of the Enemy 76 VI.,-0.5423,0.0,0.259,0.741,negative,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
An Exploring-party 94 VII.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
Major Joseph Douglas 117 VIII.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
The Motor-boat in Action 140 IX.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
A Cutting-out Expedition 159 X. Geoff and Philip manœuvre 175 XI.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
A Soldiers' Battle 197 XII.,-0.3818,0.0,0.464,0.536,negative,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"Esbul, the Armenian 214 XIII.",0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
An Amphibious Expedition 232 XIV.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
Captured by the Enemy 251 XV.,-0.5423,0.0,0.412,0.588,negative,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
Von Hildemaller's Intervention 270 XVI.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
Breaking Out 290 XVII.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
The Road to Bagdad 309 XVIII.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
News of Douglas Pasha 327 XIX.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
Tracking the German 348 XX.,0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"Success at Last 365 Illustrations Page "" The chief returned the officer's frank gaze with a glance which told of courage and pride "" ( Frontispiece ) 81 "" What was left of those arab horsemen scattered and fled "" 74 "" Geoff levelled his own piece on him "" 144 "" Philip hurled himself and his captive over the rail of the vessel "" 192 "" Geoff turned, and, drawing his revolver, emptied it at the two men still pursuing "" 224 "" The arab set off along a path within some twenty yards of our heroes "" 337 ON THE ROAD TO BAGDAD CHAPTER I A Frontier Station A gun, a small brass piece, an interesting relic of other days, boomed forth the hour of noon from the lowest embrasure of a hill fort overlooking the cantonment of the ---- Sikhs, and warned all and sundry that it was time for tiffin.",0.8176,0.103,0.059,0.837,positive,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"The cloud of grey smoke which blew upward from the muzzle, and which was wafted ever so gently by the breeze floating toward the hill-top from the depths of the giant valley below, spread out into a thin white sheet, and, ascending slowly, first wrapped the time-scarred walls of the old fort in its embrace, and then, getting whiter as it ascended, reached the battlements above, and, percolating through the many gun embrasures, floated over the roof of the fortress, till the misty haze hung about the portals of the veranda of the Officers' Mess bungalow.",0.3541,0.085,0.061,0.854,positive,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"There were a dozen or more figures, dressed in khaki or in pure white, and stretched in every sort of attitude, and in every variety of chair, beneath that veranda.",0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"There were young subalterns, joined but a month or two since, and other subalterns whose hair at the temples was already showing some suspicion of grey while still they failed to get promotion.",-0.8201,0.034,0.206,0.76,negative,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
There was a rather stout old field officer who had seen more years of service in India than many of the subalterns could boast of in their lives.,0.1779,0.061,0.0,0.939,positive,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"A rubicund, jolly officer he was, upon whom the detestable climate of the many stations in which he had been forced to serve had made not the slightest effect whatever.",0.0772,0.099,0.09,0.811,positive,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"There was another officer, too, short, slim, and active as a cat, whose hair and moustache were as white as the snows capping the distant mountains.",0.4019,0.101,0.0,0.899,positive,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"A glance told one intuitively that here, too, was an old soldier, an old Indian soldier, that is, who had spent the better part of a long life out in the ""shiney"".",0.4404,0.091,0.0,0.909,positive,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
"""Hallo!",0.0,0.0,0.0,1.0,neutral,On the Road to Bagdad: A Story of Townshend's Gallant Advance on the Tigris
