sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Invisible Man: A Grotesque Romance This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.4588,0.14,0.096,0.764,positive,The Invisible Man: A Grotesque Romance
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Invisible Man: A Grotesque Romance
"Title : The Invisible Man: A Grotesque Romance Author : H. G. Wells Release date : March 1, 2004 [eBook #5230] Most recently updated: October 16, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/5230 Credits : Andrew Sly *** START OF THE PROJECT GUTENBERG EBOOK THE INVISIBLE MAN: A GROTESQUE ROMANCE *** The Invisible Man A Grotesque Romance by H. G. Wells Contents I.",0.9519,0.261,0.0,0.739,positive,The Invisible Man: A Grotesque Romance
The strange Man's Arrival II.,-0.2023,0.0,0.31,0.69,negative,The Invisible Man: A Grotesque Romance
Mr. Teddy Henfrey's first Impressions III.,0.2263,0.275,0.0,0.725,positive,The Invisible Man: A Grotesque Romance
The thousand and one Bottles IV.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
Mr. Cuss interviews the Stranger V. The Burglary at the Vicarage VI.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
The Furniture that went mad VII.,-0.4939,0.0,0.39,0.61,negative,The Invisible Man: A Grotesque Romance
The Unveiling of the Stranger VIII.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
In Transit IX.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
Mr. Thomas Marvel X. Mr. Marvel's Visit to Iping XI.,0.4215,0.237,0.0,0.763,positive,The Invisible Man: A Grotesque Romance
"In the ""Coach and Horses"" XII.",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
The invisible Man loses his Temper XIII.,-0.6249,0.0,0.505,0.495,negative,The Invisible Man: A Grotesque Romance
Mr. Marvel discusses his Resignation XIV.,0.1531,0.311,0.244,0.444,positive,The Invisible Man: A Grotesque Romance
At Port Stowe XV.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
The Man who was running XVI.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"In the ""Jolly Cricketers"" XVII.",0.5106,0.452,0.0,0.548,positive,The Invisible Man: A Grotesque Romance
Dr. Kemp's Visitor XVIII.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
The invisible Man sleeps XIX.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
Certain first Principles XX.,0.2732,0.412,0.0,0.588,positive,The Invisible Man: A Grotesque Romance
At the House in Great Portland Street XXI.,0.6249,0.369,0.0,0.631,positive,The Invisible Man: A Grotesque Romance
In Oxford Street XXII.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
In the Emporium XXIII.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
In Drury Lane XXIV.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
The Plan that failed XXV.,-0.5106,0.0,0.452,0.548,negative,The Invisible Man: A Grotesque Romance
The Hunting of the invisible Man XXVI.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
The Wicksteed Murder XXVII.,-0.6908,0.0,0.61,0.39,negative,The Invisible Man: A Grotesque Romance
The Siege of Kemp's House XXVIII.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
The Hunter hunted The Epilogue CHAPTER I.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"THE STRANGE MAN'S ARRIVAL The stranger came early in February, one wintry day, through a biting wind and a driving snow, the last snowfall of the year, over the down, walking from Bramblehurst railway station, and carrying a little black portmanteau in his thickly gloved hand.",0.1697,0.068,0.054,0.877,positive,The Invisible Man: A Grotesque Romance
"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.",-0.6187,0.0,0.099,0.901,negative,The Invisible Man: A Grotesque Romance
"He staggered into the ""Coach and Horses"" more dead than alive, and flung his portmanteau down.",-0.4077,0.133,0.214,0.652,negative,The Invisible Man: A Grotesque Romance
"""A fire,"" he cried, ""in the name of human charity!",0.126,0.226,0.19,0.584,positive,The Invisible Man: A Grotesque Romance
"A room and a fire!""",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"He stamped and shook the snow from off himself in the bar, and followed Mrs. Hall into her guest parlour to strike his bargain.",-0.0258,0.07,0.113,0.817,neutral,The Invisible Man: A Grotesque Romance
"And with that much introduction, that and a couple of sovereigns flung upon the table, he took up his quarters in the inn.",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
Mrs. Hall lit the fire and left him there while she went to prepare him a meal with her own hands.,-0.34,0.0,0.112,0.888,negative,The Invisible Man: A Grotesque Romance
"A guest to stop at Iping in the wintertime was an unheard-of piece of luck, let alone a guest who was no ""haggler,"" and she was resolved to show herself worthy of her good fortune.",0.6249,0.245,0.149,0.606,positive,The Invisible Man: A Grotesque Romance
"As soon as the bacon was well under way, and Millie, her lymphatic maid, had been brisked up a bit by a few deftly chosen expressions of contempt, she carried the cloth, plates, and glasses into the parlour and began to lay them with the utmost éclat .",-0.4019,0.043,0.078,0.879,negative,The Invisible Man: A Grotesque Romance
"Although the fire was burning up briskly, she was surprised to see that her visitor still wore his hat and coat, standing with his back to her and staring out of the window at the falling snow in the yard.",-0.2732,0.044,0.093,0.862,negative,The Invisible Man: A Grotesque Romance
"His gloved hands were clasped behind him, and he seemed to be lost in thought.",-0.3182,0.0,0.141,0.859,negative,The Invisible Man: A Grotesque Romance
She noticed that the melting snow that still sprinkled his shoulders dripped upon her carpet.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"""Can I take your hat and coat, sir?""",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"she said, ""and give them a good dry in the kitchen?""",0.4404,0.244,0.0,0.756,positive,The Invisible Man: A Grotesque Romance
"""No,"" he said without turning.",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"She was not sure she had heard him, and was about to repeat her question.",-0.2411,0.0,0.123,0.877,negative,The Invisible Man: A Grotesque Romance
He turned his head and looked at her over his shoulder.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"""I prefer to keep them on,"" he said with emphasis, and she noticed that he wore big blue spectacles with sidelights, and had a bush side-whisker over his coat-collar that completely hid his cheeks and face.",-0.1761,0.0,0.047,0.953,negative,The Invisible Man: A Grotesque Romance
"""Very well, sir,"" she said. """,0.3384,0.374,0.0,0.626,positive,The Invisible Man: A Grotesque Romance
As you like.,0.3612,0.556,0.0,0.444,positive,The Invisible Man: A Grotesque Romance
"In a bit the room will be warmer.""",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"He made no answer, and had turned his face away from her again, and Mrs. Hall, feeling that her conversational advances were ill-timed, laid the rest of the table things in a quick staccato and whisked out of the room.",-0.1779,0.037,0.054,0.909,negative,The Invisible Man: A Grotesque Romance
"When she returned he was still standing there, like a man of stone, his back hunched, his collar turned up, his dripping hat-brim turned down, hiding his face and ears completely.",0.0772,0.076,0.067,0.856,positive,The Invisible Man: A Grotesque Romance
"She put down the eggs and bacon with considerable emphasis, and called rather than said to him, ""Your lunch is served, sir.""",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"""Thank you,"" he said at the same time, and did not stir until she was closing the door.",0.3612,0.128,0.0,0.872,positive,The Invisible Man: A Grotesque Romance
Then he swung round and approached the table with a certain eager quickness.,0.5574,0.315,0.0,0.685,positive,The Invisible Man: A Grotesque Romance
As she went behind the bar to the kitchen she heard a sound repeated at regular intervals.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"Chirk, chirk, chirk, it went, the sound of a spoon being rapidly whisked round a basin.",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"""That girl!""",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
she said.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"""There!",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
I clean forgot it.,0.4019,0.574,0.0,0.426,positive,The Invisible Man: A Grotesque Romance
"It's her being so long!""",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"And while she herself finished mixing the mustard, she gave Millie a few verbal stabs for her excessive slowness.",-0.4404,0.0,0.146,0.854,negative,The Invisible Man: A Grotesque Romance
"She had cooked the ham and eggs, laid the table, and done everything, while Millie (help indeed!)",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
had only succeeded in delaying the mustard.,0.4215,0.318,0.0,0.682,positive,The Invisible Man: A Grotesque Romance
And him a new guest and wanting to stay!,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"Then she filled the mustard pot, and, putting it with a certain stateliness upon a gold and black tea-tray, carried it into the parlour.",0.2732,0.091,0.0,0.909,positive,The Invisible Man: A Grotesque Romance
She rapped and entered promptly.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
"As she did so her visitor moved quickly, so that she got but a glimpse of a white object disappearing behind the table.",0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
It would seem he was picking something from the floor.,0.0,0.0,0.0,1.0,neutral,The Invisible Man: A Grotesque Romance
