sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of The Jimmyjohn Boss, and Other Stories This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",-0.1531,0.063,0.1,0.837,negative,"The Jimmyjohn Boss, and Other Stories"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"The Jimmyjohn Boss, and Other Stories"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"The Jimmyjohn Boss, and Other Stories"
"Title : The Jimmyjohn Boss, and Other Stories Author : Owen Wister Release date : July 1, 1998 [eBook #1390] Most recently updated: October 29, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1390 Credits : Produced by Bill Brewer, and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE JIMMYJOHN BOSS, AND OTHER STORIES *** THE JIMMYJOHN BOSS AND OTHER STORIES By Owen Wister Contents Preface The Jimmyjohn Boss A Kinsman of Red Cloud Sharon's Choice Napoleon Shave-Tail Twenty Minutes for Refreshments The Promised Land Hank's Woman Padre Ignazio To Messrs. Harper & Bothers and Henry Mills Alden whose friendliness and fair dealing I am glad of this chance to record Owen Wister Preface It's very plain that if a thing's the fashion-- Too much the fashion--if the people leap To do it, or to be it, in a passion Of haste and crowding, like a herd of sheep, Why then that thing becomes through imitation Vulgar, excessive, obvious, and cheap.",0.9517,0.126,0.011,0.864,positive,"The Jimmyjohn Boss, and Other Stories"
No gentleman desires to be pursuing What every Tom and Dick and Harry's doing.,-0.6705,0.0,0.314,0.686,negative,"The Jimmyjohn Boss, and Other Stories"
"Stranger, do you write books?",0.0,0.0,0.0,1.0,neutral,"The Jimmyjohn Boss, and Other Stories"
"I ask the question, Because I'm told that everybody writes That what with scribbling, eating, and digestion, And proper slumber, all our days and nights Are wholly filled.",0.0,0.0,0.0,1.0,neutral,"The Jimmyjohn Boss, and Other Stories"
"It seems an odd suggestion-- But if you do write, stop it, leave the masses, Read me, and join the small selected classes.",-0.2382,0.102,0.209,0.69,negative,"The Jimmyjohn Boss, and Other Stories"
"The Jimmyjohn Boss I One day at Nampa, which is in Idaho, a ruddy old massive jovial man stood by the Silver City stage, patting his beard with his left hand, and with his right the shoulder of a boy who stood beside him.",0.7269,0.135,0.0,0.865,positive,"The Jimmyjohn Boss, and Other Stories"
"He had come with the boy on the branch train from Boise, because he was a careful German and liked to say everything twice--twice at least when it was a matter of business.",0.5423,0.164,0.0,0.836,positive,"The Jimmyjohn Boss, and Other Stories"
"This was a matter of very particular business, and the German had repeated himself for nineteen miles.",0.0258,0.068,0.0,0.932,neutral,"The Jimmyjohn Boss, and Other Stories"
"Presently the east-bound on the main line would arrive from Portland; then the Silver City stage would take the boy south on his new mission, and the man would journey by the branch train back to Boise.",0.0,0.0,0.0,1.0,neutral,"The Jimmyjohn Boss, and Other Stories"
"From Boise no one could say where he might not go, west or east.",-0.296,0.0,0.145,0.855,negative,"The Jimmyjohn Boss, and Other Stories"
"He was a great and pervasive cattle man in Oregon, California, and other places.",0.6249,0.255,0.0,0.745,positive,"The Jimmyjohn Boss, and Other Stories"
Vogel and Lex--even to-day you may hear the two ranch partners spoken of.,0.0,0.0,0.0,1.0,neutral,"The Jimmyjohn Boss, and Other Stories"
