sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of The Smoky God; Or, A Voyage to the Inner World This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",0.128,0.101,0.091,0.807,positive,"The Smoky God; Or, A Voyage to the Inner World"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"The Smoky God; Or, A Voyage to the Inner World"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"The Smoky God; Or, A Voyage to the Inner World"
"Title : The Smoky God; Or, A Voyage to the Inner World Author : Willis George Emerson Release date : January 1, 2002 [eBook #3007] Most recently updated: February 1, 2013 Language : English Other information and formats : www.gutenberg.org/ebooks/3007 Credits : Produced by Judy Boss, and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE SMOKY GOD; OR, A VOYAGE TO THE INNER WORLD *** THE SMOKY GOD OR A Voyage to the Inner World By Willis George Emerson Author Of ""Buell Hampton,"" ""The Builders,"" Etc.",0.8506,0.12,0.0,0.88,positive,"The Smoky God; Or, A Voyage to the Inner World"
"Copyright, 1908, Dedicated TO MY CHUM AND COMPANION BONNIE EMERSON MY WIFE NB: I have removed running heads and page numbers, have joined footnotes spread over two or more pages, have moved footnotes to a position immediately below the paragraph that refers to them, and have changed footnote numbers from 1 at the beginning of each note to a sequence of 1-25.",0.4588,0.05,0.0,0.95,positive,"The Smoky God; Or, A Voyage to the Inner World"
I have also enclosed each footnote number in the text within square brackets and have enclosed each entire footnote within square brackets as well.,0.34,0.139,0.0,0.861,positive,"The Smoky God; Or, A Voyage to the Inner World"
"Note: I have made the following changes to the text: PAGE NOTE LINE ORIGINAL CHANGED TO 97 10 to too 126 4 Heddekel Hiddekel 139 1 3 Cratyluo Cratylus 147 11 tiouous tinuous 178 18 Los- Los 180 1 17 Scoreby, Scoresby, Contents THE SMOKY GOD PART ONE.",0.7065,0.125,0.0,0.875,positive,"The Smoky God; Or, A Voyage to the Inner World"
AUTHOR'S FOREWORD PART TWO.,0.0,0.0,0.0,1.0,neutral,"The Smoky God; Or, A Voyage to the Inner World"
OLAF JANSEN'S STORY PART THREE.,0.0,0.0,0.0,1.0,neutral,"The Smoky God; Or, A Voyage to the Inner World"
BEYOND THE NORTH WIND PART FOUR.,0.0,0.0,0.0,1.0,neutral,"The Smoky God; Or, A Voyage to the Inner World"
IN THE UNDER WORLD PART FIVE.,0.0,0.0,0.0,1.0,neutral,"The Smoky God; Or, A Voyage to the Inner World"
AMONG THE ICE PACKS PART SIX.,0.0,0.0,0.0,1.0,neutral,"The Smoky God; Or, A Voyage to the Inner World"
CONCLUSION PART SEVEN.,0.0,0.0,0.0,1.0,neutral,"The Smoky God; Or, A Voyage to the Inner World"
"AUTHOR'S AFTERWORD THE SMOKY GOD OR A VOYAGE TO THE INNER WORLD ""He is the God who sits in the center, on the navel of the earth, and he is the interpreter of religion to all mankind.""--PLATO.",0.6037,0.127,0.0,0.873,positive,"The Smoky God; Or, A Voyage to the Inner World"
PART ONE.,0.0,0.0,0.0,1.0,neutral,"The Smoky God; Or, A Voyage to the Inner World"
"AUTHOR'S FOREWORD I FEAR the seemingly incredible story which I am about to relate will be regarded as the result of a distorted intellect superinduced, possibly, by the glamour of unveiling a marvelous mystery, rather than a truthful record of the unparalleled experiences related by one Olaf Jansen, whose eloquent madness so appealed to my imagination that all thought of an analytical criticism has been effectually dispelled.",0.2185,0.167,0.156,0.677,positive,"The Smoky God; Or, A Voyage to the Inner World"
Marco Polo will doubtless shift uneasily in his grave at the strange story I am called upon to chronicle; a story as strange as a Munchausen tale.,-0.6908,0.064,0.292,0.644,negative,"The Smoky God; Or, A Voyage to the Inner World"
