sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of The Country of the Blind, and Other Stories This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",-0.5106,0.058,0.148,0.793,negative,"The Country of the Blind, and Other Stories"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"The Country of the Blind, and Other Stories"
"Title : The Country of the Blind, and Other Stories Author : H. G. Wells Release date : April 1, 2004 [eBook #11870] Most recently updated: October 28, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/11870 Credits : E-text prepared by Paul Murray, Charles Bidwell, and Project Gutenberg Distributed Proofreaders *** START OF THE PROJECT GUTENBERG EBOOK THE COUNTRY OF THE BLIND, AND OTHER STORIES *** THE COUNTRY OF THE BLIND AND OTHER STORIES By H. G. Wells CONTENTS INTRODUCTION I.",-0.4881,0.095,0.109,0.796,negative,"The Country of the Blind, and Other Stories"
-- THE JILTING OF JANE.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
II.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE CONE.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
III.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE STOLEN BACILLUS.,-0.6037,0.0,0.567,0.433,negative,"The Country of the Blind, and Other Stories"
IV.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE FLOWERING OF THE STRANGE ORCHID.,-0.368,0.0,0.297,0.703,negative,"The Country of the Blind, and Other Stories"
V. -- IN THE AVU OBSERVATORY.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
VI.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- AEPYORNIS ISLAND.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
VII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE REMARKABLE CASE OF DAVIDSON'S EYES.,0.6523,0.419,0.0,0.581,positive,"The Country of the Blind, and Other Stories"
VIII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE LORD OF THE DYNAMOS.,0.2577,0.289,0.0,0.711,positive,"The Country of the Blind, and Other Stories"
IX.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE MOTH.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
X.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE TREASURE IN THE FOREST.,0.4466,0.37,0.0,0.63,positive,"The Country of the Blind, and Other Stories"
XI.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE STORY OF THE LATE MR. ELVESHAM.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- UNDER THE KNIFE.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XIII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE SEA RAIDERS.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XIV.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE OBLITERATED MAN.,-0.5904,0.0,0.561,0.439,negative,"The Country of the Blind, and Other Stories"
XV.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE PLATTNER STORY.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XVI.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE RED ROOM.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XVII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE PURPLE PILEUS XVIII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- A SLIP UNDER THE MICROSCOPE.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XIX.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE CRYSTAL EGG.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XX.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE STAR.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XXI.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE MAN WHO COULD WORK MIRACLES.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XXII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- A VISION OF JUDGMENT.,0.4084,0.477,0.0,0.523,positive,"The Country of the Blind, and Other Stories"
XXIII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- JIMMY GOGGLES THE GOD.,0.4278,0.415,0.0,0.585,positive,"The Country of the Blind, and Other Stories"
XXIV.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- MISS WINCHELSEA'S HEART.,-0.3254,0.0,0.437,0.563,negative,"The Country of the Blind, and Other Stories"
XXV.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- A DREAM OF ARMAGEDDON.,0.4084,0.477,0.0,0.523,positive,"The Country of the Blind, and Other Stories"
XXVI.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE VALLEY OF SPIDERS.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XXVII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE NEW ACCELERATOR.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XXVIII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE TRUTH ABOUT PYECRAFT.,0.4648,0.431,0.0,0.569,positive,"The Country of the Blind, and Other Stories"
XXIX.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE MAGIC SHOP.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XXX.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE EMPIRE OF THE ANTS.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XXXI.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE DOOR IN THE WALL.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
XXXII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE COUNTRY OF THE BLIND.,-0.5319,0.0,0.407,0.593,negative,"The Country of the Blind, and Other Stories"
XXXIII.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
-- THE BEAUTIFUL SUIT.,0.6841,0.607,0.0,0.393,positive,"The Country of the Blind, and Other Stories"
INTRODUCTION The enterprise of Messrs. T. Nelson & Sons and the friendly accommodation of Messrs. Macmillan render possible this collection in one cover of all the short stories by me that I care for any one to read again.,0.7506,0.155,0.0,0.845,positive,"The Country of the Blind, and Other Stories"
"Except for the two series of linked incidents that make up the bulk of the book called Tales of Space and Time , no short story of mine of the slightest merit is excluded from this volume.",-0.2023,0.069,0.114,0.817,negative,"The Country of the Blind, and Other Stories"
Many of very questionable merit find a place; it is an inclusive and not an exclusive gathering.,0.0555,0.154,0.194,0.652,positive,"The Country of the Blind, and Other Stories"
"And the task of selection and revision brings home to me with something of the effect of discovery that I was once an industrious writer of short stories, and that I am no longer anything of the kind.",0.296,0.086,0.056,0.859,positive,"The Country of the Blind, and Other Stories"
"I have not written one now for quite a long time, and in the past five or six years I have made scarcely one a year.",0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
The bulk of the fifty or sixty tales from which this present three-and-thirty have been chosen dates from the last century.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
This edition is more definitive than I supposed when first I arranged for it.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
In the presence of so conclusive an ebb and cessation an almost obituary manner seems justifiable.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
I find it a little difficult to disentangle the causes that have restricted the flow of these inventions.,-0.5868,0.0,0.256,0.744,negative,"The Country of the Blind, and Other Stories"
"It has happened, I remark, to others as well as to myself, and in spite of the kindliest encouragement to continue from editors and readers.",0.128,0.167,0.116,0.717,positive,"The Country of the Blind, and Other Stories"
"There was a time when life bubbled with short stories; they were always coming to the surface of my mind, and it is no deliberate change of will that has thus restricted my production.",-0.5859,0.0,0.134,0.866,negative,"The Country of the Blind, and Other Stories"
"It is rather, I think, a diversion of attention to more sustained and more exacting forms.",0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
It was my friend Mr. C.L.,0.4939,0.39,0.0,0.61,positive,"The Country of the Blind, and Other Stories"
Hind who set that spring going.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
"He urged me to write short stories for the Pall Mall Budget , and persuaded me by his simple and buoyant conviction that I could do what he desired.",0.4588,0.138,0.0,0.862,positive,"The Country of the Blind, and Other Stories"
"There existed at the time only the little sketch, ""The Jilting of Jane,"" included in this volume--at least, that is the only tolerable fragment of fiction I find surviving from my pre-Lewis-Hind period.",0.296,0.066,0.0,0.934,positive,"The Country of the Blind, and Other Stories"
"But I set myself, so encouraged, to the experiment of inventing moving and interesting things that could be given vividly in the little space of eight or ten such pages as this, and for a time I found it a very entertaining pursuit indeed.",0.9217,0.248,0.0,0.752,positive,"The Country of the Blind, and Other Stories"
Mr. Hind's indicating finger had shown me an amusing possibility of the mind.,0.3818,0.178,0.0,0.822,positive,"The Country of the Blind, and Other Stories"
"I found that, taking almost anything as a starting-point and letting my thoughts play about it, there would presently come out of the darkness, in a manner quite inexplicable, some absurd or vivid little incident more or less relevant to that initial nucleus.",0.1027,0.057,0.047,0.896,positive,"The Country of the Blind, and Other Stories"
"Little men in canoes upon sunlit oceans would come floating out of nothingness, incubating the eggs of prehistoric monsters unawares; violent conflicts would break out amidst the flower-beds of suburban gardens; I would discover I was peering into remote and mysterious worlds ruled by an order logical indeed but other than our common sanity.",-0.5023,0.0,0.078,0.922,negative,"The Country of the Blind, and Other Stories"
The 'nineties was a good and stimulating period for a short-story writer.,0.7003,0.42,0.0,0.58,positive,"The Country of the Blind, and Other Stories"
"Mr. Kipling had made his astonishing advent with a series of little blue-grey books, whose covers opened like window-shutters to reveal the dusty sun-glare and blazing colours of the East; Mr. Barrie had demonstrated what could be done in a little space through the panes of his Window in Thrums .",0.3612,0.051,0.0,0.949,positive,"The Country of the Blind, and Other Stories"
"The National Observer was at the climax of its career of heroic insistence upon lyrical brevity and a vivid finish, and Mr. Frank Harris was not only printing good short stories by other people, but writing still better ones himself in the dignified pages of the Fortnightly Review.",0.8673,0.189,0.031,0.78,positive,"The Country of the Blind, and Other Stories"
"Longman's Magazine , too, represented a clienthle of appreciative short-story readers that is now scattered.",0.5574,0.231,0.0,0.769,positive,"The Country of the Blind, and Other Stories"
"Then came the generous opportunities of the Yellow Book , and the National Observer died only to give birth to the New Review .",0.3182,0.207,0.126,0.667,positive,"The Country of the Blind, and Other Stories"
No short story of the slightest distinction went for long unrecognised.,-0.296,0.0,0.18,0.82,negative,"The Country of the Blind, and Other Stories"
The sixpenny popular magazines had still to deaden down the conception of what a short story might be to the imaginative limitation of the common reader--and a maximum length of six thousand words.,0.1531,0.082,0.065,0.853,positive,"The Country of the Blind, and Other Stories"
Short stories broke out everywhere.,-0.4215,0.0,0.412,0.588,negative,"The Country of the Blind, and Other Stories"
"Kipling was writing short stories; Barrie, Stevenson, Frank-Harris; Max Beerbohm wrote at least one perfect one, ""The Happy Hypocrite""; Henry James pursued his wonderful and inimitable bent; and among other names that occur to me, like a mixed handful of jewels drawn from a bag, are George Street, Morley Roberts, George Gissing, Ella d'Arcy, Murray Gilchrist, E. Nesbit, Stephen Crane, Joseph Conrad, Edwin Pugh, Jerome K. Jerome, Kenneth Graham, Arthur Morrison, Marriott Watson, George Moore, Grant Allen, George Egerton, Henry Harland, Pett Ridge, W. W. Jacobs (who alone seems inexhaustible).",0.9524,0.187,0.02,0.793,positive,"The Country of the Blind, and Other Stories"
I dare say I could recall as many more names with a little effort.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
"I may be succumbing to the infirmities of middle age, but I do not think the present decade can produce any parallel to this list, or what is more remarkable, that the later achievements in this field of any of the survivors from that time, with the sole exception of Joseph Conrad, can compare with the work they did before 1900.",0.7461,0.084,0.0,0.916,positive,"The Country of the Blind, and Other Stories"
"It seems to me this outburst of short stories came not only as a phase in literary development, but also as a phase in the development of the individual writers concerned.",0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
It is now quite unusual to see any adequate criticism of short stories in English.,-0.25,0.107,0.163,0.73,negative,"The Country of the Blind, and Other Stories"
I do not know how far the decline in short-story writing may not be due to that.,0.0,0.0,0.0,1.0,neutral,"The Country of the Blind, and Other Stories"
"Every sort of artist demands human responses, and few men can contrive to write merely for a publisher's cheque and silence, however reassuring that cheque may be.",0.4019,0.097,0.0,0.903,positive,"The Country of the Blind, and Other Stories"
A mad millionaire who commissioned masterpieces to burn would find it impossible to buy them.,0.0772,0.187,0.171,0.642,positive,"The Country of the Blind, and Other Stories"
