sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Secret Garden This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.068,0.107,0.825,negative,The Secret Garden
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Secret Garden
"Title : The Secret Garden Author : Frances Hodgson Burnett Release date : December 26, 2005 [eBook #17396] Language : English Other information and formats : www.gutenberg.org/ebooks/17396 Credits : Produced by Jason Isbell, Emmy and the Online Distributed Proofreading Team at http://www.pgdp.net *** START OF THE PROJECT GUTENBERG EBOOK THE SECRET GARDEN *** ""IT SEEMED SCARCELY BEARABLE TO LEAVE SUCH DELIGHTFULNESS""-- Page 231 THE SECRET GARDEN BY FRANCES HODGSON BURNETT Author of "" The Shuttle ,"" "" The Making of a Marchioness ,"" "" The Methods of Lady Walderhurst ,"" "" That Lass o' Lowries ,"" "" Through One Administration ,"" "" Little Lord Fauntleroy "" "" A Lady of Quality ,"" etc.",0.0441,0.025,0.023,0.952,neutral,The Secret Garden
"NEW YORK FREDERICK A. STOKES COMPANY PUBLISHERS Copyright, 1911, by Frances Hodgson Burnett Copyright, 1910, 1911, by The Phillips Publishing Co. All rights reserved, including that of translation into foreign languages, including the Scandinavian.",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"August, 1911.",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"CONTENTS CHAPTER PAGE I There is No One Left 1 II Mistress Mary Quite Contrary 10 III Across the Moor 23 IV Martha 30 V The Cry in the Corridor 55 VI "" There Was Some One Crying--There Was! """,-0.68,0.0,0.145,0.855,negative,The Secret Garden
"65 VII The Key of the Garden 75 VIII The Robin Who Showed the Way 85 IX The Strangest House Any One Ever Lived in 97 X Dickon 111 XI The Nest of the Missel Thrush 128 XII "" Might I Have a Bit of Earth ?""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"140 XIII "" I am Colin "" 153 XIV A Young Rajah 172 XV Nest Building 189 XVI "" I Won't!""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"Said Mary 207 XVII A Tantrum 218 XVIII "" Tha' Munnot Waste No Time "" 229 XIX "" It Has Come !""",-0.7959,0.0,0.35,0.65,negative,The Secret Garden
"239 XX "" I Shall Live Forever--and Ever--and Ever !""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"255 XXI Ben Weatherstaff 268 XXII When the Sun Went Down 284 XXIII Magic 292 XXIV "" Let Them Laugh "" 310 XXV The Curtain 328 XXVI "" It's Mother! """,0.5983,0.13,0.0,0.87,positive,The Secret Garden
339 XXVII In the Garden 353 THE SECRET GARDEN CHAPTER I THERE IS NO ONE LEFT When Mary Lennox was sent to Misselthwaite Manor to live with her uncle everybody said she was the most disagreeable-looking child ever seen.,-0.4466,0.0,0.073,0.927,negative,The Secret Garden
"It was true, too.",0.4215,0.483,0.0,0.517,positive,The Secret Garden
"She had a little thin face and a little thin body, thin light hair and a sour expression.",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"Her hair was yellow, and her face was yellow because she had been born in India and had always been ill in one way or another.",-0.4215,0.0,0.101,0.899,negative,The Secret Garden
"Her father had held a position under the English Government and had always been busy and ill himself, and her mother had been a great beauty who cared only to go to parties and amuse herself with gay people.",0.9231,0.323,0.056,0.621,positive,The Secret Garden
"She had not wanted a little girl at all, and when Mary was born she handed her over to the care of an Ayah, who was made to understand that if she wished to please the Mem Sahib she must keep the child out of sight as much as possible.",0.6705,0.105,0.0,0.895,positive,The Secret Garden
"So when she was a sickly, fretful, ugly little baby she was kept out of the way, and when she became a sickly, fretful, toddling thing she was kept out of the way also.",-0.5106,0.0,0.096,0.904,negative,The Secret Garden
"She never remembered seeing familiarly anything but the dark faces of her Ayah and the other native servants, and as they always obeyed her and gave her her own way in everything, because the Mem Sahib would be angry if she was disturbed by her crying, by the time she was six years old she was as tyrannical and selfish a little pig as ever lived.",-0.9528,0.0,0.209,0.791,negative,The Secret Garden
"The young English governess who came to teach her to read and write disliked her so much that she gave up her place in three months, and when other governesses came to try to fill it they always went away in a shorter time than the first one.",-0.4019,0.0,0.055,0.945,negative,The Secret Garden
So if Mary had not chosen to really want to know how to read books she would never have learned her letters at all.,0.1513,0.065,0.0,0.935,positive,The Secret Garden
"One frightfully hot morning, when she was about nine years old, she awakened feeling very cross, and she became crosser still when she saw that the servant who stood by her bedside was not her Ayah.",-0.296,0.039,0.071,0.89,negative,The Secret Garden
"""Why did you come?""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
she said to the strange woman.,-0.2023,0.0,0.265,0.735,negative,The Secret Garden
"""I will not let you stay.",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"Send my Ayah to me.""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"The woman looked frightened, but she only stammered that the Ayah could not come and when Mary threw herself into a passion and beat and kicked her, she looked only more frightened and repeated that it was not possible for the Ayah to come to Missie Sahib.",-0.4854,0.074,0.151,0.776,negative,The Secret Garden
There was something mysterious in the air that morning.,0.0,0.0,0.0,1.0,neutral,The Secret Garden
"Nothing was done in its regular order and several of the native servants seemed missing, while those whom Mary saw slunk or hurried about with ashy and scared faces.",-0.6249,0.0,0.159,0.841,negative,The Secret Garden
But no one would tell her anything and her Ayah did not come.,-0.4215,0.0,0.189,0.811,negative,The Secret Garden
"She was actually left alone as the morning went on, and at last she wandered out into the garden and began to play by herself under a tree near the veranda.",0.1027,0.074,0.062,0.864,positive,The Secret Garden
"She pretended that she was making a flower-bed, and she stuck big scarlet hibiscus blossoms into little heaps of earth, all the time growing more and more angry and muttering to herself the things she would say and the names she would call Saidie when she returned.",-0.6318,0.034,0.116,0.851,negative,The Secret Garden
"""Pig!",0.0,0.0,0.0,1.0,neutral,The Secret Garden
Pig!,0.0,0.0,0.0,1.0,neutral,The Secret Garden
"Daughter of Pigs!""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"she said, because to call a native a pig is the worst insult of all.",-0.8126,0.0,0.402,0.598,negative,The Secret Garden
She was grinding her teeth and saying this over and over again when she heard her mother come out on the veranda with some one.,0.0,0.0,0.0,1.0,neutral,The Secret Garden
She was with a fair young man and they stood talking together in low strange voices.,-0.1531,0.126,0.214,0.659,negative,The Secret Garden
Mary knew the fair young man who looked like a boy.,0.5859,0.375,0.0,0.625,positive,The Secret Garden
She had heard that he was a very young officer who had just come from England.,0.0,0.0,0.0,1.0,neutral,The Secret Garden
"The child stared at him, but she stared most at her mother.",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"She always did this when she had a chance to see her, because the Mem Sahib--Mary used to call her that oftener than anything else--was such a tall, slim, pretty person and wore such lovely clothes.",0.8402,0.225,0.0,0.775,positive,The Secret Garden
"Her hair was like curly silk and she had a delicate little nose which seemed to be disdaining things, and she had large laughing eyes.",0.7096,0.247,0.0,0.753,positive,The Secret Garden
"All her clothes were thin and floating, and Mary said they were ""full of lace.""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"They looked fuller of lace than ever this morning, but her eyes were not laughing at all.",-0.5334,0.0,0.177,0.823,negative,The Secret Garden
They were large and scared and lifted imploringly to the fair boy officer's face.,-0.1531,0.134,0.169,0.698,negative,The Secret Garden
"""Is it so very bad?",-0.6214,0.0,0.504,0.496,negative,The Secret Garden
"Oh, is it?""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
Mary heard her say.,0.0,0.0,0.0,1.0,neutral,The Secret Garden
"""Awfully,"" the young man answered in a trembling voice.",-0.3612,0.0,0.263,0.737,negative,The Secret Garden
"""Awfully, Mrs. Lennox.",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"You ought to have gone to the hills two weeks ago.""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
The Mem Sahib wrung her hands.,0.0,0.0,0.0,1.0,neutral,The Secret Garden
"""Oh, I know I ought!""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
she cried.,-0.3818,0.0,0.722,0.278,negative,The Secret Garden
"""I only stayed to go to that silly dinner party.",0.4215,0.322,0.0,0.678,positive,The Secret Garden
"What a fool I was!""",-0.4926,0.0,0.615,0.385,negative,The Secret Garden
"At that very moment such a loud sound of wailing broke out from the servants' quarters that she clutched the young man's arm, and Mary stood shivering from head to foot.",-0.4215,0.0,0.088,0.912,negative,The Secret Garden
The wailing grew wilder and wilder.,0.0,0.0,0.0,1.0,neutral,The Secret Garden
"""What is it?",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"What is it?""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
Mrs. Lennox gasped.,0.0,0.0,0.0,1.0,neutral,The Secret Garden
"""Some one has died,"" answered the boy officer.",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"""You did not say it had broken out among your servants.""",-0.4767,0.0,0.237,0.763,negative,The Secret Garden
"""I did not know!""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
the Mem Sahib cried.,-0.3818,0.0,0.464,0.536,negative,The Secret Garden
"""Come with me!",0.0,0.0,0.0,1.0,neutral,The Secret Garden
"Come with me!""",0.0,0.0,0.0,1.0,neutral,The Secret Garden
and she turned and ran into the house.,0.0,0.0,0.0,1.0,neutral,The Secret Garden
"After that appalling things happened, and the mysteriousness of the morning was explained to Mary.",-0.3612,0.0,0.152,0.848,negative,The Secret Garden
The cholera had broken out in its most fatal form and people were dying like flies.,-0.659,0.112,0.308,0.581,negative,The Secret Garden
"The Ayah had been taken ill in the night, and it was because she had just died that the servants had wailed in the huts.",-0.7506,0.0,0.218,0.782,negative,The Secret Garden
Before the next day three other servants were dead and others had run away in terror.,-0.8271,0.0,0.355,0.645,negative,The Secret Garden
"There was panic on every side, and dying people in all the bungalows.",-0.5106,0.0,0.216,0.784,negative,The Secret Garden
During the confusion and bewilderment of the second day Mary hid herself in the nursery and was forgotten by every one.,-0.5423,0.0,0.234,0.766,negative,The Secret Garden
"Nobody thought of her, nobody wanted her, and strange things happened of which she knew nothing.",-0.2023,0.0,0.107,0.893,negative,The Secret Garden
