sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of Harper's Young People, June 15, 1880 This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",-0.1531,0.063,0.1,0.837,negative,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
"Title : Harper's Young People, June 15, 1880 Author : Various Release date : May 30, 2009 [eBook #29002] Most recently updated: January 5, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/29002 Credits : Produced by Annie McGuire *** START OF THE PROJECT GUTENBERG EBOOK HARPER'S YOUNG PEOPLE, JUNE 15, 1880 *** CHARLEY'S BALLOON VOYAGE.",0.3612,0.048,0.0,0.952,positive,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
A MANLY BOY.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
CAMBRIDGE SERIES THE MORAL PIRATES.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
THE BIG-DOG'S LESSON.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
THE CARPENTER'S SERMON.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
THE STORY OF GEORGE WASHINGTON.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
AN INDIAN GAME.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
SHIP-BUILDING.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
LIVING HONEY-COMBS.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
BEAUTIES OF THE UNDER-GROUND WORLD.,0.5267,0.459,0.0,0.541,positive,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
A WELL-MEANING LITTLE BUSYBODY.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
TWO LITTLE SUN-BONNETS.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
VOYAGE OF THE PAPER DOLLS.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
OUR POST-OFFICE BOX THE IBEX.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
OLD SCOTTISH COINS.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
THE STUMP PUZZLE.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
DOUBLE ACROSTIC CHARADE.,0.0,0.0,0.0,1.0,neutral,"Harper's Young People, June 15, 1880 / An Illustrated Weekly"
