sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Germinal This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Germinal
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Germinal
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Germinal
"Title : Germinal Author : Émile Zola Release date : May 1, 2004 [eBook #5711] Most recently updated: December 29, 2020 Language : French Other information and formats : www.gutenberg.org/ebooks/5711 Credits : This eBook was produced by Carlo Traverso *** START OF THE PROJECT GUTENBERG EBOOK GERMINAL *** This eBook was produced by Carlo Traverso.",0.3612,0.05,0.0,0.95,positive,Germinal
"Author: Émile Zola Title: Germinal Remark: n. 13 of ""Les Rougon-Macquart"" Language: French Encoding: ISO-8859-1 We thank the Bibliotheque Nationale de France that has made available the image files at www://gallica.bnf.fr, authorizing the preparation of the etext through OCR.",0.3612,0.062,0.0,0.938,positive,Germinal
"Nous remercions la Bibliothèque Nationale de France qui a mis à disposition les images dans www://gallica.bnf.fr, et a donné l'autorisation de les utiliser pour préparer ce texte.",0.0,0.0,0.0,1.0,neutral,Germinal
"Émile Zola Germinal Première Partie I Dans la plaine rase, sous la nuit sans étoiles, d'une obscurité et d'une épaisseur d'encre, un homme suivait seul la grande route de Marchiennes à Montsou, dix kilomètres de pavé coupant tout droit, à travers les champs de betteraves.",0.3182,0.063,0.034,0.903,positive,Germinal
"Devant lui, il ne voyait même pas le sol noir, et il n'avait la sensation de l'immense horizon plat que par les souffles du vent de mars, des rafales larges comme sur une mer, glacées d'avoir balayé des lieues de marais et de terres nues.",0.0,0.0,0.0,1.0,neutral,Germinal
"Aucune ombre d'arbre ne tachait le ciel, le pavé se déroulait avec la rectitude d'une jetée, au milieu de l'embrun aveuglant des ténèbres.",0.0,0.0,0.0,1.0,neutral,Germinal
L'homme était parti de Marchiennes vers deux heures.,0.0,0.0,0.0,1.0,neutral,Germinal
