sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Democracy and Education: An Introduction to the Philosophy of Education This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.058,0.091,0.851,negative,Democracy and Education: An Introduction to the Philosophy of Education
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Democracy and Education: An Introduction to the Philosophy of Education
"Title : Democracy and Education: An Introduction to the Philosophy of Education Author : John Dewey Release date : March 1, 1997 [eBook #852] Most recently updated: June 16, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/852 Credits : Produced by David Reed and David Widger *** START OF THE PROJECT GUTENBERG EBOOK DEMOCRACY AND EDUCATION: AN INTRODUCTION TO THE PHILOSOPHY OF EDUCATION *** DEMOCRACY AND EDUCATION by John Dewey Transcriber's Note: I have tried to make this the most accurate text possible but I am sure that there are still mistakes.",0.1154,0.052,0.036,0.913,positive,Democracy and Education: An Introduction to the Philosophy of Education
I would like to dedicate this etext to my mother who was a elementary school teacher for more years than I can remember.,0.3612,0.116,0.0,0.884,positive,Democracy and Education: An Introduction to the Philosophy of Education
Thanks.,0.4404,1.0,0.0,0.0,positive,Democracy and Education: An Introduction to the Philosophy of Education
David Reed CONTENTS Chapter One: Education as a Necessity of Life Summary.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
It is the very nature of life to strive to continue in being.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
Chapter Two: Education as a Social Function Summary.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
The development within the young of the attitudes Chapter Three: Education as Direction Summary.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
The natural or native impulses of the young do not agree Chapter Four: Education as Growth Summary.,0.457,0.24,0.099,0.66,positive,Democracy and Education: An Introduction to the Philosophy of Education
Power to grow depends upon need for others and plasticity.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
"Chapter Five: Preparation, Unfolding, and Formal Discipline Summary.",0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
The conception that the result of the educative process Chapter Six: Education as Conservative and Progressive Summary.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
Education may be conceived either retrospectively Chapter Seven: The Democratic Conception in Education Summary.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
"Since education is a social process, and there are many kinds Chapter Eight: Aims in Education Summary.",0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
An aim denotes the result of any natural process Chapter Nine: Natural Development and Social Efficiency as Aims Summary.,0.7579,0.319,0.0,0.681,positive,Democracy and Education: An Introduction to the Philosophy of Education
General or comprehensive aims are points of view for surveying Chapter Ten: Interest and Discipline Summary.,0.6124,0.263,0.0,0.737,positive,Democracy and Education: An Introduction to the Philosophy of Education
Interest and discipline are correlative aspects of activity Chapter Eleven: Experience and Thinking Summary.,0.4588,0.188,0.0,0.812,positive,Democracy and Education: An Introduction to the Philosophy of Education
In determining the place of thinking Chapter Twelve: Thinking in Education Summary.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
Processes of instruction are unified in the degree Chapter Thirteen: The Nature of Method Summary.,0.3818,0.157,0.0,0.843,positive,Democracy and Education: An Introduction to the Philosophy of Education
Method is a statement of the way the subject matter Chapter Fourteen: The Nature of Subject Matter Summary.,0.0516,0.128,0.0,0.872,positive,Democracy and Education: An Introduction to the Philosophy of Education
The subject matter of education consists primarily Chapter Fifteen: Play and Work in the Curriculum Summary.,0.3612,0.2,0.0,0.8,positive,Democracy and Education: An Introduction to the Philosophy of Education
In the previous chapter we found that the primary subject Chapter Sixteen: The Significance of Geography and History Summary.,0.2732,0.104,0.0,0.896,positive,Democracy and Education: An Introduction to the Philosophy of Education
It is the nature of an experience to have implications Chapter Seventeen: Science in the Course of Study Summary.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
Science represents the fruition of the cognitive factors Chapter Eighteen: Educational Values Summary.,0.4019,0.184,0.0,0.816,positive,Democracy and Education: An Introduction to the Philosophy of Education
"Fundamentally, the elements involved in a discussion of value Chapter Nineteen: Labor and Leisure Summary.",0.34,0.156,0.0,0.844,positive,Democracy and Education: An Introduction to the Philosophy of Education
Of the segregations of educational values Chapter Twenty: Intellectual and Practical Studies Summary.,0.7184,0.353,0.0,0.647,positive,Democracy and Education: An Introduction to the Philosophy of Education
The Greeks were induced to philosophize Chapter Twenty-one: Physical and Social Studies: Naturalism and Humanism Summary.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
The philosophic dualism between man and nature is reflected Chapter Twenty-two: The Individual and the World Summary.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
True individualism is a product of the relaxation of the grip Chapter Twenty-Three: Vocational Aspects of Education Summary.,0.7351,0.292,0.0,0.708,positive,Democracy and Education: An Introduction to the Philosophy of Education
A vocation signifies any form of continuous activity Chapter Twenty-four: Philosophy of Education Summary.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
After a review designed to bring out the philosophic issues Chapter Twenty-five: Theories of Knowledge Summary.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
Such social divisions as interfere with free and full Chapter Twenty-six: Theories of Morals Summary.,0.5106,0.191,0.0,0.809,positive,Democracy and Education: An Introduction to the Philosophy of Education
The most important problem of moral education in the school Chapter One: Education as a Necessity of Life 1.,-0.2228,0.099,0.141,0.759,negative,Democracy and Education: An Introduction to the Philosophy of Education
Renewal of Life by Transmission.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
The most notable distinction between living and inanimate things is that the former maintain themselves by renewal.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
A stone when struck resists.,-0.25,0.0,0.4,0.6,negative,Democracy and Education: An Introduction to the Philosophy of Education
"If its resistance is greater than the force of the blow struck, it remains outwardly unchanged.",0.128,0.135,0.108,0.757,positive,Democracy and Education: An Introduction to the Philosophy of Education
"Otherwise, it is shattered into smaller bits.",-0.4767,0.0,0.341,0.659,negative,Democracy and Education: An Introduction to the Philosophy of Education
"Never does the stone attempt to react in such a way that it may maintain itself against the blow, much less so as to render the blow a contributing factor to its own continued action.",0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
"While the living thing may easily be crushed by superior force, it none the less tries to turn the energies which act upon it into means of its own further existence.",0.6124,0.207,0.074,0.718,positive,Democracy and Education: An Introduction to the Philosophy of Education
"If it cannot do so, it does not just split into smaller pieces (at least in the higher forms of life), but loses its identity as a living thing.",-0.4497,0.0,0.098,0.902,negative,Democracy and Education: An Introduction to the Philosophy of Education
"As long as it endures, it struggles to use surrounding energies in its own behalf.",-0.1531,0.109,0.144,0.747,negative,Democracy and Education: An Introduction to the Philosophy of Education
"It uses light, air, moisture, and the material of soil.",0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
To say that it uses them is to say that it turns them into means of its own conservation.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
"As long as it is growing, the energy it expends in thus turning the environment to account is more than compensated for by the return it gets: it grows.",0.4215,0.123,0.0,0.877,positive,Democracy and Education: An Introduction to the Philosophy of Education
"Understanding the word ""control"" in this sense, it may be said that a living being is one that subjugates and controls for its own continued activity the energies that would otherwise use it up.",0.2263,0.056,0.0,0.944,positive,Democracy and Education: An Introduction to the Philosophy of Education
Life is a self-renewing process through action upon the environment.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
In all the higher forms this process cannot be kept up indefinitely.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
After a while they succumb; they die.,-0.5994,0.0,0.438,0.562,negative,Democracy and Education: An Introduction to the Philosophy of Education
The creature is not equal to the task of indefinite self-renewal.,0.0,0.0,0.0,1.0,neutral,Democracy and Education: An Introduction to the Philosophy of Education
