sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of White Fang This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.07,0.109,0.821,negative,White Fang
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,White Fang
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,White Fang
"Title : White Fang Author : Jack London Release date : May 1, 1997 [eBook #910] Most recently updated: August 4, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/910 Credits : Credits: David Price *** START OF THE PROJECT GUTENBERG EBOOK WHITE FANG *** WHITE FANG by Jack London Contents PART I CHAPTER I THE TRAIL OF THE MEAT CHAPTER II THE SHE-WOLF CHAPTER III THE HUNGER CRY PART II CHAPTER I THE BATTLE OF THE FANGS CHAPTER II THE LAIR CHAPTER III THE GREY CUB CHAPTER IV THE WALL OF THE WORLD CHAPTER V THE LAW OF MEAT PART III CHAPTER I THE MAKERS OF FIRE CHAPTER II THE BONDAGE CHAPTER III THE OUTCAST CHAPTER IV THE TRAIL OF THE GODS CHAPTER V THE COVENANT CHAPTER VI THE FAMINE PART IV CHAPTER I THE ENEMY OF HIS KIND CHAPTER II THE MAD GOD CHAPTER III THE REIGN OF HATE CHAPTER IV THE CLINGING DEATH CHAPTER V THE INDOMITABLE CHAPTER VI THE LOVE-MASTER PART V CHAPTER I THE LONG TRAIL CHAPTER II THE SOUTHLAND CHAPTER III THE GOD'S DOMAIN CHAPTER IV THE CALL OF KIND CHAPTER V THE SLEEPING WOLF PART I CHAPTER I THE TRAIL OF THE MEAT Dark spruce forest frowned on either side the frozen waterway.",-0.9352,0.08,0.134,0.787,negative,White Fang
"The trees had been stripped by a recent wind of their white covering of frost, and they seemed to lean towards each other, black and ominous, in the fading light.",-0.34,0.0,0.079,0.921,negative,White Fang
A vast silence reigned over the land.,0.0,0.0,0.0,1.0,neutral,White Fang
"The land itself was a desolation, lifeless, without movement, so lone and cold that the spirit of it was not even that of sadness.",-0.6048,0.062,0.206,0.731,negative,White Fang
"There was a hint in it of laughter, but of a laughter more terrible than any sadness--a laughter that was mirthless as the smile of the sphinx, a laughter cold as the frost and partaking of the grimness of infallibility.",0.9093,0.332,0.123,0.545,positive,White Fang
It was the masterful and incommunicable wisdom of eternity laughing at the futility of life and the effort of life.,0.765,0.268,0.0,0.732,positive,White Fang
"It was the Wild, the savage, frozen-hearted Northland Wild.",-0.4588,0.0,0.273,0.727,negative,White Fang
"But there was life, abroad in the land and defiant.",-0.3291,0.0,0.207,0.793,negative,White Fang
Down the frozen waterway toiled a string of wolfish dogs.,0.0,0.0,0.0,1.0,neutral,White Fang
