sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of A Journey to the Centre of the Earth This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.062,0.097,0.841,negative,A Journey to the Centre of the Earth
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,A Journey to the Centre of the Earth
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,A Journey to the Centre of the Earth
"Title : A Journey to the Centre of the Earth Author : Jules Verne Release date : July 18, 2006 [eBook #18857] Most recently updated: December 27, 2012 Language : English Original publication : Griffith and Farran,, 1871 Other information and formats : www.gutenberg.org/ebooks/18857 Credits : Produced by Norm Wolcott *** START OF THE PROJECT GUTENBERG EBOOK A JOURNEY TO THE CENTRE OF THE EARTH *** A JOURNEY TO THE CENTRE OF THE EARTH By Jules Verne [ Redactor's Note: Journey to the Centre of the Earth is number V002 in the Taves and Michaluk numbering of the works of Jules Verne.",0.6249,0.065,0.0,0.935,positive,A Journey to the Centre of the Earth
"First published in England by Griffith and Farran, 1871, this edition is not a translation at all but a complete re-write of the novel, with portions added and omitted, and names changed.",0.4497,0.092,0.0,0.908,positive,A Journey to the Centre of the Earth
"The most reprinted version, it is entered into Project Gutenberg for reference purposes only.",0.0,0.0,0.0,1.0,neutral,A Journey to the Centre of the Earth
A better translation is A Journey into the Interior of the Earth translated by Rev.,0.4404,0.195,0.0,0.805,positive,A Journey to the Centre of the Earth
"F. A. Malleson, also available on Project Gutenberg. ]",0.0,0.0,0.0,1.0,neutral,A Journey to the Centre of the Earth
"Table of Contents CHAPTER 1 MY UNCLE MAKES A GREAT DISCOVERY CHAPTER 2 THE MYSTERIOUS PARCHMENT CHAPTER 3 AN ASTOUNDING DISCOVERY CHAPTER 4 WE START ON THE JOURNEY CHAPTER 5 FIRST LESSONS IN CLIMBING CHAPTER 6 OUR VOYAGE TO ICELAND CHAPTER 7 CONVERSATION AND DISCOVERY CHAPTER 8 THE EIDER-DOWN HUNTER--OFF AT LAST CHAPTER 9 OUR START--WE MEET WITH ADVENTURES BY THE WAY CHAPTER 10 TRAVELING IN ICELAND CHAPTER 11 WE REACH MOUNT SNEFFELS--THE ""REYKIR"" CHAPTER 12 THE ASCENT OF MOUNT SNEFFELS CHAPTER 13 THE SHADOW OF SCARTARIS CHAPTER 14 THE REAL JOURNEY COMMENCES CHAPTER 15 WE CONTINUE OUR DESCENT CHAPTER 16 THE EASTERN TUNNEL CHAPTER 17 DEEPER AND DEEPER--THE COAL MINE CHAPTER 18 THE WRONG ROAD!",0.8687,0.115,0.032,0.853,positive,A Journey to the Centre of the Earth
"CHAPTER 19 THE WESTERN GALLERY--A NEW ROUTE CHAPTER 20 WATER, WHERE IS IT?",0.0,0.0,0.0,1.0,neutral,A Journey to the Centre of the Earth
A BITTER DISAPPOINTMENT CHAPTER 21 UNDER THE OCEAN CHAPTER 22 SUNDAY BELOW GROUND CHAPTER 23 ALONE CHAPTER 24 LOST!,-0.9277,0.0,0.493,0.507,negative,A Journey to the Centre of the Earth
CHAPTER 25 THE WHISPERING GALLERY CHAPTER 26 A RAPID RECOVERY CHAPTER 27 THE CENTRAL SEA CHAPTER 28 LAUNCHING THE RAFT CHAPTER 29 ON THE WATERS--A RAFT VOYAGE CHAPTER 30 TERRIFIC SAURIAN COMBAT CHAPTER 31 THE SEA MONSTER CHAPTER 32 THE BATTLE OF THE ELEMENTS CHAPTER 33 OUR ROUTE REVERSED CHAPTER 34 A VOYAGE OF DISCOVERY CHAPTER 35 DISCOVERY UPON DISCOVERY CHAPTER 36 WHAT IS IT?,-0.3885,0.055,0.092,0.853,negative,A Journey to the Centre of the Earth
"CHAPTER 37 THE MYSTERIOUS DAGGER CHAPTER 38 NO OUTLET--BLASTING THE ROCK CHAPTER 39 THE EXPLOSION AND ITS RESULTS CHAPTER 40 THE APE GIGANS CHAPTER 41 HUNGER CHAPTER 42 THE VOLCANIC SHAFT CHAPTER 43 DAYLIGHT AT LAST CHAPTER 44 THE JOURNEY ENDED CHAPTER 1 MY UNCLE MAKES A GREAT DISCOVERY Looking back to all that has occurred to me since that eventful day, I am scarcely able to believe in the reality of my adventures.",0.3751,0.091,0.071,0.839,positive,A Journey to the Centre of the Earth
They were truly so wonderful that even now I am bewildered when I think of them.,0.8244,0.389,0.0,0.611,positive,A Journey to the Centre of the Earth
"My uncle was a German, having married my mother's sister, an Englishwoman.",0.0,0.0,0.0,1.0,neutral,A Journey to the Centre of the Earth
"Being very much attached to his fatherless nephew, he invited me to study under him in his home in the fatherland.",0.0,0.0,0.0,1.0,neutral,A Journey to the Centre of the Earth
"This home was in a large town, and my uncle a professor of philosophy, chemistry, geology, mineralogy, and many other ologies.",0.0,0.0,0.0,1.0,neutral,A Journey to the Centre of the Earth
"One day, after passing some hours in the laboratory--my uncle being absent at the time--I suddenly felt the necessity of renovating the tissues-- i.e.",0.0,0.0,0.0,1.0,neutral,A Journey to the Centre of the Earth
", I was hungry, and was about to rouse up our old French cook, when my uncle, Professor Von Hardwigg, suddenly opened the street door, and came rushing upstairs.",0.0,0.0,0.0,1.0,neutral,A Journey to the Centre of the Earth
