sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Cyrano de Bergerac This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.068,0.107,0.825,negative,Cyrano de Bergerac
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Cyrano de Bergerac
"Title : Cyrano de Bergerac Author : Edmond Rostand Translator : Mary F. Guillemard Gladys Thomas Release date : March 1, 1998 [eBook #1254] Most recently updated: August 18, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/1254 Credits : Sue Asscher *** START OF THE PROJECT GUTENBERG EBOOK CYRANO DE BERGERAC *** Cyrano de Bergerac A Play in Five Acts By Edmond Rostand Translated from the French by Gladys Thomas and Mary F. Guillemard CONTENTS Dramatis personae Act I.",0.5994,0.065,0.0,0.935,positive,Cyrano de Bergerac
Scene 1.I.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 1.II.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 1.III.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 1.IV.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 1.V.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 1.VI.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 1.VII.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Act II.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 2.I.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 2.II.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 2.III.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 2.IV.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 2.V.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 2.VI.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 2.VII.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 2.VIII.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 2.IX.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 2.X.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 2.XI.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Act III.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.I.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.II.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.III.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.IV.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.V.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.VI.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.VII.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.VIII.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.IX.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.X.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.XI.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 3.XII.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
ACT IV.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 4.I.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 4.II.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 4.III.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 4.IV.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 4.V.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 4.VI.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 4.VII.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 4.VIII.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 4.IX.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 4.X.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Act V. Scene 5.I.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 5.II.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 5.III.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 5.IV.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 5.V.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
Scene 5.VI.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
"Dramatis personae CYRANO DE BERGERAC CHRISTIAN DE NEUVILLETTE COUNT DE GUICHE RAGUENEAU LE BRET CARBON DE CASTEL-JALOUX THE CADETS LIGNIÈRE DE VALVERT A MARQUIS SECOND MARQUIS THIRD MARQUIS MONTFLEURY BELLEROSE JODELET CUIGY BRISSAILLE THE DOORKEEPER A LACKEY A SECOND LACKEY A BORE A MUSKETEER ANOTHER A SPANISH OFFICER A PORTER A BURGHER HIS SON A PICKPOCKET A SPECTATOR A GUARDSMAN BERTRAND THE FIFER A MONK TWO MUSICIANS THE POETS THE PASTRY COOKS ROXANE SISTER MARTHA LISE THE BUFFET-GIRL MOTHER MARGUERITE THE DUENNA SISTER CLAIRE AN ACTRESS THE PAGES THE SHOP-GIRL The crowd, troopers, burghers (male and female), marquises, musketeers, pickpockets, pastry-cooks, poets, Gascons cadets, actors (male and female), violinists, pages, children, soldiers, Spaniards, spectators (male and female), precieuses, nuns, etc.",-0.4084,0.0,0.025,0.975,negative,Cyrano de Bergerac
Act I.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
A Representation at the Hotel de Bourgogne.,0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
"The hall of the Hotel de Bourgogne, in 1640.",0.0,0.0,0.0,1.0,neutral,Cyrano de Bergerac
