sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of A princess of Mars This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.068,0.107,0.825,negative,A princess of Mars
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,A princess of Mars
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,A princess of Mars
"Title : A princess of Mars Author : Edgar Rice Burroughs Release date : April 1, 1993 [eBook #62] Most recently updated: January 12, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/62 *** START OF THE PROJECT GUTENBERG EBOOK A PRINCESS OF MARS *** A Princess of Mars by Edgar Rice Burroughs To My Son Jack CONTENTS FOREWORD CHAPTER I On the Arizona Hills CHAPTER II The Escape of the Dead CHAPTER III My Advent on Mars CHAPTER IV A Prisoner CHAPTER V I Elude My Watch Dog CHAPTER VI A Fight That Won Friends CHAPTER VII Child-Raising on Mars CHAPTER VIII A Fair Captive from the Sky CHAPTER IX I Learn the Language CHAPTER X Champion and Chief CHAPTER XI With Dejah Thoris CHAPTER XII A Prisoner with Power CHAPTER XIII Love-Making on Mars CHAPTER XIV A Duel to the Death CHAPTER XV Sola Tells Me Her Story CHAPTER XVI We Plan Escape CHAPTER XVII A Costly Recapture CHAPTER XVIII Chained in Warhoon CHAPTER XIX Battling in the Arena CHAPTER XX In the Atmosphere Factory CHAPTER XXI An Air Scout for Zodanga CHAPTER XXII I Find Dejah CHAPTER XXIII Lost in the Sky CHAPTER XXIV Tars Tarkas Finds a Friend CHAPTER XXV The Looting of Zodanga CHAPTER XXVI Through Carnage to Joy CHAPTER XXVII From Joy to Death CHAPTER XXVIII At the Arizona Cave ILLUSTRATIONS I sought out Dejah Thoris in the throng of departing chariots.",-0.0772,0.107,0.108,0.784,negative,A princess of Mars
She drew upon the marble floor the first map of the Barsoomian territory I had ever seen.,0.0,0.0,0.0,1.0,neutral,A princess of Mars
The old man sat and talked with me for hours.,0.0,0.0,0.0,1.0,neutral,A princess of Mars
"With my back against a golden throne, I fought once again for Dejah Thoris.",-0.3182,0.0,0.173,0.827,negative,A princess of Mars
"FOREWORD To the Reader of this Work: In submitting Captain Carter's strange manuscript to you in book form, I believe that a few words relative to this remarkable personality will be of interest.",0.7543,0.196,0.049,0.756,positive,A princess of Mars
"My first recollection of Captain Carter is of the few months he spent at my father's home in Virginia, just prior to the opening of the civil war.",-0.5994,0.0,0.126,0.874,negative,A princess of Mars
"I was then a child of but five years, yet I well remember the tall, dark, smooth-faced, athletic man whom I called Uncle Jack.",0.3919,0.122,0.0,0.878,positive,A princess of Mars
"He seemed always to be laughing; and he entered into the sports of the children with the same hearty good fellowship he displayed toward those pastimes in which the men and women of his own age indulged; or he would sit for an hour at a time entertaining my old grandmother with stories of his strange, wild life in all parts of the world.",0.802,0.129,0.026,0.845,positive,A princess of Mars
"We all loved him, and our slaves fairly worshipped the ground he trod.",0.8225,0.409,0.0,0.591,positive,A princess of Mars
"He was a splendid specimen of manhood, standing a good two inches over six feet, broad of shoulder and narrow of hip, with the carriage of the trained fighting man.",0.6369,0.196,0.073,0.731,positive,A princess of Mars
"His features were regular and clear cut, his hair black and closely cropped, while his eyes were of a steel gray, reflecting a strong and loyal character, filled with fire and initiative.",0.6705,0.234,0.117,0.649,positive,A princess of Mars
"His manners were perfect, and his courtliness was that of a typical southern gentleman of the highest type.",0.5719,0.188,0.0,0.812,positive,A princess of Mars
"His horsemanship, especially after hounds, was a marvel and delight even in that country of magnificent horsemen.",0.891,0.449,0.0,0.551,positive,A princess of Mars
"I have often heard my father caution him against his wild recklessness, but he would only laugh, and say that the tumble that killed him would be from the back of a horse yet unfoaled.",-0.3291,0.116,0.148,0.735,negative,A princess of Mars
"When the war broke out he left us, nor did I see him again for some fifteen or sixteen years.",-0.7717,0.0,0.283,0.717,negative,A princess of Mars
"When he returned it was without warning, and I was much surprised to note that he had not aged apparently a moment, nor had he changed in any other outward way.",0.4471,0.127,0.0,0.873,positive,A princess of Mars
"He was, when others were with him, the same genial, happy fellow we had known of old, but when he thought himself alone I have seen him sit for hours gazing off into space, his face set in a look of wistful longing and hopeless misery; and at night he would sit thus looking up into the heavens, at what I did not know until I read his manuscript years afterward.",-0.7096,0.097,0.158,0.745,negative,A princess of Mars
He told us that he had been prospecting and mining in Arizona part of the time since the war; and that he had been very successful was evidenced by the unlimited amount of money with which he was supplied.,0.0498,0.091,0.087,0.822,neutral,A princess of Mars
"As to the details of his life during these years he was very reticent, in fact he would not talk of them at all.",0.0,0.0,0.0,1.0,neutral,A princess of Mars
"He remained with us for about a year and then went to New York, where he purchased a little place on the Hudson, where I visited him once a year on the occasions of my trips to the New York market--my father and I owning and operating a string of general stores throughout Virginia at that time.",0.0,0.0,0.0,1.0,neutral,A princess of Mars
"Captain Carter had a small but beautiful cottage, situated on a bluff overlooking the river, and during one of my last visits, in the winter of 1885, I observed he was much occupied in writing, I presume now, upon this manuscript.",0.7469,0.129,0.0,0.871,positive,A princess of Mars
"He told me at this time that if anything should happen to him he wished me to take charge of his estate, and he gave me a key to a compartment in the safe which stood in his study, telling me I would find his will there and some personal instructions which he had me pledge myself to carry out with absolute fidelity.",0.4404,0.047,0.0,0.953,positive,A princess of Mars
After I had retired for the night I have seen him from my window standing in the moonlight on the brink of the bluff overlooking the Hudson with his arms stretched out to the heavens as though in appeal.,0.4019,0.07,0.0,0.93,positive,A princess of Mars
"I thought at the time that he was praying, although I never understood that he was in the strict sense of the term a religious man.",0.3612,0.102,0.0,0.898,positive,A princess of Mars
"Several months after I had returned home from my last visit, the first of March, 1886, I think, I received a telegram from him asking me to come to him at once.",0.0,0.0,0.0,1.0,neutral,A princess of Mars
I had always been his favorite among the younger generation of Carters and so I hastened to comply with his demand.,0.3612,0.14,0.07,0.791,positive,A princess of Mars
"I arrived at the little station, about a mile from his grounds, on the morning of March 4, 1886, and when I asked the livery man to drive me out to Captain Carter's he replied that if I was a friend of the Captain's he had some very bad news for me; the Captain had been found dead shortly after daylight that very morning by the watchman attached to an adjoining property.",-0.7089,0.043,0.107,0.85,negative,A princess of Mars
"For some reason this news did not surprise me, but I hurried out to his place as quickly as possible, so that I could take charge of the body and of his affairs.",-0.1045,0.0,0.045,0.955,negative,A princess of Mars
"I found the watchman who had discovered him, together with the local police chief and several townspeople, assembled in his little study.",0.0,0.0,0.0,1.0,neutral,A princess of Mars
"The watchman related the few details connected with the finding of the body, which he said had been still warm when he came upon it.",0.2263,0.073,0.0,0.927,positive,A princess of Mars
"It lay, he said, stretched full length in the snow with the arms outstretched above the head toward the edge of the bluff, and when he showed me the spot it flashed upon me that it was the identical one where I had seen him on those other nights, with his arms raised in supplication to the skies.",0.0,0.0,0.0,1.0,neutral,A princess of Mars
"There were no marks of violence on the body, and with the aid of a local physician the coroner's jury quickly reached a decision of death from heart failure.",-0.9201,0.038,0.366,0.596,negative,A princess of Mars
"Left alone in the study, I opened the safe and withdrew the contents of the drawer in which he had told me I would find my instructions.",0.2263,0.104,0.072,0.824,positive,A princess of Mars
"They were in part peculiar indeed, but I have followed them to each last detail as faithfully as I was able.",0.6124,0.227,0.0,0.773,positive,A princess of Mars
"He directed that I remove his body to Virginia without embalming, and that he be laid in an open coffin within a tomb which he previously had had constructed and which, as I later learned, was well ventilated.",0.2732,0.058,0.0,0.942,positive,A princess of Mars
"The instructions impressed upon me that I must personally see that this was carried out just as he directed, even in secrecy if necessary.",0.4767,0.124,0.0,0.876,positive,A princess of Mars
"His property was left in such a way that I was to receive the entire income for twenty-five years, when the principal was to become mine.",0.0,0.0,0.0,1.0,neutral,A princess of Mars
"His further instructions related to this manuscript which I was to retain sealed and unread, just as I found it, for eleven years; nor was I to divulge its contents until twenty-one years after his death.",-0.5994,0.0,0.109,0.891,negative,A princess of Mars
"A strange feature about the tomb, where his body still lies, is that the massive door is equipped with a single, huge gold-plated spring lock which can be opened only from the inside .",-0.3182,0.066,0.132,0.802,negative,A princess of Mars
