sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Stolen Bacillus and Other Incidents This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.5859,0.06,0.164,0.776,negative,The Stolen Bacillus and Other Incidents
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Stolen Bacillus and Other Incidents
"Title : The Stolen Bacillus and Other Incidents Author : H. G. Wells Release date : June 26, 2004 [eBook #12750] Most recently updated: October 28, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/12750 Credits : Etext produced by Elaine Walker, Josephine Paolucci and the Online Distributed Proofreading Team.",0.0772,0.091,0.064,0.845,positive,The Stolen Bacillus and Other Incidents
HTML file produced by David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE STOLEN BACILLUS AND OTHER INCIDENTS *** THE STOLEN BACILLUS AND OTHER INCIDENTS By H.G.,-0.8345,0.0,0.232,0.768,negative,The Stolen Bacillus and Other Incidents
"Wells Methuen & Co. 36 Essex Street, Strand, London 1895 TO H.B.",0.25,0.167,0.0,0.833,positive,The Stolen Bacillus and Other Incidents
"MARRIOTT WATSON Most of the stories in this collection appeared originally in the Pall Mall Budget , two were published in the Pall Mall Gazette , and one in St James's Gazette .",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
I desire to make the usual acknowledgments.,0.4019,0.351,0.0,0.649,positive,The Stolen Bacillus and Other Incidents
"The third story in the book was, I find, reprinted by the Observatory , and the ""Lord of the Dynamos"" by the Melbourne Leader .",0.0772,0.058,0.0,0.942,positive,The Stolen Bacillus and Other Incidents
H.G.,0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
WELLS.,0.25,1.0,0.0,0.0,positive,The Stolen Bacillus and Other Incidents
"CONTENTS THE STOLEN BACILLUS THE FLOWERING OF THE STRANGE ORCHID IN THE AVU OBSERVATORY THE TRIUMPHS OF A TAXIDERMIST A DEAL IN OSTRICHES THROUGH A WINDOW THE TEMPTATION OF HARRINGAY THE FLYING MAN THE DIAMOND MAKER AEPYORNIS ISLAND THE REMARKABLE CASE OF DAVIDSON'S EYES THE LORD OF THE DYNAMOS THE HAMMERPOND PARK BURGLARY A MOTH--GENUS NOVO THE TREASURE IN THE FOREST THE STOLEN BACILLUS ""This again,"" said the Bacteriologist, slipping a glass slide under the microscope, ""is a preparation of the celebrated Bacillus of cholera--the cholera germ.""",0.8579,0.194,0.102,0.704,positive,The Stolen Bacillus and Other Incidents
The pale-faced man peered down the microscope.,0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"He was evidently not accustomed to that kind of thing, and held a limp white hand over his disengaged eye.",0.4939,0.151,0.0,0.849,positive,The Stolen Bacillus and Other Incidents
"""I see very little,"" he said.",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"""Touch this screw,"" said the Bacteriologist; ""perhaps the microscope is out of focus for you.",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
Eyes vary so much.,0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"Just the fraction of a turn this way or that.""",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"""Ah!",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"now I see,"" said the visitor.",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"""Not so very much to see after all.",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
Little streaks and shreds of pink.,0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"And yet those little particles, those mere atomies, might multiply and devastate a city!",-0.6588,0.0,0.268,0.732,negative,The Stolen Bacillus and Other Incidents
"Wonderful!""",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"He stood up, and releasing the glass slip from the microscope, held it in his hand towards the window.",0.4939,0.151,0.0,0.849,positive,The Stolen Bacillus and Other Incidents
"""Scarcely visible,"" he said, scrutinising the preparation.",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
He hesitated.,-0.3182,0.0,0.697,0.303,negative,The Stolen Bacillus and Other Incidents
"""Are these--alive?",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"Are they dangerous now?""",-0.4767,0.0,0.508,0.492,negative,The Stolen Bacillus and Other Incidents
"""Those have been stained and killed,"" said the Bacteriologist.",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"""I wish, for my own part, we could kill and stain every one of them in the universe.""",-0.4588,0.115,0.201,0.684,negative,The Stolen Bacillus and Other Incidents
"""I suppose,"" the pale man said with a slight smile, ""that you scarcely care to have such things about you in the living--in the active state?""",0.7968,0.269,0.0,0.731,positive,The Stolen Bacillus and Other Incidents
"""On the contrary, we are obliged to,"" said the Bacteriologist.",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"""Here, for instance--"" He walked across the room and took up one of several sealed tubes.",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"""Here is the living thing.",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"This is a cultivation of the actual living disease bacteria.""",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
"He hesitated, ""Bottled cholera, so to speak.""",-0.3182,0.0,0.277,0.723,negative,The Stolen Bacillus and Other Incidents
A slight gleam of satisfaction appeared momentarily in the face of the pale man.,0.4404,0.195,0.0,0.805,positive,The Stolen Bacillus and Other Incidents
"""It's a deadly thing to have in your possession,"" he said, devouring the little tube with his eyes.",0.0,0.0,0.0,1.0,neutral,The Stolen Bacillus and Other Incidents
The Bacteriologist watched the morbid pleasure in his visitor's expression.,0.5719,0.291,0.0,0.709,positive,The Stolen Bacillus and Other Incidents
"This man, who had visited him that afternoon with a note of introduction from an old friend, interested him from the very contrast of their dispositions.",0.7096,0.204,0.0,0.796,positive,The Stolen Bacillus and Other Incidents
"The lank black hair and deep grey eyes, the haggard expression and nervous manner, the fitful yet keen interest of his visitor were a novel change from the phlegmatic deliberations of the ordinary scientific worker with whom the Bacteriologist chiefly associated.",0.7096,0.195,0.046,0.759,positive,The Stolen Bacillus and Other Incidents
