sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Tales of Men and Ghosts This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,Tales of Men and Ghosts
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Tales of Men and Ghosts
"Title : Tales of Men and Ghosts Author : Edith Wharton Release date : October 1, 2003 [eBook #4514] Most recently updated: January 27, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/4514 Credits : Produced by Charles Aldarondo HTML file produced by David Widger *** START OF THE PROJECT GUTENBERG EBOOK TALES OF MEN AND GHOSTS *** TALES OF MEN AND GHOSTS By Edith Wharton London 1910 CONTENTS THE BOLTED DOOR HIS FATHER'S SON THE DAUNT DIANA THE DEBT FULL CIRCLE THE LEGEND THE EYES THE BLOND BEAST AFTERWARD THE LETTERS THE BOLTED DOOR I HUBERT GRANICE, pacing the length of his pleasant lamp-lit library, paused to compare his watch with the clock on the chimney-piece.",0.3751,0.05,0.028,0.923,positive,Tales of Men and Ghosts
Three minutes to eight.,0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
"In exactly three minutes Mr. Peter Ascham, of the eminent legal firm of Ascham and Pettilow, would have his punctual hand on the door-bell of the flat.",0.5719,0.158,0.0,0.842,positive,Tales of Men and Ghosts
It was a comfort to reflect that Ascham was so punctual--the suspense was beginning to make his host nervous.,0.1027,0.121,0.102,0.777,positive,Tales of Men and Ghosts
"And the sound of the door-bell would be the beginning of the end--after that there'd be no going back, by God--no going back!",-0.3595,0.0,0.102,0.898,negative,Tales of Men and Ghosts
Granice resumed his pacing.,0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
"Each time he reached the end of the room opposite the door he caught his reflection in the Florentine mirror above the fine old walnut credence he had picked up at Dijon--saw himself spare, quick-moving, carefully brushed and dressed, but furrowed, gray about the temples, with a stoop which he corrected by a spasmodic straightening of the shoulders whenever a glass confronted him: a tired middle-aged man, baffled, beaten, worn out.",-0.8934,0.05,0.164,0.785,negative,Tales of Men and Ghosts
As he summed himself up thus for the third or fourth time the door opened and he turned with a thrill of relief to greet his guest.,0.7845,0.256,0.0,0.744,positive,Tales of Men and Ghosts
"But it was only the man-servant who entered, advancing silently over the mossy surface of the old Turkey rug.",0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
"""Mr. Ascham telephones, sir, to say he's unexpectedly detained and can't be here till eight-thirty.""",-0.4019,0.0,0.162,0.838,negative,Tales of Men and Ghosts
Granice made a curt gesture of annoyance.,-0.3182,0.0,0.315,0.685,negative,Tales of Men and Ghosts
It was becoming harder and harder for him to control these reflexes.,0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
"He turned on his heel, tossing to the servant over his shoulder: ""Very good.",0.4927,0.197,0.0,0.803,positive,Tales of Men and Ghosts
"Put off dinner.""",0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
Down his spine he felt the man's injured stare.,-0.4019,0.0,0.252,0.748,negative,Tales of Men and Ghosts
Mr. Granice had always been so mild-spoken to his people--no doubt the odd change in his manner had already been noticed and discussed below stairs.,-0.5859,0.0,0.173,0.827,negative,Tales of Men and Ghosts
And very likely they suspected the cause.,-0.2878,0.0,0.265,0.735,negative,Tales of Men and Ghosts
"He stood drumming on the writing-table till he heard the servant go out; then he threw himself into a chair, propping his elbows on the table and resting his chin on his locked hands.",0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
Another half hour alone with it!,-0.3164,0.0,0.314,0.686,negative,Tales of Men and Ghosts
He wondered irritably what could have detained his guest.,-0.6705,0.0,0.44,0.56,negative,Tales of Men and Ghosts
"Some professional matter, no doubt--the punctilious lawyer would have allowed nothing less to interfere with a dinner engagement, more especially since Granice, in his note, had said: ""I shall want a little business chat afterward.""",0.296,0.148,0.06,0.792,positive,Tales of Men and Ghosts
But what professional matter could have come up at that unprofessional hour?,-0.6486,0.074,0.285,0.641,negative,Tales of Men and Ghosts
"Perhaps some other soul in misery had called on the lawyer; and, after all, Granice's note had given no hint of his own need!",-0.7345,0.0,0.22,0.78,negative,Tales of Men and Ghosts
No doubt Ascham thought he merely wanted to make another change in his will.,-0.5719,0.0,0.281,0.719,negative,Tales of Men and Ghosts
"Since he had come into his little property, ten years earlier, Granice had been perpetually tinkering with his will.",0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
"Suddenly another thought pulled him up, sending a flush to his sallow temples.",0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
"He remembered a word he had tossed to the lawyer some six weeks earlier, at the Century Club.",0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
"""Yes--my play's as good as taken.",0.4404,0.367,0.0,0.633,positive,Tales of Men and Ghosts
I shall be calling on you soon to go over the contract.,0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
"Those theatrical chaps are so slippery--I won't trust anybody but you to tie the knot for me!""",-0.3127,0.0,0.124,0.876,negative,Tales of Men and Ghosts
"That, of course, was what Ascham would think he was wanted for.",0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
"Granice, at the idea, broke into an audible laugh--a queer stage-laugh, like the cackle of a baffled villain in a melodrama.",-0.5994,0.1,0.257,0.643,negative,Tales of Men and Ghosts
"The absurdity, the unnaturalness of the sound abashed him, and he compressed his lips angrily.",-0.4215,0.0,0.167,0.833,negative,Tales of Men and Ghosts
Would he take to soliloquy next?,0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
He lowered his arms and pulled open the upper drawer of the writing-table.,-0.128,0.0,0.111,0.889,negative,Tales of Men and Ghosts
"In the right-hand corner lay a thick manuscript, bound in paper folders, and tied with a string beneath which a letter had been slipped.",0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
Next to the manuscript was a small revolver.,0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
Granice stared a moment at these oddly associated objects; then he took the letter from under the string and slowly began to open it.,0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
He had known he should do so from the moment his hand touched the drawer.,0.4939,0.186,0.0,0.814,positive,Tales of Men and Ghosts
Whenever his eye fell on that letter some relentless force compelled him to re-read it.,0.1027,0.156,0.0,0.844,positive,Tales of Men and Ghosts
"It was dated about four weeks back, under the letter-head of ""The Diversity Theatre.""",0.0,0.0,0.0,1.0,neutral,Tales of Men and Ghosts
"""MY DEAR MR. GRANICE: ""I have given the matter my best consideration for the last month, and it's no use--the play won't do.",0.8331,0.353,0.07,0.576,positive,Tales of Men and Ghosts
