sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Nouveaux souvenirs entomologiques - Livre II This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"Title : Nouveaux souvenirs entomologiques - Livre II Author : Jean-Henri Fabre Release date : March 30, 2006 [eBook #18081] Language : French Other information and formats : www.gutenberg.org/ebooks/18081 Credits : Produced by www.ebooksgratuits.com and Chuck Greif *** START OF THE PROJECT GUTENBERG EBOOK NOUVEAUX SOUVENIRS ENTOMOLOGIQUES - LIVRE II *** Jean-Henri Fabre NOUVEAUX SOUVENIRS ENTOMOLOGIQUES Livre II Étude sur l'instinct et les mœurs des insectes (1882) Table des matières I--L'HARMAS II--L'AMMOPHILE HÉRISSÉE III--UN SENS INCONNU--LE VER GRIS IV--LA THÉORIE DE L'INSTINCT V--LES EUMÈNES VI--LES ODYNÈRES VII--NOUVELLES RECHERCHES SUR LES CHALICODOMES VIII--HISTOIRE DE MES CHATS IX--LES FOURMIS ROUSSES X--FRAGMENTS SUR LA PSYCHOLOGIE DE L'INSECTE.",0.3612,0.026,0.0,0.974,positive,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"XI--LA TARENTULE À VENTRE NOIR XII--LES POMPILES XIII--LES HABITANTS DE LA RONCE XIV--LES SITARIS XV--LA LARVE PRIMAIRE DES SITARIS XVI--LA LARVE PRIMAIRE DES MÉLOÉS XVII--L'HYPERMÉTAMORPHOSE Pour tous les yeux attentifs, c'est un spectacle à la fois étrange et d'une grandeur singulière que celui des insectes industrieux déployant dans leurs travaux l'art le plus raffiné.",0.5267,0.062,0.0,0.938,positive,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"L'instinct porté ainsi au plus haut degré dont la nature offre des exemples, confond la raison humaine.",0.0,0.0,0.0,1.0,neutral,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"Le trouble de l'esprit augmente, lorsque intervient l'observation patiente et minutieuse de tous les détails de la vie des êtres les mieux doués sous le rapport de l'instinct.",-0.4019,0.0,0.091,0.909,negative,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
E. Blanchard.,0.0,0.0,0.0,1.0,neutral,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"I L'HARMAS C'est là ce que je désirais, hoc erat in votis : un coin de terre, oh pas bien grand, mais enclos et soustrait aux inconvénients de la voie publique; un coin de terre abandonné, stérile, brûlé par le soleil, favorable aux chardons et aux hyménoptères.",0.7269,0.124,0.0,0.876,positive,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"Là, sans crainte d'être troublé par les passants, je pourrais interroger l'Ammophile et le Sphex, me livrer à ce difficultueux colloque dont la demande et la réponse ont pour langage l'expérimentation; là, sans expéditions lointaines qui dévorent le temps, sans courses pénibles qui énervent l'attention, je pourrais combiner mes plans d'attaque, dresser mes embûches et en suivre les effets chaque jour, à toute heure.",0.0,0.0,0.0,1.0,neutral,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"Hoc erat in votis ; oui, c'était là mon vœu, mon rêve, toujours caressé, toujours fuyant dans la nébulosité de l'avenir.",0.0,0.0,0.0,1.0,neutral,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"Aussi n'est-il pas commode de s'accorder un laboratoire en plein champs, lorsqu'on est sous l'étreinte du terrible souci du pain de chaque jour.",-0.5574,0.096,0.219,0.685,negative,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
Quarante ans j'ai lutté avec un courage inébranlable contre les mesquines misères de la vie; et le laboratoire tant désiré est enfin venu.,0.4939,0.127,0.0,0.873,positive,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"Ce qu'il m'a coûté de persévérance, de travail acharné, je n'essayerai pas de le dire.",-0.4588,0.0,0.176,0.824,negative,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"Il est venu, et avec lui, condition plus grave, peut-être un peu de loisir.",-0.3818,0.0,0.167,0.833,negative,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
"Je dis peut-être, car je traîne toujours à la jambe quelques anneaux de la chaîne de forçat.",0.0,0.0,0.0,1.0,neutral,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
Le vœu s'est réalisé.,0.0,0.0,0.0,1.0,neutral,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
