sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Doña Perfecta This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.2023,0.125,0.106,0.769,positive,Doña Perfecta
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Doña Perfecta
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Doña Perfecta
"Title : Doña Perfecta Author : Benito Pérez Galdós Annotator : Arthur Richmond Marsh Contributor : Steven T. Byington Release date : April 28, 2005 [eBook #15725] Most recently updated: October 22, 2023 Language : English, Spanish Other information and formats : www.gutenberg.org/ebooks/15725 Credits : Produced by Stan Goodman, Miranda van de Heijning, Renald Levesque and the Online Distributed Proofreading Team.",0.5994,0.088,0.0,0.912,positive,Doña Perfecta
*** START OF THE PROJECT GUTENBERG EBOOK DOÑA PERFECTA *** DOÑA PERFECTA POR BENITO PÉREZ GALDÓS WITH AN INTRODUCTION AND NOTES BY A. R. MARSH VOCABULARY BY STEVEN T. BYINGTON The Athenaeum Press GINN AND COMPANY--PROPRIETORS--BOSTON--U.S.A.,0.7404,0.156,0.0,0.844,positive,Doña Perfecta
"PREFACE This edition of one of the best known of modern Spanish novels has been prepared for the use of college classes in Spanish that have already mastered the elements of Spanish grammar, but have not yet had much practice in reading.",0.4678,0.092,0.0,0.908,positive,Doña Perfecta
"The editor has found by actual experience that it is safe to undertake the story in three or four months from the time when the study of the language is begun, that is, in the second half of the first year's work in the subject.",0.4404,0.062,0.0,0.938,positive,Doña Perfecta
"As the book is not a long one, it should be possible to read it entire before the close of the year.",0.0,0.0,0.0,1.0,neutral,Doña Perfecta
"Indeed, with an earnest class, even less time than this will be found to suffice.",0.5106,0.191,0.0,0.809,positive,Doña Perfecta
"The novel is printed exactly (save correction of printer's errors) as it appears in the eighth Spanish edition (Madrid, 1896).",0.3182,0.108,0.0,0.892,positive,Doña Perfecta
"At the same time, great pains have been taken to make the orthography and accentuation conform in all respects to the standard of the last edition of the Spanish Academy's Dictionary.",0.5574,0.172,0.075,0.753,positive,Doña Perfecta
The Notes are considerably fuller than is customary in college editions of modern works in foreign languages.,0.0,0.0,0.0,1.0,neutral,Doña Perfecta
"This has been made necessary in part by the dreadful insufficiency of the existing Spanish-English dictionaries, and in part by the editor's desire to afford the student some aid in dealing with grammatical peculiarities not fully discussed in the more available text-books.",-0.0258,0.083,0.063,0.853,neutral,Doña Perfecta
"As a further help to grammatical study, numerous references have been inserted to Ramsey's Text-Book of Modern Spanish (New York, 1894) and to Knapp's Grammar of the Modern Spanish Language (Boston, 1891).",0.4019,0.083,0.0,0.917,positive,Doña Perfecta
A.R.M.,0.0,0.0,0.0,1.0,neutral,Doña Perfecta
"CAMBRIDGE, MASSACHUSETTS March, 1897 In the new impression of this book the accentuation has been conformed to the new (fourteenth) edition of the Academy's Dictionary, a small number of misprints have been corrected, and a vocabulary has been added.",0.296,0.084,0.0,0.916,positive,Doña Perfecta
"As is stated in the above preface, a considerable part of the notes in the first impression were intended as a partial substitute for a vocabulary.",0.2263,0.079,0.0,0.921,positive,Doña Perfecta
"Obviously, the insertion of the vocabulary made such notes mainly superfluous; hence in the present edition such notes as seemed to be mere duplication of the vocabulary are omitted.",0.0,0.0,0.0,1.0,neutral,Doña Perfecta
"At the same time it was inevitable that in the work of compiling the vocabulary some additional occasions for making notes were found, and new light was obtained on some places where notes already stood.",0.0,0.0,0.0,1.0,neutral,Doña Perfecta
"The result is that the notes in the present impression, though shorter than before, contain (apart from vocabulary matter) more information, and it is hoped that they will at least maintain the reputation which this edition of Doña Perfecta has gained.",0.8176,0.204,0.0,0.796,positive,Doña Perfecta
"Besides the references to the grammars of Ramsey and Knapp, references to Coester's Spanish Grammar (Boston, 1912) are now given.",0.0,0.0,0.0,1.0,neutral,Doña Perfecta
INTRODUCTION The two literary genres in which Spaniards have most excelled are the drama and the novel.,0.6997,0.279,0.0,0.721,positive,Doña Perfecta
"Indeed, outside of these two forms, it may be said that no Spaniard has won a literary success of the first order.",0.7351,0.268,0.08,0.652,positive,Doña Perfecta
"Thus, in the past six centuries there have been many Spanish poets of real worth; and yet in the list of the world's supreme poets no Spanish name appears.",0.5106,0.163,0.065,0.772,positive,Doña Perfecta
"Among the world's great philosophers Spain has no representative, though she has had thinkers of genuine power.",0.4404,0.192,0.103,0.704,positive,Doña Perfecta
"She has had no moralist, or historian, or political writer, or scientist of the highest rank.",-0.296,0.0,0.128,0.872,negative,Doña Perfecta
"Even religion, which at first sight would seem to be the predominant interest of Spain, has not there inspired any work of universal and permanent appeal to the race.",0.0956,0.092,0.081,0.828,positive,Doña Perfecta
The other nations of the civilized world have at no time derived from Spain a powerful literary impulse in any of these directions.,0.1531,0.112,0.088,0.8,positive,Doña Perfecta
Palestine and Greece and Rome and Italy and France and Germany and England have all had something lastingly valuable to say upon one or more of these matters; but no one would think of turning to Spanish books for the best that has been thought and said upon any of them.,0.7377,0.154,0.048,0.799,positive,Doña Perfecta
"With the drama and the novel, however, the case is very different.",0.3182,0.173,0.0,0.827,positive,Doña Perfecta
Here Spain has had writers universally placed among the great artists of the world.,0.6249,0.24,0.0,0.76,positive,Doña Perfecta
"Calderón and Lope de Vega, with the crowd of lesser dramatists of the end of the sixteenth and beginning of the seventeenth century (the period Spaniards call their siglo de oro ), produced a body of dramatic literature, which for extent, variety, poetic force, and original national feeling and conception can be compared only with the Greek and the English drama.",0.4215,0.061,0.0,0.939,positive,Doña Perfecta
