sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Hound of the Baskervilles This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,The Hound of the Baskervilles
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Hound of the Baskervilles
"Title : The Hound of the Baskervilles Author : Arthur Conan Doyle Release date : October 1, 2001 [eBook #2852] Most recently updated: August 4, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/2852 Credits : Shreevatsa R, and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE HOUND OF THE BASKERVILLES *** THE HOUND OF THE BASKERVILLES Another Adventure of Sherlock Holmes by A. Conan Doyle My dear Robinson, It was to your account of a West-Country legend that this tale owes its inception.",0.7506,0.088,0.0,0.912,positive,The Hound of the Baskervilles
For this and for your help in the details all thanks.,0.6808,0.384,0.0,0.616,positive,The Hound of the Baskervilles
"Yours most truly, A. Conan Doyle.",0.4927,0.39,0.0,0.61,positive,The Hound of the Baskervilles
"Hindhead, Haslemere.",0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
Contents Chapter 1 Mr. Sherlock Holmes Chapter 2 The Curse of the Baskervilles Chapter 3 The Problem Chapter 4 Sir Henry Baskerville Chapter 5 Three Broken Threads Chapter 6 Baskerville Hall Chapter 7 The Stapletons of Merripit House Chapter 8 First Report of Dr. Watson Chapter 9 The Light upon the Moor [Second Report of Dr. Watson] Chapter 10 Extract from the Diary of Dr. Watson Chapter 11 The Man on the Tor Chapter 12 Death on the Moor Chapter 13 Fixing the Nets Chapter 14 The Hound of the Baskervilles Chapter 15 A Retrospection Chapter 1.,-0.9217,0.0,0.137,0.863,negative,The Hound of the Baskervilles
"Mr. Sherlock Holmes Mr. Sherlock Holmes, who was usually very late in the mornings, save upon those not infrequent occasions when he was up all night, was seated at the breakfast table.",0.4939,0.094,0.0,0.906,positive,The Hound of the Baskervilles
I stood upon the hearth-rug and picked up the stick which our visitor had left behind him the night before.,0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"It was a fine, thick piece of wood, bulbous-headed, of the sort which is known as a ""Penang lawyer.""",0.2023,0.101,0.0,0.899,positive,The Hound of the Baskervilles
Just under the head was a broad silver band nearly an inch across.,0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"""To James Mortimer, M.R.C.S., from his friends of the C.C.H.,"" was engraved upon it, with the date ""1884.""",0.4767,0.154,0.0,0.846,positive,The Hound of the Baskervilles
"It was just such a stick as the old-fashioned family practitioner used to carry--dignified, solid, and reassuring.",0.5106,0.235,0.0,0.765,positive,The Hound of the Baskervilles
"""Well, Watson, what do you make of it?""",0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"Holmes was sitting with his back to me, and I had given him no sign of my occupation.",-0.296,0.0,0.121,0.879,negative,The Hound of the Baskervilles
"""How did you know what I was doing?",0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"I believe you have eyes in the back of your head.""",0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"""I have, at least, a well-polished, silver-plated coffee-pot in front of me,"" said he.",0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"""But, tell me, Watson, what do you make of our visitor's stick?",0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"Since we have been so unfortunate as to miss him and have no notion of his errand, this accidental souvenir becomes of importance.",-0.6748,0.085,0.306,0.609,negative,The Hound of the Baskervilles
"Let me hear you reconstruct the man by an examination of it.""",0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"""I think,"" said I, following as far as I could the methods of my companion, ""that Dr. Mortimer is a successful, elderly medical man, well-esteemed since those who know him give him this mark of their appreciation.""",0.5859,0.101,0.0,0.899,positive,The Hound of the Baskervilles
"""Good!""",0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
said Holmes.,0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"""Excellent!""",0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"""I think also that the probability is in favour of his being a country practitioner who does a great deal of his visiting on foot.""",0.7906,0.25,0.0,0.75,positive,The Hound of the Baskervilles
"""Why so?""",0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"""Because this stick, though originally a very handsome one has been so knocked about that I can hardly imagine a town practitioner carrying it.",0.5413,0.149,0.0,0.851,positive,The Hound of the Baskervilles
"The thick-iron ferrule is worn down, so it is evident that he has done a great amount of walking with it.""",0.4404,0.169,0.091,0.741,positive,The Hound of the Baskervilles
"""Perfectly sound!""",0.6696,0.818,0.0,0.182,positive,The Hound of the Baskervilles
said Holmes.,0.0,0.0,0.0,1.0,neutral,The Hound of the Baskervilles
"""And then again, there is the 'friends of the C.C.H.'",0.4767,0.256,0.0,0.744,positive,The Hound of the Baskervilles
