sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Pragmatism: A New Name for Some Old Ways of Thinking This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.059,0.093,0.847,negative,Pragmatism: A New Name for Some Old Ways of Thinking
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"Title : Pragmatism: A New Name for Some Old Ways of Thinking Author : William James Release date : February 1, 2004 [eBook #5116] Most recently updated: July 2, 2013 Language : English Other information and formats : www.gutenberg.org/ebooks/5116 Credits : Text file produced by Steve Harris, Charles Franks and the Online Distributed Proofreading Team HTML file produced by David Widger *** START OF THE PROJECT GUTENBERG EBOOK PRAGMATISM: A NEW NAME FOR SOME OLD WAYS OF THINKING *** PRAGMATISM A New Name for Some Old Ways of Thinking By William James To the Memory of John Stuart Mill from whom I first learned the pragmatic openness of mind and whom my fancy likes to picture as our leader were he alive to-day.",0.8519,0.086,0.0,0.914,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"Preface The lectures that follow were delivered at the Lowell Institute in Boston in November and December, 1906, and in January, 1907, at Columbia University, in New York.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"They are printed as delivered, without developments or notes.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"The pragmatic movement, so-called--I do not like the name, but apparently it is too late to change it--seems to have rather suddenly precipitated itself out of the air.",-0.1419,0.0,0.054,0.946,negative,Pragmatism: A New Name for Some Old Ways of Thinking
"A number of tendencies that have always existed in philosophy have all at once become conscious of themselves collectively, and of their combined mission; and this has occurred in so many countries, and from so many different points of view, that much unconcerted statement has resulted.",0.0772,0.029,0.0,0.971,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"I have sought to unify the picture as it presents itself to my own eyes, dealing in broad strokes, and avoiding minute controversy.",-0.34,0.0,0.103,0.897,negative,Pragmatism: A New Name for Some Old Ways of Thinking
"Much futile controversy might have been avoided, I believe, if our critics had been willing to wait until we got our message fairly out.",-0.7579,0.0,0.273,0.727,negative,Pragmatism: A New Name for Some Old Ways of Thinking
"If my lectures interest any reader in the general subject, he will doubtless wish to read farther.",0.765,0.352,0.0,0.648,positive,Pragmatism: A New Name for Some Old Ways of Thinking
I therefore give him a few references.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"In America, John Dewey's 'Studies in Logical Theory' are the foundation.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
