sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Outline of History: Being a Plain History of Life and Mankind This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.057,0.089,0.854,negative,The Outline of History: Being a Plain History of Life and Mankind
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Outline of History: Being a Plain History of Life and Mankind
"Title : The Outline of History: Being a Plain History of Life and Mankind Author : H. G. Wells Editor : Sir Ernest Barker Harry Johnston Sir E. Ray Lankester Gilbert Murray Illustrator : J. F. Horrabin Release date : April 12, 2014 [eBook #45368] Most recently updated: October 24, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/45368 Credits : Produced by Chuck Greif, Adam Buchbinder and the Online Distributed Proofreading Team at http://www.pgdp.net (This book was produced from scanned images of public domain material from the Google Print project.)",0.5423,0.053,0.0,0.947,positive,The Outline of History: Being a Plain History of Life and Mankind
*** START OF THE PROJECT GUTENBERG EBOOK THE OUTLINE OF HISTORY: BEING A PLAIN HISTORY OF LIFE AND MANKIND *** THE OUTLINE OF HISTORY Every attempt has been made to replicate the original as printed.,0.3182,0.065,0.0,0.935,positive,The Outline of History: Being a Plain History of Life and Mankind
No attempt has been made to correct or normalize the spelling of non-English words.,-0.296,0.0,0.145,0.855,negative,The Outline of History: Being a Plain History of Life and Mankind
Some typographical errors have been corrected; a list follows the text .,-0.34,0.0,0.211,0.789,negative,The Outline of History: Being a Plain History of Life and Mankind
The illustrations have been moved from mid-paragraph for ease of reading.,0.3612,0.2,0.0,0.8,positive,The Outline of History: Being a Plain History of Life and Mankind
"In certain versions of this etext, in certain browsers, clicking on this symbol will bring up a larger version of the image.",0.4939,0.181,0.0,0.819,positive,The Outline of History: Being a Plain History of Life and Mankind
Introduction VOLUME I.,0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"Scheme of Contents, Volume I.",0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
List of Maps and Illustrations VOLUME II.,0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"Scheme of Contents, Volume II.",0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"List of Illustrations Time Charts Chronological Table Index : A , B , C , D , E , F , G , H , I , J , K , L , M , N , O , P , Q , R , S , T , U , V , W , X , Y , Z (etext transcriber's note) ¶ Mr. WELLS has also written the following novels: LOVE AND MR. LEWISHAM KIPPS MR. POLLY THE WHEELS OF CHANCE THE NEW MACHIAVELLI ANN VERONICA TONO BUNGAY MARRIAGE BEALBY THE PASSIONATE FRIENDS THE WIFE OF SIR ISAAC HARMAN THE RESEARCH MAGNIFICENT MR. BRITLING SEES IT THROUGH THE SOUL OF A BISHOP JOAN AND PETER THE UNDYING FIRE ¶ The following fantastic and imaginative romances: THE WAR OF THE WORLDS THE TIME MACHINE THE WONDERFUL VISIT THE ISLAND OF DR. MOREAU THE SEA LADY THE SLEEPER AWAKES THE FOOD OF THE GODS THE WAR IN THE AIR THE FIRST MEN IN THE MOON IN THE DAYS OF THE COMET THE WORLD SET FREE And numerous Short Stories now collected in One Volume under the title of THE COUNTRY OF THE BLIND ¶ A Series of books on Social, Religious, and Political questions: ANTICIPATIONS (1900) MANKIND IN THE MAKING FIRST AND LAST THINGS NEW WORLDS FOR OLD A MODERN UTOPIA THE FUTURE IN AMERICA AN ENGLISHMAN LOOKS AT THE WORLD WHAT IS COMING?",0.9703,0.174,0.074,0.753,positive,The Outline of History: Being a Plain History of Life and Mankind
"WAR AND THE FUTURE IN THE FOURTH YEAR GOD THE INVISIBLE KING ¶ And two little books about children's play, called FLOOR GAMES and LITTLE WARS THE OUTLINE OF HISTORY Being a Plain History of Life and Mankind BY H. G. WELLS WRITTEN WITH THE ADVICE AND EDITORIAL HELP OF MR. ERNEST BARKER, SIR H. H. JOHNSTON, SIR E. RAY LANKESTER AND PROFESSOR GILBERT MURRAY AND ILLUSTRATED BY J. F. HORRABIN V OLUME I New York THE MACMILLAN COMPANY 1920 All rights reserved Copyright , 1920, By THE MACMILLAN COMPANY.",-0.0018,0.114,0.094,0.792,neutral,The Outline of History: Being a Plain History of Life and Mankind
By H. G. WELLS.,0.4084,0.477,0.0,0.523,positive,The Outline of History: Being a Plain History of Life and Mankind
Set up and electrotyped.,0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"Published November, 1920.",0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"NORWOOD PRESS J. S. Cushing Co.--Berwick & Smith Co. Norwood, Mass., U.S.A. INTRODUCTION "" A philosophy of the history of the human race, worthy of its name, must begin with the heavens and descend to the earth, must be charged with the conviction that all existence is one--a single conception sustained from beginning to end upon one identical law. """,0.5859,0.093,0.03,0.877,positive,The Outline of History: Being a Plain History of Life and Mankind
-- Friedrich Ratzel.,0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"T HIS Outline of History is an attempt to tell, truly and clearly, in one continuous narrative, the whole story of life and mankind so far as it is known to-day.",0.6808,0.167,0.0,0.833,positive,The Outline of History: Being a Plain History of Life and Mankind
"It is written plainly for the general reader, but its aim goes beyond its use as merely interesting reading matter.",0.5719,0.207,0.0,0.793,positive,The Outline of History: Being a Plain History of Life and Mankind
"There is a feeling abroad that the teaching of history considered as a part of general education is in an unsatisfactory condition, and particularly that the ordinary treatment of this ""subject"" by the class and teacher and examiner is too partial and narrow.",0.128,0.036,0.0,0.964,positive,The Outline of History: Being a Plain History of Life and Mankind
"But the desire to extend the general range of historical ideas is confronted by the argument that the available time for instruction is already consumed by that partial and narrow treatment, and that therefore, however desirable this extension of range may be, it is in practice impossible.",0.4767,0.153,0.097,0.75,positive,The Outline of History: Being a Plain History of Life and Mankind
"If an Englishman, for example, has found the history of England quite enough for his powers of assimilation, then it seems hopeless to expect his sons and daughters to master universal history, if that is to consist of the history of England, plus the history of France, plus the history of Germany, plus the history of Russia, and so on.",-0.4588,0.0,0.048,0.952,negative,The Outline of History: Being a Plain History of Life and Mankind
"To which the only possible answer is that universal history is at once something more and something less than the aggregate of the national histories to which we are accustomed, that it must be approached in a different spirit and dealt with in a different manner.",0.1779,0.038,0.0,0.962,positive,The Outline of History: Being a Plain History of Life and Mankind
This book seeks to justify that answer.,0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"It has been written primarily to show that history as one whole is amenable to a more broad and comprehensive handling than is the history of special nations and periods, a broader handling that will bring it within the normal limitations of time and energy set to the reading and education of an ordinary citizen.",0.7239,0.124,0.0,0.876,positive,The Outline of History: Being a Plain History of Life and Mankind
"This outline deals with ages and races and nations, where the ordinary history deals with reigns and pedigrees and campaigns; but it will not be found to be more crowded with names and dates, nor more difficult to follow and understand.",0.4571,0.07,0.0,0.93,positive,The Outline of History: Being a Plain History of Life and Mankind
"History is no exception amongst the sciences; as the gaps fill in, the outline simplifies; as the outlook broadens, the clustering multitude of details dissolves into general laws.",-0.296,0.0,0.075,0.925,negative,The Outline of History: Being a Plain History of Life and Mankind
"And many topics of quite primary interest to mankind, the first appearance and the growth of scientific knowledge for example, and its effects upon human life, the elaboration of the ideas of money and credit, or the story of the origins and spread and influence of Christianity, which must be treated fragmentarily or by elaborate digressions in any partial history, arise and flow completely and naturally in one general record of the world in which we live.",0.8166,0.103,0.0,0.897,positive,The Outline of History: Being a Plain History of Life and Mankind
The need for a common knowledge of the general facts of human history throughout the world has become very evident during the tragic happenings of the last few years.,-0.4588,0.0,0.1,0.9,negative,The Outline of History: Being a Plain History of Life and Mankind
Swifter means of communication have brought all men closer to one another for good or for evil.,-0.3612,0.13,0.197,0.673,negative,The Outline of History: Being a Plain History of Life and Mankind
"War becomes a universal disaster, blind and monstrously destructive; it bombs the baby in its cradle and sinks the food-ships that cater for the non-combatant and the neutral.",-0.9403,0.0,0.39,0.61,negative,The Outline of History: Being a Plain History of Life and Mankind
"There can be no peace now, we realize, but a common peace in all the world; no prosperity but a general prosperity.",0.5574,0.255,0.161,0.584,positive,The Outline of History: Being a Plain History of Life and Mankind
But there can be no common peace and prosperity without common historical ideas .,0.4497,0.256,0.151,0.593,positive,The Outline of History: Being a Plain History of Life and Mankind
"Without such ideas to hold them together in harmonious co-operation, with nothing but narrow, selfish, and conflicting nationalist traditions, races and peoples are bound to drift towards conflict and destruction.",-0.803,0.127,0.276,0.597,negative,The Outline of History: Being a Plain History of Life and Mankind
"This truth, which was apparent to that great philosopher Kant a century or more ago--it is the gist of his tract upon universal peace--is now plain to the man in the street.",0.7506,0.181,0.0,0.819,positive,The Outline of History: Being a Plain History of Life and Mankind
Our internal policies and our economic and social ideas are profoundly vitiated at present by wrong and fantastic ideas of the origin and historical relationship of social classes.,0.128,0.11,0.095,0.795,positive,The Outline of History: Being a Plain History of Life and Mankind
A sense of history as the common adventure of all mankind is as necessary for peace within as it is for peace between the nations.,0.8519,0.307,0.0,0.693,positive,The Outline of History: Being a Plain History of Life and Mankind
Such are the views of history that this Outline seeks to realize.,0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"It is an attempt to tell how our present state of affairs, this distressed and multifarious human life about us, arose in the course of vast ages and out of the inanimate clash of matter, and to estimate the quality and amount and range of the hopes with which it now faces its destiny.",-0.09,0.067,0.056,0.877,negative,The Outline of History: Being a Plain History of Life and Mankind
"It is one experimental contribution to a great and urgently necessary educational reformation, which must ultimately restore universal history, revised, corrected, and brought up to date, to its proper place and use as the backbone of a general education.",0.743,0.153,0.0,0.847,positive,The Outline of History: Being a Plain History of Life and Mankind
"We say ""restore,"" because all the great cultures of the world hitherto, Judaism and Christianity in the Bible, Islam in the Koran, have used some sort of cosmogony and world history as a basis.",0.6249,0.114,0.0,0.886,positive,The Outline of History: Being a Plain History of Life and Mankind
It may indeed be argued that without such a basis any really binding culture of men is inconceivable.,-0.3612,0.0,0.135,0.865,negative,The Outline of History: Being a Plain History of Life and Mankind
Without it we are a chaos.,-0.5719,0.0,0.481,0.519,negative,The Outline of History: Being a Plain History of Life and Mankind
Remarkably few sketches of universal history by one single author have been written.,0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
One book that has influenced the writer very strongly is Winwood Reade's Martyrdom of Man .,0.3384,0.146,0.0,0.854,positive,The Outline of History: Being a Plain History of Life and Mankind
"This dates , as people say, nowadays, and it has a fine gloom of its own, but it is still an extraordinarily inspiring presentation of human history as one consistent process.",0.4215,0.153,0.069,0.778,positive,The Outline of History: Being a Plain History of Life and Mankind
Mr. F. S. Marvin's Living Past is also an admirable summary of human progress.,0.7506,0.348,0.0,0.652,positive,The Outline of History: Being a Plain History of Life and Mankind
There is a good General History of the World in one volume by Mr. Oscar Browning.,0.4404,0.172,0.0,0.828,positive,The Outline of History: Being a Plain History of Life and Mankind
"America has recently produced two well-illustrated and up-to-date class books, Breasted's Ancient Times and Robinson's Medieval and Modern Times , which together give a very good idea of the story of mankind since the beginning of human societies.",0.4927,0.084,0.0,0.916,positive,The Outline of History: Being a Plain History of Life and Mankind
"There are, moreover, quite a number of nominally Universal Histories in existence, but they are really not histories at all, they are encyclopædias of history; they lack the unity of presentation attainable only when the whole subject has been passed through one single mind.",-0.3926,0.029,0.065,0.906,negative,The Outline of History: Being a Plain History of Life and Mankind
"These universal histories are compilations, assemblies of separate national or regional histories by different hands, the parts being necessarily unequal in merit and authority and disproportionate one to another.",0.1779,0.126,0.074,0.8,positive,The Outline of History: Being a Plain History of Life and Mankind
"Several such universal histories in thirty or forty volumes or so, adorned with allegorical title pages and illustrated by folding maps and plans of Noah's Ark, Solomon's Temple, and the Tower of Babel, were produced for the libraries of gentlemen in the eighteenth century.",0.3327,0.052,0.0,0.948,positive,The Outline of History: Being a Plain History of Life and Mankind
"Helmolt's World History , in eight massive volumes, is a modern compilation of the same sort, very useful for reference and richly illustrated, but far better in its parts than as a whole.",0.7843,0.226,0.0,0.774,positive,The Outline of History: Being a Plain History of Life and Mankind
Another such collection is the Historians' History of the World in 25 volumes.,0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"The Encyclopædia Britannica contains, of course, a complete encyclopædia of history within itself, and is the most modern of all such collections.",0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"[1] F. Ratzel's History of Mankind , in spite of the promise of its title, is mainly a natural history of man, though it is rich with suggestions upon the nature and development of civilization.",0.6124,0.206,0.083,0.711,positive,The Outline of History: Being a Plain History of Life and Mankind
"That publication and Miss Ellen Churchill Semple's Influence of Geographical Environment , based on Ratzel's work, are quoted in this Outline , and have had considerable influence upon its plan.",-0.1531,0.0,0.056,0.944,negative,The Outline of History: Being a Plain History of Life and Mankind
F. Ratzel would indeed have been the ideal author for such a book as our present one.,0.5267,0.185,0.0,0.815,positive,The Outline of History: Being a Plain History of Life and Mankind
Unfortunately neither he nor any other ideal author was available.,-0.6341,0.0,0.393,0.607,negative,The Outline of History: Being a Plain History of Life and Mankind
[2] The writer will offer no apology for making this experiment.,-0.25,0.097,0.177,0.726,negative,The Outline of History: Being a Plain History of Life and Mankind
His disqualifications are manifest.,0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"But such work needs to be done by as many people as possible, he was free to make his contribution, and he was greatly attracted by the task.",0.8621,0.248,0.0,0.752,positive,The Outline of History: Being a Plain History of Life and Mankind
He has read sedulously and made the utmost use of all the help he could obtain.,0.4019,0.153,0.0,0.847,positive,The Outline of History: Being a Plain History of Life and Mankind
There is not a chapter that has not been examined by some more competent person than himself and very carefully revised.,0.5245,0.196,0.0,0.804,positive,The Outline of History: Being a Plain History of Life and Mankind
"He has particularly to thank his friends Sir E. Ray Lankester, Sir H. H. Johnston, Professor Gilbert Murray, and Mr. Ernest Barker for much counsel and direction and editorial help.",0.8214,0.241,0.0,0.759,positive,The Outline of History: Being a Plain History of Life and Mankind
Mr. Philip Guedalla has toiled most efficiently and kindly through all the proofs.,0.7548,0.37,0.0,0.63,positive,The Outline of History: Being a Plain History of Life and Mankind
"Mr. A. Allison, Professor T. W. Arnold, Mr. Arnold Bennett, the Rev.",0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
"A. H. Trevor Benson, Mr. Aodh de Blacam, Mr. Laurence Binyon, the Rev.",0.0,0.0,0.0,1.0,neutral,The Outline of History: Being a Plain History of Life and Mankind
