sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of My Ántonia This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.07,0.109,0.821,negative,My Ántonia
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,My Ántonia
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,My Ántonia
"Title : My Ántonia Author : Willa Cather Release date : July 11, 2008 [eBook #242] Most recently updated: July 15, 2022 Language : English Other information and formats : www.gutenberg.org/ebooks/242 Credits : Judith Boss, Martin Robb and David Widger *** START OF THE PROJECT GUTENBERG EBOOK MY ÁNTONIA *** MY ÁNTONIA By Willa Cather TO CARRIE AND IRENE MINER In memory of affections old and true Optima dies... prima fugit VIRGIL CONTENTS INTRODUCTION BOOK I.",0.7783,0.104,0.0,0.896,positive,My Ántonia
The Shimerdas I II III IV V VI VII VIII IX X XI XII XIII XIV XV XVI XVII XVIII XIX BOOK II.,0.0,0.0,0.0,1.0,neutral,My Ántonia
The Hired Girls I II III IV V VI VII VIII IX X XI XII XIII XIV XV BOOK III.,0.0,0.0,0.0,1.0,neutral,My Ántonia
Lena Lingard I II III IV BOOK IV.,0.0,0.0,0.0,1.0,neutral,My Ántonia
"The Pioneer Woman's Story I II III IV BOOK V. Cuzak's Boys I II III INTRODUCTION Last summer I happened to be crossing the plains of Iowa in a season of intense heat, and it was my good fortune to have for a traveling companion James Quayle Burden--Jim Burden, as we still call him in the West.",0.0772,0.075,0.052,0.873,positive,My Ántonia
He and I are old friends--we grew up together in the same Nebraska town--and we had much to say to each other.,0.0,0.0,0.0,1.0,neutral,My Ántonia
"While the train flashed through never-ending miles of ripe wheat, by country towns and bright-flowered pastures and oak groves wilting in the sun, we sat in the observation car, where the woodwork was hot to the touch and red dust lay deep over everything.",0.0,0.0,0.0,1.0,neutral,My Ántonia
"The dust and heat, the burning wind, reminded us of many things.",0.0,0.0,0.0,1.0,neutral,My Ántonia
"We were talking about what it is like to spend one's childhood in little towns like these, buried in wheat and corn, under stimulating extremes of climate: burning summers when the world lies green and billowy beneath a brilliant sky, when one is fairly stifled in vegetation, in the color and smell of strong weeds and heavy harvests; blustery winters with little snow, when the whole country is stripped bare and gray as sheet-iron.",0.8689,0.174,0.06,0.766,positive,My Ántonia
We agreed that no one who had not grown up in a little prairie town could know anything about it.,-0.0258,0.099,0.103,0.798,neutral,My Ántonia
"It was a kind of freemasonry, we said.",0.0018,0.144,0.0,0.856,neutral,My Ántonia
"Although Jim Burden and I both live in New York, and are old friends, I do not see much of him there.",0.0516,0.129,0.121,0.75,positive,My Ántonia
"He is legal counsel for one of the great Western railways, and is sometimes away from his New York office for weeks together.",0.6808,0.211,0.0,0.789,positive,My Ántonia
That is one reason why we do not often meet.,0.0,0.0,0.0,1.0,neutral,My Ántonia
Another is that I do not like his wife.,-0.2755,0.0,0.232,0.768,negative,My Ántonia
"When Jim was still an obscure young lawyer, struggling to make his way in New York, his career was suddenly advanced by a brilliant marriage.",0.4588,0.196,0.095,0.709,positive,My Ántonia
Genevieve Whitney was the only daughter of a distinguished man.,0.0,0.0,0.0,1.0,neutral,My Ántonia
