sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Yellow Wallpaper This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.068,0.107,0.825,negative,The Yellow Wallpaper
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Yellow Wallpaper
"Title : The Yellow Wallpaper Author : Charlotte Perkins Gilman Release date : November 1, 1999 [eBook #1952] Most recently updated: August 31, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1952 Credits : An Anonymous Volunteer and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE YELLOW WALLPAPER *** The Yellow Wallpaper By Charlotte Perkins Gilman It is very seldom that mere ordinary people like John and myself secure ancestral halls for the summer.",0.7506,0.098,0.0,0.902,positive,The Yellow Wallpaper
"A colonial mansion, a hereditary estate, I would say a haunted house, and reach the height of romantic felicity--but that would be asking too much of fate!",-0.1511,0.15,0.114,0.736,negative,The Yellow Wallpaper
Still I will proudly declare that there is something queer about it.,0.5574,0.265,0.0,0.735,positive,The Yellow Wallpaper
"Else, why should it be let so cheaply?",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
And why have stood so long untenanted?,0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"John laughs at me, of course, but one expects that in marriage.",0.2732,0.16,0.0,0.84,positive,The Yellow Wallpaper
John is practical in the extreme.,0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"He has no patience with faith, an intense horror of superstition, and he scoffs openly at any talk of things not to be felt and seen and put down in figures.",-0.4215,0.111,0.159,0.73,negative,The Yellow Wallpaper
"John is a physician, and perhaps --(I would not say it to a living soul, of course, but this is dead paper and a great relief to my mind)-- perhaps that is one reason I do not get well faster.",0.3877,0.196,0.164,0.64,positive,The Yellow Wallpaper
"You see, he does not believe I am sick!",0.4577,0.3,0.0,0.7,positive,The Yellow Wallpaper
And what can one do?,0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"If a physician of high standing, and one's own husband, assures friends and relatives that there is really nothing the matter with one but temporary nervous depression--a slight hysterical tendency--what is one to do?",-0.0693,0.101,0.136,0.764,negative,The Yellow Wallpaper
"My brother is also a physician, and also of high standing, and he says the same thing.",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"So I take phosphates or phosphites--whichever it is, and tonics, and journeys, and air, and exercise, and am absolutely forbidden to ""work"" until I am well again.",-0.2484,0.074,0.11,0.816,negative,The Yellow Wallpaper
"Personally, I disagree with their ideas.",-0.3818,0.0,0.394,0.606,negative,The Yellow Wallpaper
"Personally, I believe that congenial work, with excitement and change, would do me good.",0.7269,0.357,0.0,0.643,positive,The Yellow Wallpaper
But what is one to do?,0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"I did write for a while in spite of them; but it does exhaust me a good deal--having to be so sly about it, or else meet with heavy opposition.",-0.0387,0.117,0.152,0.731,neutral,The Yellow Wallpaper
"I sometimes fancy that in my condition if I had less opposition and more society and stimulus--but John says the very worst thing I can do is to think about my condition, and I confess it always makes me feel bad.",-0.8357,0.0,0.184,0.816,negative,The Yellow Wallpaper
So I will let it alone and talk about the house.,-0.25,0.0,0.182,0.818,negative,The Yellow Wallpaper
The most beautiful place!,0.6689,0.599,0.0,0.401,positive,The Yellow Wallpaper
"It is quite alone, standing well back from the road, quite three miles from the village.",0.0183,0.127,0.123,0.75,neutral,The Yellow Wallpaper
"It makes me think of English places that you read about, for there are hedges and walls and gates that lock, and lots of separate little houses for the gardeners and people.",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
There is a delicious garden!,0.6114,0.571,0.0,0.429,positive,The Yellow Wallpaper
"I never saw such a garden--large and shady, full of box-bordered paths, and lined with long grape-covered arbors with seats under them.",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"There were greenhouses, too, but they are all broken now.",-0.631,0.0,0.316,0.684,negative,The Yellow Wallpaper
"There was some legal trouble, I believe, something about the heirs and co-heirs; anyhow, the place has been empty for years.",-0.4588,0.065,0.196,0.739,negative,The Yellow Wallpaper
"That spoils my ghostliness, I am afraid; but I don't care--there is something strange about the house--I can feel it.",-0.296,0.0,0.115,0.885,negative,The Yellow Wallpaper
"I even said so to John one moonlight evening, but he said what I felt was a draught , and shut the window.",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
I get unreasonably angry with John sometimes.,-0.5106,0.0,0.398,0.602,negative,The Yellow Wallpaper
I'm sure I never used to be so sensitive.,0.3182,0.247,0.0,0.753,positive,The Yellow Wallpaper
I think it is due to this nervous condition.,-0.3346,0.0,0.253,0.747,negative,The Yellow Wallpaper
"But John says if I feel so I shall neglect proper self-control; so I take pains to control myself,--before him, at least,--and that makes me very tired.",-0.9303,0.0,0.379,0.621,negative,The Yellow Wallpaper
I don't like our room a bit.,-0.2755,0.0,0.345,0.655,negative,The Yellow Wallpaper
"I wanted one downstairs that opened on the piazza and had roses all over the window, and such pretty old-fashioned chintz hangings!",0.5411,0.149,0.0,0.851,positive,The Yellow Wallpaper
but John would not hear of it.,0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"He said there was only one window and not room for two beds, and no near room for him if he took another.",-0.296,0.0,0.091,0.909,negative,The Yellow Wallpaper
"He is very careful and loving, and hardly lets me stir without special direction.",0.5857,0.314,0.117,0.57,positive,The Yellow Wallpaper
"I have a schedule prescription for each hour in the day; he takes all care from me, and so I feel basely ungrateful not to value it more.",-0.2731,0.105,0.174,0.721,negative,The Yellow Wallpaper
"He said we came here solely on my account, that I was to have perfect rest and all the air I could get.",0.5719,0.156,0.0,0.844,positive,The Yellow Wallpaper
"""Your exercise depends on your strength, my dear,"" said he, ""and your food somewhat on your appetite; but air you can absorb all the time.""",0.2732,0.08,0.0,0.92,positive,The Yellow Wallpaper
"So we took the nursery, at the top of the house.",0.2023,0.153,0.0,0.847,positive,The Yellow Wallpaper
"It is a big, airy room, the whole floor nearly, with windows that look all ways, and air and sunshine galore.",0.4939,0.144,0.0,0.856,positive,The Yellow Wallpaper
"It was nursery first and then playground and gymnasium, I should judge; for the windows are barred for little children, and there are rings and things in the walls.",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
The paint and paper look as if a boys' school had used it.,0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"It is stripped off--the paper--in great patches all around the head of my bed, about as far as I can reach, and in a great place on the other side of the room low down.",0.802,0.23,0.052,0.718,positive,The Yellow Wallpaper
I never saw a worse paper in my life.,0.3724,0.299,0.0,0.701,positive,The Yellow Wallpaper
One of those sprawling flamboyant patterns committing every artistic sin.,-0.5106,0.101,0.279,0.62,negative,The Yellow Wallpaper
"It is dull enough to confuse the eye in following, pronounced enough to constantly irritate, and provoke study, and when you follow the lame, uncertain curves for a little distance they suddenly commit suicide--plunge off at outrageous angles, destroy themselves in unheard-of contradictions.",-0.9623,0.038,0.411,0.551,negative,The Yellow Wallpaper
"The color is repellant, almost revolting; a smouldering, unclean yellow, strangely faded by the slow-turning sunlight.",-0.296,0.0,0.136,0.864,negative,The Yellow Wallpaper
"It is a dull yet lurid orange in some places, a sickly sulphur tint in others.",-0.4019,0.0,0.172,0.828,negative,The Yellow Wallpaper
No wonder the children hated it!,-0.7712,0.0,0.626,0.374,negative,The Yellow Wallpaper
I should hate it myself if I had to live in this room long.,-0.5719,0.0,0.252,0.748,negative,The Yellow Wallpaper
"There comes John, and I must put this away,--he hates to have me write a word.",-0.4404,0.0,0.182,0.818,negative,The Yellow Wallpaper
"We have been here two weeks, and I haven't felt like writing before, since that first day.",-0.2755,0.0,0.123,0.877,negative,The Yellow Wallpaper
"I am sitting by the window now, up in this atrocious nursery, and there is nothing to hinder my writing as much as I please, save lack of strength.",0.7506,0.256,0.068,0.676,positive,The Yellow Wallpaper
"John is away all day, and even some nights when his cases are serious.",-0.0772,0.0,0.091,0.909,negative,The Yellow Wallpaper
I am glad my case is not serious!,0.5445,0.474,0.0,0.526,positive,The Yellow Wallpaper
But these nervous troubles are dreadfully depressing.,-0.9442,0.0,0.834,0.166,negative,The Yellow Wallpaper
John does not know how much I really suffer.,-0.5849,0.0,0.351,0.649,negative,The Yellow Wallpaper
"He knows there is no reason to suffer, and that satisfies him.",-0.4404,0.16,0.326,0.514,negative,The Yellow Wallpaper
Of course it is only nervousness.,-0.296,0.0,0.306,0.694,negative,The Yellow Wallpaper
It does weigh on me so not to do my duty in any way!,0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"I meant to be such a help to John, such a real rest and comfort, and here I am a comparative burden already!",0.3802,0.235,0.124,0.641,positive,The Yellow Wallpaper
"Nobody would believe what an effort it is to do what little I am able--to dress and entertain, and order things.",0.3182,0.108,0.0,0.892,positive,The Yellow Wallpaper
It is fortunate Mary is so good with the baby.,0.7678,0.454,0.0,0.546,positive,The Yellow Wallpaper
Such a dear baby!,0.4389,0.591,0.0,0.409,positive,The Yellow Wallpaper
"And yet I cannot be with him, it makes me so nervous.",-0.4101,0.0,0.215,0.785,negative,The Yellow Wallpaper
I suppose John never was nervous in his life.,0.2057,0.206,0.0,0.794,positive,The Yellow Wallpaper
He laughs at me so about this wallpaper!,0.5411,0.333,0.0,0.667,positive,The Yellow Wallpaper
"At first he meant to repaper the room, but afterwards he said that I was letting it get the better of me, and that nothing was worse for a nervous patient than to give way to such fancies.",0.6737,0.168,0.062,0.77,positive,The Yellow Wallpaper
"He said that after the wallpaper was changed it would be the heavy bedstead, and then the barred windows, and then that gate at the head of the stairs, and so on.",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"""You know the place is doing you good,"" he said, ""and really, dear, I don't care to renovate the house just for a three months' rental.""",0.0003,0.104,0.104,0.792,neutral,The Yellow Wallpaper
"""Then do let us go downstairs,"" I said, ""there are such pretty rooms there.""",0.4939,0.211,0.0,0.789,positive,The Yellow Wallpaper
"Then he took me in his arms and called me a blessed little goose, and said he would go down cellar if I wished, and have it whitewashed into the bargain.",0.6908,0.174,0.0,0.826,positive,The Yellow Wallpaper
But he is right enough about the beds and windows and things.,0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"It is as airy and comfortable a room as any one need wish, and, of course, I would not be so silly as to make him uncomfortable just for a whim.",0.5982,0.22,0.076,0.704,positive,The Yellow Wallpaper
"I'm really getting quite fond of the big room, all but that horrid paper.",-0.5456,0.117,0.25,0.632,negative,The Yellow Wallpaper
"Out of one window I can see the garden, those mysterious deep-shaded arbors, the riotous old-fashioned flowers, and bushes and gnarly trees.",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
Out of another I get a lovely view of the bay and a little private wharf belonging to the estate.,0.5859,0.192,0.0,0.808,positive,The Yellow Wallpaper
There is a beautiful shaded lane that runs down there from the house.,0.5994,0.262,0.0,0.738,positive,The Yellow Wallpaper
"I always fancy I see people walking in these numerous paths and arbors, but John has cautioned me not to give way to fancy in the least.",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"He says that with my imaginative power and habit of story-making a nervous weakness like mine is sure to lead to all manner of excited fancies, and that I ought to use my will and good sense to check the tendency.",0.6369,0.21,0.102,0.688,positive,The Yellow Wallpaper
So I try.,0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
I think sometimes that if I were only well enough to write a little it would relieve the press of ideas and rest me.,0.5165,0.186,0.0,0.814,positive,The Yellow Wallpaper
But I find I get pretty tired when I try.,0.1154,0.327,0.293,0.38,positive,The Yellow Wallpaper
It is so discouraging not to have any advice and companionship about my work.,-0.5777,0.0,0.223,0.777,negative,The Yellow Wallpaper
When I get really well John says we will ask Cousin Henry and Julia down for a long visit; but he says he would as soon put fire-works in my pillow-case as to let me have those stimulating people about now.,0.6753,0.13,0.0,0.87,positive,The Yellow Wallpaper
I wish I could get well faster.,0.5859,0.615,0.0,0.385,positive,The Yellow Wallpaper
But I must not think about that.,0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
This paper looks to me as if it knew what a vicious influence it had!,-0.4199,0.0,0.177,0.823,negative,The Yellow Wallpaper
There is a recurrent spot where the pattern lolls like a broken neck and two bulbous eyes stare at you upside-down.,-0.1531,0.111,0.137,0.752,negative,The Yellow Wallpaper
I get positively angry with the impertinence of it and the everlastingness.,0.0258,0.217,0.21,0.573,neutral,The Yellow Wallpaper
"Up and down and sideways they crawl, and those absurd, unblinking eyes are everywhere.",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"There is one place where two breadths didn't match, and the eyes go all up and down the line, one a little higher than the other.",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
"I never saw so much expression in an inanimate thing before, and we all know how much expression they have!",0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
I used to lie awake as a child and get more entertainment and terror out of blank walls and plain furniture than most children could find in a toy-store.,-0.1458,0.101,0.119,0.78,negative,The Yellow Wallpaper
"I remember what a kindly wink the knobs of our big old bureau used to have, and there was one chair that always seemed like a strong friend.",0.9042,0.367,0.0,0.633,positive,The Yellow Wallpaper
I used to feel that if any of the other things looked too fierce I could always hop into that chair and be safe.,0.4404,0.121,0.0,0.879,positive,The Yellow Wallpaper
"The furniture in this room is no worse than inharmonious, however, for we had to bring it all from downstairs.",-0.6486,0.0,0.227,0.773,negative,The Yellow Wallpaper
"I suppose when this was used as a playroom they had to take the nursery things out, and no wonder!",-0.3595,0.0,0.128,0.872,negative,The Yellow Wallpaper
I never saw such ravages as the children have made here.,0.0,0.0,0.0,1.0,neutral,The Yellow Wallpaper
