sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Mysterious Island This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.068,0.107,0.825,negative,The Mysterious Island
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Mysterious Island
"Title : The Mysterious Island Author : Jules Verne Translator : Agnes Kinloch Kingston Release date : April 1, 1998 [eBook #1268] Most recently updated: October 29, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1268 Credits : Anthony Matonak *** START OF THE PROJECT GUTENBERG EBOOK THE MYSTERIOUS ISLAND *** THE MYSTERIOUS ISLAND by Jules Verne 1874 CONTENTS PART 1.",0.3612,0.044,0.0,0.956,positive,The Mysterious Island
DROPPED FROM THE CLOUDS Chapter 1 Chapter 2 Chapter 3 Chapter 4 Chapter 5 Chapter 6 Chapter 7 Chapter 8 Chapter 9 Chapter 10 Chapter 11 Chapter 12 Chapter 13 Chapter 14 Chapter 15 Chapter 16 Chapter 17 Chapter 18 Chapter 19 Chapter 20 Chapter 21 Chapter 22 PART 2.,0.0,0.0,0.0,1.0,neutral,The Mysterious Island
ABANDONED Chapter 1 Chapter 2 Chapter 3 Chapter 4 Chapter 5 Chapter 6 Chapter 7 Chapter 8 Chapter 9 Chapter 10 Chapter 11 Chapter 12 Chapter 13 Chapter 14 Chapter 15 Chapter 16 Chapter 17 Chapter 18 Chapter 19 Chapter 20 PART 3.,-0.5766,0.0,0.102,0.898,negative,The Mysterious Island
"THE SECRET OF THE ISLAND Chapter 1 Chapter 2 Chapter 3 Chapter 4 Chapter 5 Chapter 6 Chapter 7 Chapter 8 Chapter 9 Chapter 10 Chapter 11 Chapter 12 Chapter 13 Chapter 14 Chapter 15 Chapter 16 Chapter 17 Chapter 18 Chapter 19 Chapter 20 PART 1--DROPPED FROM THE CLOUDS Chapter 1 ""Are we rising again?""",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"""No.",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"On the contrary.""",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"""Are we descending?""",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"""Worse than that, captain!",-0.5255,0.0,0.531,0.469,negative,The Mysterious Island
"we are falling!""",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"""For Heaven's sake heave out the ballast!""",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"""There!",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"the last sack is empty!""",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"""Does the balloon rise?""",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"""No!""",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"""I hear a noise like the dashing of waves.",0.3612,0.263,0.0,0.737,positive,The Mysterious Island
The sea is below the car!,0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"It cannot be more than 500 feet from us!""",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"""Overboard with every weight!",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
...,0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"everything!""",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"Such were the loud and startling words which resounded through the air, above the vast watery desert of the Pacific, about four o'clock in the evening of the 23rd of March, 1865.",0.0772,0.04,0.0,0.96,positive,The Mysterious Island
"Few can possibly have forgotten the terrible storm from the northeast, in the middle of the equinox of that year.",-0.6124,0.0,0.217,0.783,negative,The Mysterious Island
The tempest raged without intermission from the 18th to the 26th of March.,-0.4588,0.0,0.2,0.8,negative,The Mysterious Island
"Its ravages were terrible in America, Europe, and Asia, covering a distance of eighteen hundred miles, and extending obliquely to the equator from the thirty-fifth north parallel to the fortieth south parallel.",-0.4767,0.0,0.094,0.906,negative,The Mysterious Island
"Towns were overthrown, forests uprooted, coasts devastated by the mountains of water which were precipitated on them, vessels cast on the shore, which the published accounts numbered by hundreds, whole districts leveled by waterspouts which destroyed everything they passed over, several thousand people crushed on land or drowned at sea; such were the traces of its fury, left by this devastating tempest.",-0.9742,0.0,0.289,0.711,negative,The Mysterious Island
"It surpassed in disasters those which so frightfully ravaged Havana and Guadalupe, one on the 25th of October, 1810, the other on the 26th of July, 1825.",-0.7959,0.0,0.221,0.779,negative,The Mysterious Island
"But while so many catastrophes were taking place on land and at sea, a drama not less exciting was being enacted in the agitated air.",-0.7973,0.0,0.244,0.756,negative,The Mysterious Island
"In fact, a balloon, as a ball might be carried on the summit of a waterspout, had been taken into the circling movement of a column of air and had traversed space at the rate of ninety miles an hour, turning round and round as if seized by some aerial maelstrom.",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"Beneath the lower point of the balloon swung a car, containing five passengers, scarcely visible in the midst of the thick vapor mingled with spray which hung over the surface of the ocean.",-0.296,0.0,0.066,0.934,negative,The Mysterious Island
"Whence, it may be asked, had come that plaything of the tempest?",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
From what part of the world did it rise?,0.0,0.0,0.0,1.0,neutral,The Mysterious Island
It surely could not have started during the storm.,0.4404,0.266,0.0,0.734,positive,The Mysterious Island
"But the storm had raged five days already, and the first symptoms were manifested on the 18th.",-0.6124,0.0,0.2,0.8,negative,The Mysterious Island
"It cannot be doubted that the balloon came from a great distance, for it could not have traveled less than two thousand miles in twenty-four hours.",0.7108,0.205,0.0,0.795,positive,The Mysterious Island
"At any rate the passengers, destitute of all marks for their guidance, could not have possessed the means of reckoning the route traversed since their departure.",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"It was a remarkable fact that, although in the very midst of the furious tempest, they did not suffer from it.",0.4118,0.238,0.136,0.626,positive,The Mysterious Island
"They were thrown about and whirled round and round without feeling the rotation in the slightest degree, or being sensible that they were removed from a horizontal position.",-0.0951,0.0,0.05,0.95,negative,The Mysterious Island
Their eyes could not pierce through the thick mist which had gathered beneath the car.,0.0,0.0,0.0,1.0,neutral,The Mysterious Island
Dark vapor was all around them.,0.0,0.0,0.0,1.0,neutral,The Mysterious Island
Such was the density of the atmosphere that they could not be certain whether it was day or night.,-0.2057,0.0,0.092,0.908,negative,The Mysterious Island
"No reflection of light, no sound from inhabited land, no roaring of the ocean could have reached them, through the obscurity, while suspended in those elevated zones.",-0.8074,0.042,0.293,0.665,negative,The Mysterious Island
Their rapid descent alone had informed them of the dangers which they ran from the waves.,-0.6369,0.0,0.271,0.729,negative,The Mysterious Island
"However, the balloon, lightened of heavy articles, such as ammunition, arms, and provisions, had risen into the higher layers of the atmosphere, to a height of 4,500 feet.",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"The voyagers, after having discovered that the sea extended beneath them, and thinking the dangers above less dreadful than those below, did not hesitate to throw overboard even their most useful articles, while they endeavored to lose no more of that fluid, the life of their enterprise, which sustained them above the abyss.",-0.6908,0.08,0.171,0.749,negative,The Mysterious Island
The night passed in the midst of alarms which would have been death to less energetic souls.,-0.5256,0.115,0.265,0.619,negative,The Mysterious Island
Again the day appeared and with it the tempest began to moderate.,0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"From the beginning of that day, the 24th of March, it showed symptoms of abating.",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"At dawn, some of the lighter clouds had risen into the more lofty regions of the air.",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"In a few hours the wind had changed from a hurricane to a fresh breeze, that is to say, the rate of the transit of the atmospheric layers was diminished by half.",0.3182,0.076,0.0,0.924,positive,The Mysterious Island
"It was still what sailors call ""a close-reefed topsail breeze,"" but the commotion in the elements had none the less considerably diminished.",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"Towards eleven o'clock, the lower region of the air was sensibly clearer.",-0.296,0.0,0.167,0.833,negative,The Mysterious Island
The atmosphere threw off that chilly dampness which is felt after the passage of a great meteor.,0.6249,0.215,0.0,0.785,positive,The Mysterious Island
The storm did not seem to have gone farther to the west.,0.0,0.0,0.0,1.0,neutral,The Mysterious Island
It appeared to have exhausted itself.,-0.3612,0.0,0.333,0.667,negative,The Mysterious Island
"Could it have passed away in electric sheets, as is sometimes the case with regard to the typhoons of the Indian Ocean?",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"But at the same time, it was also evident that the balloon was again slowly descending with a regular movement.",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"It appeared as if it were, little by little, collapsing, and that its case was lengthening and extending, passing from a spherical to an oval form.",-0.1639,0.0,0.064,0.936,negative,The Mysterious Island
"Towards midday the balloon was hovering above the sea at a height of only 2,000 feet.",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"It contained 50,000 cubic feet of gas, and, thanks to its capacity, it could maintain itself a long time in the air, although it should reach a great altitude or might be thrown into a horizontal position.",0.7964,0.207,0.0,0.793,positive,The Mysterious Island
"Perceiving their danger, the passengers cast away the last articles which still weighed down the car, the few provisions they had kept, everything, even to their pocket-knives, and one of them, having hoisted himself on to the circles which united the cords of the net, tried to secure more firmly the lower point of the balloon.",-0.1689,0.082,0.093,0.825,negative,The Mysterious Island
"It was, however, evident to the voyagers that the gas was failing, and that the balloon could no longer be sustained in the higher regions.",-0.6705,0.0,0.193,0.807,negative,The Mysterious Island
They must infallibly perish!,0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"There was not a continent, nor even an island, visible beneath them.",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"The watery expanse did not present a single speck of land, not a solid surface upon which their anchor could hold.",-0.1139,0.0,0.074,0.926,negative,The Mysterious Island
"It was the open sea, whose waves were still dashing with tremendous violence!",-0.6588,0.0,0.268,0.732,negative,The Mysterious Island
"It was the ocean, without any visible limits, even for those whose gaze, from their commanding position, extended over a radius of forty miles.",0.0,0.0,0.0,1.0,neutral,The Mysterious Island
"The vast liquid plain, lashed without mercy by the storm, appeared as if covered with herds of furious chargers, whose white and disheveled crests were streaming in the wind.",-0.7013,0.0,0.177,0.823,negative,The Mysterious Island
"No land was in sight, not a solitary ship could be seen.",-0.296,0.0,0.18,0.82,negative,The Mysterious Island
"It was necessary at any cost to arrest their downward course, and to prevent the balloon from being engulfed in the waves.",-0.3182,0.047,0.102,0.851,negative,The Mysterious Island
The voyagers directed all their energies to this urgent work.,0.4019,0.316,0.0,0.684,positive,The Mysterious Island
"But, notwithstanding their efforts, the balloon still fell, and at the same time shifted with the greatest rapidity, following the direction of the wind, that is to say, from the northeast to the southwest.",0.7783,0.149,0.0,0.851,positive,The Mysterious Island
Frightful indeed was the situation of these unfortunate men.,-0.743,0.0,0.474,0.526,negative,The Mysterious Island
They were evidently no longer masters of the machine.,-0.296,0.0,0.216,0.784,negative,The Mysterious Island
All their attempts were useless.,-0.4215,0.0,0.412,0.588,negative,The Mysterious Island
