sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Herland This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Herland
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Herland
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Herland
"Title : Herland Author : Charlotte Perkins Gilman Release date : June 27, 2008 [eBook #32] Most recently updated: September 17, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/32 *** START OF THE PROJECT GUTENBERG EBOOK HERLAND *** HERLAND by Charlotte Perkins Stetson Gilman Contents CHAPTER 1.",0.0,0.0,0.0,1.0,neutral,Herland
A Not Unnatural Enterprise CHAPTER 2.,0.0,0.0,0.0,1.0,neutral,Herland
Rash Advances CHAPTER 3.,-0.4019,0.0,0.474,0.526,negative,Herland
A Peculiar Imprisonment CHAPTER 4.,0.1531,0.348,0.0,0.652,positive,Herland
Our Venture CHAPTER 5.,0.0,0.0,0.0,1.0,neutral,Herland
A Unique History CHAPTER 6.,0.0,0.0,0.0,1.0,neutral,Herland
Comparisons Are Odious CHAPTER 7.,0.0,0.0,0.0,1.0,neutral,Herland
Our Growing Modesty CHAPTER 8.,0.1779,0.298,0.0,0.702,positive,Herland
The Girls of Herland CHAPTER 9.,0.0,0.0,0.0,1.0,neutral,Herland
Our Relations and Theirs CHAPTER 10.,0.0,0.0,0.0,1.0,neutral,Herland
Their Religions and Our Marriages CHAPTER 11.,0.0,0.0,0.0,1.0,neutral,Herland
Our Difficulties CHAPTER 12.,-0.296,0.0,0.423,0.577,negative,Herland
Expelled CHAPTER 1.,-0.25,0.0,0.5,0.5,negative,Herland
"A Not Unnatural Enterprise This is written from memory, unfortunately.",-0.34,0.0,0.231,0.769,negative,Herland
"If I could have brought with me the material I so carefully prepared, this would be a very different story.",0.4887,0.218,0.0,0.782,positive,Herland
"Whole books full of notes, carefully copied records, firsthand descriptions, and the pictures--that's the worst loss.",-0.7096,0.072,0.306,0.622,negative,Herland
"We had some bird's-eyes of the cities and parks; a lot of lovely views of streets, of buildings, outside and in, and some of those gorgeous gardens, and, most important of all, of the women themselves.",0.8718,0.236,0.0,0.764,positive,Herland
Nobody will ever believe how they looked.,0.0,0.0,0.0,1.0,neutral,Herland
"Descriptions aren't any good when it comes to women, and I never was good at descriptions anyhow.",-0.5875,0.0,0.256,0.744,negative,Herland
But it's got to be done somehow; the rest of the world needs to know about that country.,0.0,0.0,0.0,1.0,neutral,Herland
"I haven't said where it was for fear some self-appointed missionaries, or traders, or land-greedy expansionists, will take it upon themselves to push in.",-0.4939,0.0,0.127,0.873,negative,Herland
"They will not be wanted, I can tell them that, and will fare worse than we did if they do find it.",-0.4767,0.0,0.134,0.866,negative,Herland
It began this way.,0.0,0.0,0.0,1.0,neutral,Herland
"There were three of us, classmates and friends--Terry O. Nicholson (we used to call him the Old Nick, with good reason), Jeff Margrave, and I, Vandyck Jennings.",0.4404,0.1,0.0,0.9,positive,Herland
"We had known each other years and years, and in spite of our differences we had a good deal in common.",-0.128,0.119,0.14,0.741,negative,Herland
All of us were interested in science.,0.4019,0.31,0.0,0.69,positive,Herland
Terry was rich enough to do as he pleased.,0.7579,0.481,0.0,0.519,positive,Herland
His great aim was exploration.,0.7184,0.667,0.0,0.333,positive,Herland
"He used to make all kinds of a row because there was nothing left to explore now, only patchwork and filling in, he said.",0.0,0.0,0.0,1.0,neutral,Herland
He filled in well enough--he had a lot of talents--great on mechanics and electricity.,0.2732,0.149,0.0,0.851,positive,Herland
"Had all kinds of boats and motorcars, and was one of the best of our airmen.",0.6369,0.219,0.0,0.781,positive,Herland
We never could have done the thing at all without Terry.,0.0,0.0,0.0,1.0,neutral,Herland
"Jeff Margrave was born to be a poet, a botanist--or both--but his folks persuaded him to be a doctor instead.",0.0,0.0,0.0,1.0,neutral,Herland
"He was a good one, for his age, but his real interest was in what he loved to call ""the wonders of science.""",0.9062,0.373,0.0,0.627,positive,Herland
"As for me, sociology's my major.",0.0,0.0,0.0,1.0,neutral,Herland
"You have to back that up with a lot of other sciences, of course.",0.0,0.0,0.0,1.0,neutral,Herland
I'm interested in them all.,0.4019,0.403,0.0,0.597,positive,Herland
"Terry was strong on facts--geography and meteorology and those; Jeff could beat him any time on biology, and I didn't care what it was they talked about, so long as it connected with human life, somehow.",0.171,0.085,0.068,0.848,positive,Herland
There are few things that don't.,0.0,0.0,0.0,1.0,neutral,Herland
We three had a chance to join a big scientific expedition.,0.4939,0.375,0.0,0.625,positive,Herland
"They needed a doctor, and that gave Jeff an excuse for dropping his just opening practice; they needed Terry's experience, his machine, and his money; and as for me, I got in through Terry's influence.",0.0772,0.039,0.0,0.961,positive,Herland
"The expedition was up among the thousand tributaries and enormous hinterland of a great river, up where the maps had to be made, savage dialects studied, and all manner of strange flora and fauna expected.",0.0772,0.103,0.12,0.777,positive,Herland
But this story is not about that expedition.,0.0,0.0,0.0,1.0,neutral,Herland
That was only the merest starter for ours.,0.0,0.0,0.0,1.0,neutral,Herland
My interest was first roused by talk among our guides.,0.4588,0.25,0.0,0.75,positive,Herland
"I'm quick at languages, know a good many, and pick them up readily.",0.4404,0.209,0.0,0.791,positive,Herland
"What with that and a really good interpreter we took with us, I made out quite a few legends and folk myths of these scattered tribes.",0.4927,0.127,0.0,0.873,positive,Herland
"And as we got farther and farther upstream, in a dark tangle of rivers, lakes, morasses, and dense forests, with here and there an unexpected long spur running out from the big mountains beyond, I noticed that more and more of these savages had a story about a strange and terrible Woman Land in the high distance.",-0.8207,0.0,0.146,0.854,negative,Herland
"""Up yonder,"" ""Over there,"" ""Way up""--was all the direction they could offer, but their legends all agreed on the main point--that there was this strange country where no men lived--only women and girl children.",-0.3919,0.068,0.136,0.796,negative,Herland
None of them had ever seen it.,0.0,0.0,0.0,1.0,neutral,Herland
"It was dangerous, deadly, they said, for any man to go there.",-0.4767,0.0,0.22,0.78,negative,Herland
"But there were tales of long ago, when some brave investigator had seen it--a Big Country, Big Houses, Plenty People--All Women.",0.6808,0.187,0.0,0.813,positive,Herland
Had no one else gone?,-0.296,0.0,0.355,0.645,negative,Herland
Yes--a good many--but they never came back.,0.4404,0.326,0.0,0.674,positive,Herland
It was no place for men--of that they seemed sure.,0.0258,0.184,0.176,0.64,neutral,Herland
"I told the boys about these stories, and they laughed at them.",0.4588,0.231,0.0,0.769,positive,Herland
Naturally I did myself.,0.0,0.0,0.0,1.0,neutral,Herland
I knew the stuff that savage dreams are made of.,-0.0772,0.213,0.236,0.551,negative,Herland
"But when we had reached our farthest point, just the day before we all had to turn around and start for home again, as the best of expeditions must in time, we three made a discovery.",0.8126,0.183,0.0,0.817,positive,Herland
"The main encampment was on a spit of land running out into the main stream, or what we thought was the main stream.",0.0,0.0,0.0,1.0,neutral,Herland
"It had the same muddy color we had been seeing for weeks past, the same taste.",0.0,0.0,0.0,1.0,neutral,Herland
"I happened to speak of that river to our last guide, a rather superior fellow with quick, bright eyes.",0.7506,0.299,0.0,0.701,positive,Herland
"He told me that there was another river--""over there, short river, sweet water, red and blue.""",0.4588,0.167,0.0,0.833,positive,Herland
"I was interested in this and anxious to see if I had understood, so I showed him a red and blue pencil I carried, and asked again.",0.1779,0.109,0.081,0.81,positive,Herland
"Yes, he pointed to the river, and then to the southwestward.",0.4019,0.213,0.0,0.787,positive,Herland
"""River--good water--red and blue.""",0.0,0.0,0.0,1.0,neutral,Herland
Terry was close by and interested in the fellow's pointing.,0.4019,0.231,0.0,0.769,positive,Herland
