sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Heidi This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Heidi
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Heidi
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Heidi
"Title : Heidi Author : Johanna Spyri Translator : Marion Edwards Release date : September 1, 1998 [eBook #1448] Most recently updated: December 31, 2020 Language : English Other information and formats : www.gutenberg.org/ebooks/1448 *** START OF THE PROJECT GUTENBERG EBOOK HEIDI *** HEIDI by JOHANNA SPYRI CONTENTS I Up the Mountain to Alm-Uncle II At Home with Grandfather III Out with the Goats IV The Visit to Grandmother V Two Visits and What Came of Them VI A New Chapter about New Things VII Fraulein Rottenmeier Spends an Uncomfortable Day VIII There is Great Commotion in the Large House IX Herr Sesemann Hears of Things that are New to Him X Another Grandmother XI Heidi Gains in One Way and Loses in Another XII A Ghost in the House XIII A Summer Evening on the Mountain XIV Sunday Bells XV Preparations for a journey XVI A Visitor XVII A Compensation XVIII Winter in Dorfli XIX The Winter Continues XX News from Distant Friends XXI How Life went on at Grandfather's XXII Something Unexpected Happens XXIII ""Good-bye Till We Meet Again"" INTRODUCTION ""Heidi"" is a delightful story for children of life in the Alps, one of many tales written by the Swiss authoress, Johanna Spyri, who died in her home at Zurich in 1891.",0.5574,0.063,0.05,0.887,positive,Heidi
"She had been well known to the younger readers of her own country since 1880, when she published her story, Heimathlos, which ran into three or more editions, and which, like her other books, as she states on the title page, was written for those who love children, as well as for the youngsters themselves.",0.872,0.176,0.0,0.824,positive,Heidi
Her own sympathy with the instincts and longings of the child's heart is shown in her picture of Heidi.,0.4404,0.187,0.0,0.813,positive,Heidi
The record of the early life of this Swiss child amid the beauties of her passionately loved mountain-home and during her exile in the great town has been for many years a favorite book of younger readers in Germany and America.,0.9571,0.337,0.0,0.663,positive,Heidi
"Madame Spyri, like Hans Andersen, had by temperament a peculiar skill in writing the simple histories of an innocent world.",0.6705,0.289,0.0,0.711,positive,Heidi
In all her stories she shows an underlying desire to preserve children alike from misunderstanding and the mistaken kindness that frequently hinder the happiness and natural development of their lives and characters.,0.7579,0.274,0.123,0.603,positive,Heidi
"The authoress, as we feel in reading her tales, lived among the scenes and people she describes, and the setting of her stories has the charm of the mountain scenery amid which she places her small actors.",0.4019,0.07,0.0,0.93,positive,Heidi
