sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Time Machine This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.068,0.107,0.825,negative,The Time Machine
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Time Machine
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Time Machine
"Title : The Time Machine Author : H. G. Wells Release date : October 2, 2004 [eBook #35] Most recently updated: April 19, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/35 *** START OF THE PROJECT GUTENBERG EBOOK THE TIME MACHINE *** The Time Machine An Invention by H. G. Wells CONTENTS I Introduction II The Machine III The Time Traveller Returns IV Time Travelling V In the Golden Age VI The Sunset of Mankind VII A Sudden Shock VIII Explanation IX The Morlocks X When Night Came XI The Palace of Green Porcelain XII In the Darkness XIII The Trap of the White Sphinx XIV The Further Vision XV The Time Traveller's Return XVI After the Story Epilogue I.",-0.2263,0.05,0.058,0.892,negative,The Time Machine
Introduction The Time Traveller (for so it will be convenient to speak of him) was expounding a recondite matter to us.,0.0258,0.055,0.0,0.945,neutral,The Time Machine
"His pale grey eyes shone and twinkled, and his usually pale face was flushed and animated.",0.0516,0.074,0.0,0.926,positive,The Time Machine
"The fire burnt brightly, and the soft radiance of the incandescent lights in the lilies of silver caught the bubbles that flashed and passed in our glasses.",0.3612,0.157,0.077,0.767,positive,The Time Machine
"Our chairs, being his patents, embraced and caressed us rather than submitted to be sat upon, and there was that luxurious after-dinner atmosphere, when thought runs gracefully free of the trammels of precision.",0.7717,0.178,0.0,0.822,positive,The Time Machine
And he put it to us in this way--marking the points with a lean forefinger--as we sat and lazily admired his earnestness over this new paradox (as we thought it) and his fecundity.,0.4404,0.095,0.04,0.865,positive,The Time Machine
"""You must follow me carefully.",0.128,0.273,0.0,0.727,positive,The Time Machine
I shall have to controvert one or two ideas that are almost universally accepted.,0.2075,0.132,0.0,0.868,positive,The Time Machine
"The geometry, for instance, they taught you at school is founded on a misconception.""",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""Is not that rather a large thing to expect us to begin upon?""",0.0,0.0,0.0,1.0,neutral,The Time Machine
"said Filby, an argumentative person with red hair.",-0.3612,0.0,0.263,0.737,negative,The Time Machine
"""I do not mean to ask you to accept anything without reasonable ground for it.",0.3818,0.157,0.0,0.843,positive,The Time Machine
You will soon admit as much as I need from you.,0.2023,0.167,0.0,0.833,positive,The Time Machine
"You know of course that a mathematical line, a line of thickness nil , has no real existence.",-0.296,0.0,0.136,0.864,negative,The Time Machine
They taught you that?,0.0,0.0,0.0,1.0,neutral,The Time Machine
Neither has a mathematical plane.,0.0,0.0,0.0,1.0,neutral,The Time Machine
"These things are mere abstractions.""",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""That is all right,"" said the Psychologist.",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""Nor, having only length, breadth, and thickness, can a cube have a real existence.""",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""There I object,"" said Filby.",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""Of course a solid body may exist.",0.1531,0.242,0.0,0.758,positive,The Time Machine
"All real things--"" ""So most people think.",0.0,0.0,0.0,1.0,neutral,The Time Machine
But wait a moment.,0.0,0.0,0.0,1.0,neutral,The Time Machine
"Can an instantaneous cube exist?""",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""Don't follow you,"" said Filby.",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""Can a cube that does not last for any time at all, have a real existence?""",0.0,0.0,0.0,1.0,neutral,The Time Machine
Filby became pensive.,0.0772,0.394,0.0,0.606,positive,The Time Machine
"""Clearly,"" the Time Traveller proceeded, ""any real body must have extension in four directions: it must have Length, Breadth, Thickness, and--Duration.",0.0,0.0,0.0,1.0,neutral,The Time Machine
"But through a natural infirmity of the flesh, which I will explain to you in a moment, we incline to overlook this fact.",0.5023,0.146,0.0,0.854,positive,The Time Machine
"There are really four dimensions, three which we call the three planes of Space, and a fourth, Time.",0.0,0.0,0.0,1.0,neutral,The Time Machine
"There is, however, a tendency to draw an unreal distinction between the former three dimensions and the latter, because it happens that our consciousness moves intermittently in one direction along the latter from the beginning to the end of our lives.""",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""That,"" said a very young man, making spasmodic efforts to relight his cigar over the lamp; ""that .",0.0,0.0,0.0,1.0,neutral,The Time Machine
.,0.0,0.0,0.0,0.0,neutral,The Time Machine
.,0.0,0.0,0.0,0.0,neutral,The Time Machine
"very clear indeed.""",0.4391,0.591,0.0,0.409,positive,The Time Machine
"""Now, it is very remarkable that this is so extensively overlooked,"" continued the Time Traveller, with a slight accession of cheerfulness.",0.7902,0.28,0.0,0.72,positive,The Time Machine
"""Really this is what is meant by the Fourth Dimension, though some people who talk about the Fourth Dimension do not know they mean it.",0.0,0.0,0.0,1.0,neutral,The Time Machine
It is only another way of looking at Time.,0.0,0.0,0.0,1.0,neutral,The Time Machine
There is no difference between Time and any of the three dimensions of Space except that our consciousness moves along it .,-0.296,0.0,0.099,0.901,negative,The Time Machine
But some foolish people have got hold of the wrong side of that idea.,-0.7783,0.0,0.362,0.638,negative,The Time Machine
"You have all heard what they have to say about this Fourth Dimension?""",0.0,0.0,0.0,1.0,neutral,The Time Machine
""" I have not,"" said the Provincial Mayor.",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""It is simply this.",0.0,0.0,0.0,1.0,neutral,The Time Machine
"That Space, as our mathematicians have it, is spoken of as having three dimensions, which one may call Length, Breadth, and Thickness, and is always definable by reference to three planes, each at right angles to the others.",0.0,0.0,0.0,1.0,neutral,The Time Machine
But some philosophical people have been asking why three dimensions particularly--why not another direction at right angles to the other three?--and have even tried to construct a Four-Dimensional geometry.,0.0,0.0,0.0,1.0,neutral,The Time Machine
Professor Simon Newcomb was expounding this to the New York Mathematical Society only a month or so ago.,0.0,0.0,0.0,1.0,neutral,The Time Machine
"You know how on a flat surface, which has only two dimensions, we can represent a figure of a three-dimensional solid, and similarly they think that by models of three dimensions they could represent one of four--if they could master the perspective of the thing.",0.1531,0.038,0.0,0.962,positive,The Time Machine
"See?""",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""I think so,"" murmured the Provincial Mayor; and, knitting his brows, he lapsed into an introspective state, his lips moving as one who repeats mystic words.",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""Yes, I think I see it now,"" he said after some time, brightening in a quite transitory manner.",0.5423,0.2,0.0,0.8,positive,The Time Machine
"""Well, I do not mind telling you I have been at work upon this geometry of Four Dimensions for some time.",0.0,0.0,0.0,1.0,neutral,The Time Machine
Some of my results are curious.,0.3182,0.315,0.0,0.685,positive,The Time Machine
"For instance, here is a portrait of a man at eight years old, another at fifteen, another at seventeen, another at twenty-three, and so on.",0.0,0.0,0.0,1.0,neutral,The Time Machine
"All these are evidently sections, as it were, Three-Dimensional representations of his Four-Dimensioned being, which is a fixed and unalterable thing.",0.0,0.0,0.0,1.0,neutral,The Time Machine
"""Scientific people,"" proceeded the Time Traveller, after the pause required for the proper assimilation of this, ""know very well that Time is only a kind of Space.",0.3384,0.087,0.0,0.913,positive,The Time Machine
"Here is a popular scientific diagram, a weather record.",0.4215,0.318,0.0,0.682,positive,The Time Machine
This line I trace with my finger shows the movement of the barometer.,0.0,0.0,0.0,1.0,neutral,The Time Machine
