sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Tarzan of the Apes This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.066,0.104,0.829,negative,Tarzan of the Apes
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Tarzan of the Apes
"Title : Tarzan of the Apes Author : Edgar Rice Burroughs Release date : August 1, 1993 [eBook #78] Most recently updated: July 30, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/78 Credits : Judith Boss.",0.3612,0.075,0.0,0.925,positive,Tarzan of the Apes
HTML version by Al Haines.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
*** START OF THE PROJECT GUTENBERG EBOOK TARZAN OF THE APES *** Tarzan of the Apes by Edgar Rice Burroughs Contents CHAPTER I.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
Out to Sea CHAPTER II.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
The Savage Home CHAPTER III.,-0.4588,0.0,0.429,0.571,negative,Tarzan of the Apes
Life and Death CHAPTER IV.,-0.5994,0.0,0.494,0.506,negative,Tarzan of the Apes
The Apes CHAPTER V. The White Ape CHAPTER VI.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
Jungle Battles CHAPTER VII.,-0.3818,0.0,0.464,0.536,negative,Tarzan of the Apes
The Light of Knowledge CHAPTER VIII.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
The Tree-top Hunter CHAPTER IX.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
Man and Man CHAPTER X.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
The Fear-Phantom CHAPTER XI.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
"""King of the Apes"" CHAPTER XII.",0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
Man's Reason CHAPTER XIII.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
His Own Kind CHAPTER XIV.,0.5267,0.459,0.0,0.541,positive,Tarzan of the Apes
At the Mercy of the Jungle CHAPTER XV.,0.3612,0.263,0.0,0.737,positive,Tarzan of the Apes
The Forest God CHAPTER XVI.,0.2732,0.344,0.0,0.656,positive,Tarzan of the Apes
"""Most Remarkable"" CHAPTER XVII.",0.5984,0.565,0.0,0.435,positive,Tarzan of the Apes
Burials CHAPTER XVIII.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
The Jungle Toll CHAPTER XIX.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
The Call of the Primitive CHAPTER XX.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
Heredity CHAPTER XXI.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
The Village of Torture CHAPTER XXII.,-0.5994,0.0,0.438,0.562,negative,Tarzan of the Apes
The Search Party CHAPTER XXIII.,0.4019,0.403,0.0,0.597,positive,Tarzan of the Apes
Brother Men CHAPTER XXIV.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
Lost Treasure CHAPTER XXV.,-0.0258,0.338,0.354,0.308,neutral,Tarzan of the Apes
The Outpost of the World CHAPTER XXVI.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
The Height of Civilization CHAPTER XXVII.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
The Giant Again CHAPTER XXVIII.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
Conclusion CHAPTER I.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
"Out to Sea I had this story from one who had no business to tell it to me, or to any other.",-0.296,0.0,0.099,0.901,negative,Tarzan of the Apes
"I may credit the seductive influence of an old vintage upon the narrator for the beginning of it, and my own skeptical incredulity during the days that followed for the balance of the strange tale.",-0.128,0.069,0.109,0.822,negative,Tarzan of the Apes
"When my convivial host discovered that he had told me so much, and that I was prone to doubtfulness, his foolish pride assumed the task the old vintage had commenced, and so he unearthed written evidence in the form of musty manuscript, and dry official records of the British Colonial Office to support many of the salient features of his remarkable narrative.",0.8271,0.182,0.06,0.757,positive,Tarzan of the Apes
"I do not say the story is true, for I did not witness the happenings which it portrays, but the fact that in the telling of it to you I have taken fictitious names for the principal characters quite sufficiently evidences the sincerity of my own belief that it may be true.",0.6808,0.106,0.0,0.894,positive,Tarzan of the Apes
"The yellow, mildewed pages of the diary of a man long dead, and the records of the Colonial Office dovetail perfectly with the narrative of my convivial host, and so I give you the story as I painstakingly pieced it out from these several various agencies.",0.2732,0.126,0.085,0.789,positive,Tarzan of the Apes
"If you do not find it credible you will at least be as one with me in acknowledging that it is unique, remarkable, and interesting.",0.743,0.215,0.0,0.785,positive,Tarzan of the Apes
"From the records of the Colonial Office and from the dead man's diary we learn that a certain young English nobleman, whom we shall call John Clayton, Lord Greystoke, was commissioned to make a peculiarly delicate investigation of conditions in a British West Coast African Colony from whose simple native inhabitants another European power was known to be recruiting soldiers for its native army, which it used solely for the forcible collection of rubber and ivory from the savage tribes along the Congo and the Aruwimi.",-0.7506,0.037,0.097,0.867,negative,Tarzan of the Apes
"The natives of the British Colony complained that many of their young men were enticed away through the medium of fair and glowing promises, but that few if any ever returned to their families.",0.1531,0.095,0.051,0.854,positive,Tarzan of the Apes
"The Englishmen in Africa went even further, saying that these poor blacks were held in virtual slavery, since after their terms of enlistment expired their ignorance was imposed upon by their white officers, and they were told that they had yet several years to serve.",-0.8934,0.0,0.222,0.778,negative,Tarzan of the Apes
"And so the Colonial Office appointed John Clayton to a new post in British West Africa, but his confidential instructions centered on a thorough investigation of the unfair treatment of black British subjects by the officers of a friendly European power.",0.0387,0.097,0.093,0.81,neutral,Tarzan of the Apes
"Why he was sent, is, however, of little moment to this story, for he never made an investigation, nor, in fact, did he ever reach his destination.",0.0258,0.041,0.0,0.959,neutral,Tarzan of the Apes
"Clayton was the type of Englishman that one likes best to associate with the noblest monuments of historic achievement upon a thousand victorious battlefields--a strong, virile man--mentally, morally, and physically.",0.8834,0.284,0.0,0.716,positive,Tarzan of the Apes
"In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.",0.8555,0.251,0.0,0.749,positive,Tarzan of the Apes
"Political ambition had caused him to seek transference from the army to the Colonial Office and so we find him, still young, entrusted with a delicate and important commission in the service of the Queen.",0.4215,0.134,0.0,0.866,positive,Tarzan of the Apes
When he received this appointment he was both elated and appalled.,0.296,0.259,0.185,0.556,positive,Tarzan of the Apes
"The preferment seemed to him in the nature of a well-merited reward for painstaking and intelligent service, and as a stepping stone to posts of greater importance and responsibility; but, on the other hand, he had been married to the Hon.",0.8793,0.263,0.0,0.737,positive,Tarzan of the Apes
"Alice Rutherford for scarce a three months, and it was the thought of taking this fair young girl into the dangers and isolation of tropical Africa that appalled him.",-0.7411,0.074,0.251,0.676,negative,Tarzan of the Apes
"For her sake he would have refused the appointment, but she would not have it so.",-0.1531,0.0,0.096,0.904,negative,Tarzan of the Apes
"Instead she insisted that he accept, and, indeed, take her with him.",0.3818,0.191,0.0,0.809,positive,Tarzan of the Apes
"There were mothers and brothers and sisters, and aunts and cousins to express various opinions on the subject, but as to what they severally advised history is silent.",0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
"We know only that on a bright May morning in 1888, John, Lord Greystoke, and Lady Alice sailed from Dover on their way to Africa.",0.4404,0.112,0.0,0.888,positive,Tarzan of the Apes
"A month later they arrived at Freetown where they chartered a small sailing vessel, the Fuwalda , which was to bear them to their final destination.",0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
"And here John, Lord Greystoke, and Lady Alice, his wife, vanished from the eyes and from the knowledge of men.",0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
"Two months after they weighed anchor and cleared from the port of Freetown a half dozen British war vessels were scouring the south Atlantic for trace of them or their little vessel, and it was almost immediately that the wreckage was found upon the shores of St. Helena which convinced the world that the Fuwalda had gone down with all on board, and hence the search was stopped ere it had scarce begun; though hope lingered in longing hearts for many years.",0.0258,0.079,0.078,0.844,neutral,Tarzan of the Apes
"The Fuwalda , a barkentine of about one hundred tons, was a vessel of the type often seen in coastwise trade in the far southern Atlantic, their crews composed of the offscourings of the sea--unhanged murderers and cutthroats of every race and every nation.",-0.6486,0.0,0.097,0.903,negative,Tarzan of the Apes
The Fuwalda was no exception to the rule.,-0.296,0.0,0.239,0.761,negative,Tarzan of the Apes
"Her officers were swarthy bullies, hating and hated by their crew.",-0.8176,0.0,0.455,0.545,negative,Tarzan of the Apes
"The captain, while a competent seaman, was a brute in his treatment of his men.",0.3182,0.161,0.0,0.839,positive,Tarzan of the Apes
"He knew, or at least he used, but two arguments in his dealings with them--a belaying pin and a revolver--nor is it likely that the motley aggregation he signed would have understood aught else.",-0.5499,0.0,0.1,0.9,negative,Tarzan of the Apes
So it was that from the second day out from Freetown John Clayton and his young wife witnessed scenes upon the deck of the Fuwalda such as they had believed were never enacted outside the covers of printed stories of the sea.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
It was on the morning of the second day that the first link was forged in what was destined to form a chain of circumstances ending in a life for one then unborn such as has never been paralleled in the history of man.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
"Two sailors were washing down the decks of the Fuwalda , the first mate was on duty, and the captain had stopped to speak with John Clayton and Lady Alice.",-0.2263,0.0,0.064,0.936,negative,Tarzan of the Apes
The men were working backwards toward the little party who were facing away from the sailors.,0.3415,0.138,0.0,0.862,positive,Tarzan of the Apes
"Closer and closer they came, until one of them was directly behind the captain.",0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
In another moment he would have passed by and this strange narrative would never have been recorded.,-0.25,0.0,0.111,0.889,negative,Tarzan of the Apes
"But just that instant the officer turned to leave Lord and Lady Greystoke, and, as he did so, tripped against the sailor and sprawled headlong upon the deck, overturning the water-pail so that he was drenched in its dirty contents.",-0.631,0.0,0.119,0.881,negative,Tarzan of the Apes
For an instant the scene was ludicrous; but only for an instant.,-0.1901,0.0,0.137,0.863,negative,Tarzan of the Apes
"With a volley of awful oaths, his face suffused with the scarlet of mortification and rage, the captain regained his feet, and with a terrific blow felled the sailor to the deck.",-0.5423,0.084,0.18,0.736,negative,Tarzan of the Apes
"The man was small and rather old, so that the brutality of the act was thus accentuated.",-0.6444,0.0,0.21,0.79,negative,Tarzan of the Apes
"The other seaman, however, was neither old nor small--a huge bear of a man, with fierce black mustachios, and a great bull neck set between massive shoulders.",0.4833,0.141,0.068,0.791,positive,Tarzan of the Apes
"As he saw his mate go down he crouched, and, with a low snarl, sprang upon the captain crushing him to his knees with a single mighty blow.",-0.5574,0.0,0.161,0.839,negative,Tarzan of the Apes
"From scarlet the officer's face went white, for this was mutiny; and mutiny he had met and subdued before in his brutal career.",-0.6249,0.0,0.157,0.843,negative,Tarzan of the Apes
"Without waiting to rise he whipped a revolver from his pocket, firing point blank at the great mountain of muscle towering before him; but, quick as he was, John Clayton was almost as quick, so that the bullet which was intended for the sailor's heart lodged in the sailor's leg instead, for Lord Greystoke had struck down the captain's arm as he had seen the weapon flash in the sun.",-0.5346,0.034,0.094,0.872,negative,Tarzan of the Apes
"Words passed between Clayton and the captain, the former making it plain that he was disgusted with the brutality displayed toward the crew, nor would he countenance anything further of the kind while he and Lady Greystoke remained passengers.",-0.6124,0.073,0.158,0.769,negative,Tarzan of the Apes
"The captain was on the point of making an angry reply, but, thinking better of it, turned on his heel and black and scowling, strode aft.",0.4019,0.128,0.072,0.8,positive,Tarzan of the Apes
"He did not care to antagonize an English official, for the Queen's mighty arm wielded a punitive instrument which he could appreciate, and which he feared--England's far-reaching navy.",-0.1896,0.152,0.174,0.674,negative,Tarzan of the Apes
"The two sailors picked themselves up, the older man assisting his wounded comrade to rise.",0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
"The big fellow, who was known among his mates as Black Michael, tried his leg gingerly, and, finding that it bore his weight, turned to Clayton with a word of gruff thanks.",0.2263,0.086,0.059,0.855,positive,Tarzan of the Apes
"Though the fellow's tone was surly, his words were evidently well meant.",0.2732,0.16,0.0,0.84,positive,Tarzan of the Apes
Ere he had scarce finished his little speech he had turned and was limping off toward the forecastle with the very apparent intention of forestalling any further conversation.,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
"They did not see him again for several days, nor did the captain accord them more than the surliest of grunts when he was forced to speak to them.",-0.4588,0.0,0.097,0.903,negative,Tarzan of the Apes
"They took their meals in his cabin, as they had before the unfortunate occurrence; but the captain was careful to see that his duties never permitted him to eat at the same time.",-0.0258,0.054,0.057,0.888,neutral,Tarzan of the Apes
"The other officers were coarse, illiterate fellows, but little above the villainous crew they bullied, and were only too glad to avoid social intercourse with the polished English noble and his lady, so that the Claytons were left very much to themselves.",-0.6192,0.14,0.211,0.649,negative,Tarzan of the Apes
"This in itself accorded perfectly with their desires, but it also rather isolated them from the life of the little ship so that they were unable to keep in touch with the daily happenings which were to culminate so soon in bloody tragedy.",-0.9135,0.047,0.242,0.71,negative,Tarzan of the Apes
There was in the whole atmosphere of the craft that undefinable something which presages disaster.,-0.6249,0.0,0.227,0.773,negative,Tarzan of the Apes
"Outwardly, to the knowledge of the Claytons, all went on as before upon the little vessel; but that there was an undertow leading them toward some unknown danger both felt, though they did not speak of it to each other.",-0.6808,0.0,0.106,0.894,negative,Tarzan of the Apes
"On the second day after the wounding of Black Michael, Clayton came on deck just in time to see the limp body of one of the crew being carried below by four of his fellows while the first mate, a heavy belaying pin in his hand, stood glowering at the little party of sullen sailors.",0.4889,0.095,0.041,0.864,positive,Tarzan of the Apes
"Clayton asked no questions--he did not need to--and the following day, as the great lines of a British battleship grew out of the distant horizon, he half determined to demand that he and Lady Alice be put aboard her, for his fears were steadily increasing that nothing but harm could result from remaining on the lowering, sullen Fuwalda .",-0.1962,0.134,0.174,0.692,negative,Tarzan of the Apes
"Toward noon they were within speaking distance of the British vessel, but when Clayton had nearly decided to ask the captain to put them aboard her, the obvious ridiculousness of such a request became suddenly apparent.",-0.3612,0.031,0.072,0.897,negative,Tarzan of the Apes
What reason could he give the officer commanding her majesty's ship for desiring to go back in the direction from which he had just come!,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
What if he told them that two insubordinate seamen had been roughly handled by their officers?,0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
They would but laugh in their sleeves and attribute his reason for wishing to leave the ship to but one thing--cowardice.,0.7876,0.273,0.049,0.678,positive,Tarzan of the Apes
"John Clayton, Lord Greystoke, did not ask to be transferred to the British man-of-war.",0.0,0.0,0.0,1.0,neutral,Tarzan of the Apes
"Late in the afternoon he saw her upper works fade below the far horizon, but not before he learned that which confirmed his greatest fears, and caused him to curse the false pride which had restrained him from seeking safety for his young wife a few short hours before, when safety was within reach--a safety which was now gone forever.",0.9109,0.249,0.105,0.646,positive,Tarzan of the Apes
