sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Daddy-Long-Legs This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Daddy-Long-Legs
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Daddy-Long-Legs
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Daddy-Long-Legs
"Title : Daddy-Long-Legs Author : Jean Webster Release date : August 1, 1994 [eBook #157] Most recently updated: January 1, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/157 *** START OF THE PROJECT GUTENBERG EBOOK DADDY-LONG-LEGS *** DADDY-LONG-LEGS by JEAN WEBSTER Copyright 1912 by The Century Company TO YOU Blue Wednesday The first Wednesday in every month was a Perfectly Awful Day--a day to be awaited with dread, endured with courage and forgotten with haste.",0.1027,0.091,0.111,0.799,positive,Daddy-Long-Legs
"Every floor must be spotless, every chair dustless, and every bed without a wrinkle.",0.0,0.0,0.0,1.0,neutral,Daddy-Long-Legs
"Ninety-seven squirming little orphans must be scrubbed and combed and buttoned into freshly starched ginghams; and all ninety-seven reminded of their manners, and told to say, 'Yes, sir,' 'No, sir,' whenever a Trustee spoke.",0.25,0.059,0.0,0.941,positive,Daddy-Long-Legs
"It was a distressing time; and poor Jerusha Abbott, being the oldest orphan, had to bear the brunt of it.",-0.7003,0.0,0.254,0.746,negative,Daddy-Long-Legs
"But this particular first Wednesday, like its predecessors, finally dragged itself to a close.",0.4497,0.209,0.084,0.707,positive,Daddy-Long-Legs
"Jerusha escaped from the pantry where she had been making sandwiches for the asylum's guests, and turned upstairs to accomplish her regular work.",0.4215,0.113,0.0,0.887,positive,Daddy-Long-Legs
"Her special care was room F, where eleven little tots, from four to seven, occupied eleven little cots set in a row.",0.7096,0.237,0.0,0.763,positive,Daddy-Long-Legs
"Jerusha assembled her charges, straightened their rumpled frocks, wiped their noses, and started them in an orderly and willing line towards the dining-room to engage themselves for a blessed half hour with bread and milk and prune pudding.",0.6369,0.149,0.05,0.802,positive,Daddy-Long-Legs
Then she dropped down on the window seat and leaned throbbing temples against the cool glass.,0.3182,0.133,0.0,0.867,positive,Daddy-Long-Legs
"She had been on her feet since five that morning, doing everybody's bidding, scolded and hurried by a nervous matron.",-0.2732,0.0,0.104,0.896,negative,Daddy-Long-Legs
"Mrs. Lippett, behind the scenes, did not always maintain that calm and pompous dignity with which she faced an audience of Trustees and lady visitors.",0.6486,0.223,0.0,0.777,positive,Daddy-Long-Legs
"Jerusha gazed out across a broad stretch of frozen lawn, beyond the tall iron paling that marked the confines of the asylum, down undulating ridges sprinkled with country estates, to the spires of the village rising from the midst of bare trees.",0.0,0.0,0.0,1.0,neutral,Daddy-Long-Legs
"The day was ended--quite successfully, so far as she knew.",0.4939,0.262,0.0,0.738,positive,Daddy-Long-Legs
