sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Phantom of the Opera This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,The Phantom of the Opera
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Phantom of the Opera
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Phantom of the Opera
"Title : The Phantom of the Opera Author : Gaston Leroux Release date : October 1, 1994 [eBook #175] Most recently updated: January 8, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/175 *** START OF THE PROJECT GUTENBERG EBOOK THE PHANTOM OF THE OPERA *** The Phantom of the Opera by Gaston Leroux Author of ""The Mystery of the Yellow Room"" and ""The Perfume of the Lady in Black"" Contents Chapter PROLOGUE I IS IT A GHOST?",-0.4648,0.0,0.041,0.959,negative,The Phantom of the Opera
II THE NEW MARGARITA III THE MYSTERIOUS REASON IV BOX FIVE V THE ENCHANTED VIOLIN VI A VISIT TO BOX FIVE VII FAUST AND WHAT FOLLOWED VIII THE MYSTERIOUS BROUGHAM IX AT THE MASKED BALL X FORGET THE NAME OF THE MAN'S VOICE XI ABOVE THE TRAP-DOORS XII APOLLO'S LYRE XIII A MASTER-STROKE OF THE TRAP-DOOR LOVER XIV THE SINGULAR ATTITUDE OF A SAFETY-PIN XV CHRISTINE!,0.6996,0.1,0.029,0.871,positive,The Phantom of the Opera
CHRISTINE!,0.0,0.0,0.0,1.0,neutral,The Phantom of the Opera
XVI MME.,0.0,0.0,0.0,1.0,neutral,The Phantom of the Opera
"GIRY'S REVELATIONS XVII THE SAFETY-PIN AGAIN XVIII THE COMMISSARY, THE VISCOUNT AND THE PERSIAN XIX THE VISCOUNT AND THE PERSIAN XX IN THE CELLARS OF THE OPERA XXI INTERESTING VICISSITUDES XXII IN THE TORTURE CHAMBER XXIII THE TORTURES BEGIN XXIV BARRELS!",-0.7177,0.056,0.159,0.785,negative,The Phantom of the Opera
BARRELS!,0.0,0.0,0.0,1.0,neutral,The Phantom of the Opera
"XXV THE SCORPION OR THE GRASSHOPPER: WHICH XXVI THE END OF THE GHOST'S LOVE STORY EPILOGUE (plus a ""bonus chapter"" called ""THE PARIS OPERA HOUSE"") The Phantom of the Opera Prologue IN WHICH THE AUTHOR OF THIS SINGULAR WORK INFORMS THE READER HOW HE ACQUIRED THE CERTAINTY THAT THE OPERA GHOST REALLY EXISTED The Opera ghost really existed.",0.7804,0.163,0.078,0.759,positive,The Phantom of the Opera
"He was not, as was long believed, a creature of the imagination of the artists, the superstition of the managers, or a product of the absurd and impressionable brains of the young ladies of the ballet, their mothers, the box-keepers, the cloak-room attendants or the concierge.",0.0516,0.027,0.0,0.973,positive,The Phantom of the Opera
"Yes, he existed in flesh and blood, although he assumed the complete appearance of a real phantom; that is to say, of a spectral shade.",0.4019,0.109,0.0,0.891,positive,The Phantom of the Opera
"When I began to ransack the archives of the National Academy of Music I was at once struck by the surprising coincidences between the phenomena ascribed to the ""ghost"" and the most extraordinary and fantastic tragedy that ever excited the Paris upper classes; and I soon conceived the idea that this tragedy might reasonably be explained by the phenomena in question.",-0.5325,0.118,0.152,0.731,negative,The Phantom of the Opera
"The events do not date more than thirty years back; and it would not be difficult to find at the present day, in the foyer of the ballet, old men of the highest respectability, men upon whose word one could absolutely rely, who would remember as though they happened yesterday the mysterious and dramatic conditions that attended the kidnapping of Christine Daae, the disappearance of the Vicomte de Chagny and the death of his elder brother, Count Philippe, whose body was found on the bank of the lake that exists in the lower cellars of the Opera on the Rue-Scribe side.",-0.1506,0.051,0.056,0.893,negative,The Phantom of the Opera
But none of those witnesses had until that day thought that there was any reason for connecting the more or less legendary figure of the Opera ghost with that terrible story.,-0.7964,0.0,0.197,0.803,negative,The Phantom of the Opera
"The truth was slow to enter my mind, puzzled by an inquiry that at every moment was complicated by events which, at first sight, might be looked upon as superhuman; and more than once I was within an ace of abandoning a task in which I was exhausting myself in the hopeless pursuit of a vain image.",-0.8519,0.037,0.204,0.759,negative,The Phantom of the Opera
"At last, I received the proof that my presentiments had not deceived me, and I was rewarded for all my efforts on the day when I acquired the certainty that the Opera ghost was more than a mere shade.",0.6492,0.186,0.056,0.758,positive,The Phantom of the Opera
"On that day, I had spent long hours over THE MEMOIRS OF A MANAGER, the light and frivolous work of the too-skeptical Moncharmin, who, during his term at the Opera, understood nothing of the mysterious behavior of the ghost and who was making all the fun of it that he could at the very moment when he became the first victim of the curious financial operation that went on inside the ""magic envelope.""",0.296,0.073,0.057,0.87,positive,The Phantom of the Opera
"I had just left the library in despair, when I met the delightful acting-manager of our National Academy, who stood chatting on a landing with a lively and well-groomed little old man, to whom he introduced me gaily.",0.6597,0.167,0.057,0.775,positive,The Phantom of the Opera
"The acting-manager knew all about my investigations and how eagerly and unsuccessfully I had been trying to discover the whereabouts of the examining magistrate in the famous Chagny case, M. Faure.",-0.0258,0.078,0.081,0.841,neutral,The Phantom of the Opera
"Nobody knew what had become of him, alive or dead; and here he was back from Canada, where he had spent fifteen years, and the first thing he had done, on his return to Paris, was to come to the secretarial offices at the Opera and ask for a free seat.",0.1531,0.103,0.075,0.822,positive,The Phantom of the Opera
The little old man was M. Faure himself.,0.0,0.0,0.0,1.0,neutral,The Phantom of the Opera
