sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The island of Doctor Moreau This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,The island of Doctor Moreau
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The island of Doctor Moreau
"Title : The island of Doctor Moreau Author : H. G. Wells Release date : October 14, 2004 [eBook #159] Most recently updated: June 28, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/159 Credits : Judith Boss and Andrew Sly *** START OF THE PROJECT GUTENBERG EBOOK THE ISLAND OF DOCTOR MOREAU *** The Island of Doctor Moreau by H. G. Wells Contents INTRODUCTION I.",0.6705,0.101,0.0,0.899,positive,The island of Doctor Moreau
"IN THE DINGEY OF THE ""LADY VAIN"" II.",-0.4215,0.0,0.286,0.714,negative,The island of Doctor Moreau
THE MAN WHO WAS GOING NOWHERE III.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
THE STRANGE FACE IV.,-0.2023,0.0,0.375,0.625,negative,The island of Doctor Moreau
AT THE SCHOONER'S RAIL V. THE MAN WHO HAD NOWHERE TO GO VI.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
THE EVIL-LOOKING BOATMEN VII.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
THE LOCKED DOOR VIII.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
THE CRYING OF THE PUMA IX.,-0.4767,0.0,0.383,0.617,negative,The island of Doctor Moreau
THE THING IN THE FOREST X.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
THE CRYING OF THE MAN XI.,-0.4767,0.0,0.383,0.617,negative,The island of Doctor Moreau
THE HUNTING OF THE MAN XII.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
THE SAYERS OF THE LAW XIII.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
A PARLEY XIV.,-0.1027,0.0,0.583,0.417,negative,The island of Doctor Moreau
DOCTOR MOREAU EXPLAINS XV.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
CONCERNING THE BEAST FOLK XVI.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
HOW THE BEAST FOLK TASTE BLOOD XVII.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
A CATASTROPHE XVIII.,-0.6597,0.0,0.815,0.185,negative,The island of Doctor Moreau
THE FINDING OF MOREAU XIX.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"MONTGOMERY'S ""BANK HOLIDAY"" XX.",0.4019,0.474,0.0,0.526,positive,The island of Doctor Moreau
ALONE WITH THE BEAST FOLK XXI.,-0.25,0.0,0.286,0.714,negative,The island of Doctor Moreau
THE REVERSION OF THE BEAST FOLK XXII.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
THE MAN ALONE INTRODUCTION.,-0.25,0.0,0.4,0.6,negative,The island of Doctor Moreau
"On February the First 1887, the Lady Vain was lost by collision with a derelict when about the latitude 1° S. and longitude 107° W. On January the Fifth, 1888--that is eleven months and four days after--my uncle, Edward Prendick, a private gentleman, who certainly went aboard the Lady Vain at Callao, and who had been considered drowned, was picked up in latitude 5° 3′ S. and longitude 101° W. in a small open boat of which the name was illegible, but which is supposed to have belonged to the missing schooner Ipecacuanha .",-0.8271,0.028,0.128,0.844,negative,The island of Doctor Moreau
He gave such a strange account of himself that he was supposed demented.,-0.2023,0.0,0.141,0.859,negative,The island of Doctor Moreau
Subsequently he alleged that his mind was a blank from the moment of his escape from the Lady Vain .,-0.2732,0.083,0.137,0.78,negative,The island of Doctor Moreau
His case was discussed among psychologists at the time as a curious instance of the lapse of memory consequent upon physical and mental stress.,-0.128,0.088,0.107,0.805,negative,The island of Doctor Moreau
"The following narrative was found among his papers by the undersigned, his nephew and heir, but unaccompanied by any definite request for publication.",0.3919,0.108,0.0,0.892,positive,The island of Doctor Moreau
"The only island known to exist in the region in which my uncle was picked up is Noble's Isle, a small volcanic islet and uninhabited.",0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
It was visited in 1891 by H. M. S. Scorpion .,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"A party of sailors then landed, but found nothing living thereon except certain curious white moths, some hogs and rabbits, and some rather peculiar rats.",0.81,0.319,0.0,0.681,positive,The island of Doctor Moreau
So that this narrative is without confirmation in its most essential particular.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"With that understood, there seems no harm in putting this strange story before the public in accordance, as I believe, with my uncle's intentions.",-0.7717,0.0,0.278,0.722,negative,The island of Doctor Moreau
"There is at least this much in its behalf: my uncle passed out of human knowledge about latitude 5° S. and longitude 105° E., and reappeared in the same part of the ocean after a space of eleven months.",0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
In some way he must have lived during the interval.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"And it seems that a schooner called the Ipecacuanha with a drunken captain, John Davies, did start from Africa with a puma and certain other animals aboard in January, 1887, that the vessel was well known at several ports in the South Pacific, and that it finally disappeared from those seas (with a considerable amount of copra aboard), sailing to its unknown fate from Bayna in December, 1887, a date that tallies entirely with my uncle's story.",0.34,0.07,0.025,0.904,positive,The island of Doctor Moreau
C HARLES E DWARD P RENDICK .,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
The Island of Doctor Moreau (The Story written by Edward Prendick.),0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
I.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"IN THE DINGEY OF THE ""LADY VAIN.""",0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
I do not propose to add anything to what has already been written concerning the loss of the Lady Vain .,-0.6249,0.0,0.231,0.769,negative,The island of Doctor Moreau
"As everyone knows, she collided with a derelict when ten days out from Callao.",0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"The longboat, with seven of the crew, was picked up eighteen days after by H. M. gunboat Myrtle , and the story of their terrible privations has become quite as well known as the far more horrible Medusa case.",-0.672,0.054,0.156,0.791,negative,The island of Doctor Moreau
"But I have to add to the published story of the Lady Vain another, possibly as horrible and far stranger.",-0.8573,0.0,0.332,0.668,negative,The island of Doctor Moreau
"It has hitherto been supposed that the four men who were in the dingey perished, but this is incorrect.",0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
I have the best of evidence for this assertion: I was one of the four men.,0.6369,0.244,0.0,0.756,positive,The island of Doctor Moreau
"But in the first place I must state that there never were four men in the dingey,--the number was three.",0.1154,0.075,0.0,0.925,positive,The island of Doctor Moreau
"Constans, who was ""seen by the captain to jump into the gig,"" [1] luckily for us and unluckily for himself did not reach us.",0.4983,0.125,0.041,0.834,positive,The island of Doctor Moreau
"He came down out of the tangle of ropes under the stays of the smashed bowsprit, some small rope caught his heel as he let go, and he hung for a moment head downward, and then fell and struck a block or spar floating in the water.",-0.5994,0.0,0.102,0.898,negative,The island of Doctor Moreau
"We pulled towards him, but he never came up.",0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"[1] Daily News , March 17, 1887.",0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"I say luckily for us he did not reach us, and I might almost say luckily for himself; for we had only a small beaker of water and some soddened ship's biscuits with us, so sudden had been the alarm, so unprepared the ship for any disaster.",0.0067,0.124,0.142,0.733,neutral,The island of Doctor Moreau
"We thought the people on the launch would be better provisioned (though it seems they were not), and we tried to hail them.",0.4939,0.167,0.0,0.833,positive,The island of Doctor Moreau
"They could not have heard us, and the next morning when the drizzle cleared,--which was not until past midday,--we could see nothing of them.",0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"We could not stand up to look about us, because of the pitching of the boat.",0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"The two other men who had escaped so far with me were a man named Helmar, a passenger like myself, and a seaman whose name I don't know,--a short sturdy man, with a stammer.",0.1531,0.08,0.061,0.86,positive,The island of Doctor Moreau
"We drifted famishing, and, after our water had come to an end, tormented by an intolerable thirst, for eight days altogether.",0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
After the second day the sea subsided slowly to a glassy calm.,0.3182,0.187,0.0,0.813,positive,The island of Doctor Moreau
It is quite impossible for the ordinary reader to imagine those eight days.,0.0,0.0,0.0,1.0,neutral,The island of Doctor Moreau
"He has not, luckily for himself, anything in his memory to imagine with.",-0.4023,0.0,0.184,0.816,negative,The island of Doctor Moreau
