sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Eighteenth Brumaire of Louis Bonaparte This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.063,0.1,0.837,negative,The Eighteenth Brumaire of Louis Bonaparte
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Eighteenth Brumaire of Louis Bonaparte
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Eighteenth Brumaire of Louis Bonaparte
"Title : The Eighteenth Brumaire of Louis Bonaparte Author : Karl Marx Release date : February 19, 2006 [eBook #1346] Most recently updated: October 29, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1346 Credits : An Anonymous Volunteer and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE EIGHTEENTH BRUMAIRE OF LOUIS BONAPARTE *** The Eighteenth Brumaire of Louis Bonaparte by Karl Marx Contents Translator's Preface I. II.",0.3612,0.038,0.0,0.962,positive,The Eighteenth Brumaire of Louis Bonaparte
III.,0.0,0.0,0.0,1.0,neutral,The Eighteenth Brumaire of Louis Bonaparte
IV.,0.0,0.0,0.0,1.0,neutral,The Eighteenth Brumaire of Louis Bonaparte
V. VI.,0.0,0.0,0.0,1.0,neutral,The Eighteenth Brumaire of Louis Bonaparte
VII.,0.0,0.0,0.0,1.0,neutral,The Eighteenth Brumaire of Louis Bonaparte
"Translator's Preface ""The Eighteenth Brumaire of Louis Bonaparte"" is one of Karl Marx' most profound and most brilliant monographs.",0.624,0.185,0.0,0.815,positive,The Eighteenth Brumaire of Louis Bonaparte
"It may be considered the best work extant on the philosophy of history, with an eye especially upon the history of the Movement of the Proletariat, together with the bourgeois and other manifestations that accompany the same, and the tactics that such conditions dictate.",0.6369,0.089,0.0,0.911,positive,The Eighteenth Brumaire of Louis Bonaparte
"The recent populist uprising; the more recent ""Debs Movement""; the thousand and one utopian and chimerical notions that are flaring up; the capitalist maneuvers; the hopeless, helpless grasping after straws, that characterize the conduct of the bulk of the working class; all of these, together with the empty-headed, ominous figures that are springing into notoriety for a time and have their day, mark the present period of the Labor Movement in the nation a critical one.",-0.8658,0.0,0.133,0.867,negative,The Eighteenth Brumaire of Louis Bonaparte
"The best information acquirable, the best mental training obtainable are requisite to steer through the existing chaos that the death-tainted social system of today creates all around us.",0.7783,0.275,0.097,0.628,positive,The Eighteenth Brumaire of Louis Bonaparte
"To aid in this needed information and mental training, this instructive work is now made accessible to English readers, and is commended to the serious study of the serious.",0.3182,0.092,0.083,0.825,positive,The Eighteenth Brumaire of Louis Bonaparte
The teachings contained in this work are hung on an episode in recent French history.,0.0,0.0,0.0,1.0,neutral,The Eighteenth Brumaire of Louis Bonaparte
With some this fact may detract of its value.,0.34,0.231,0.0,0.769,positive,The Eighteenth Brumaire of Louis Bonaparte
"A pedantic, supercilious notion is extensively abroad among us that we are an ""Anglo Saxon"" nation; and an equally pedantic, supercilious habit causes many to look to England for inspiration, as from a racial birthplace.",0.5267,0.096,0.0,0.904,positive,The Eighteenth Brumaire of Louis Bonaparte
"Nevertheless, for weal or for woe, there is no such thing extant as ""Anglo-Saxon""--of all nations, said to be ""Anglo-Saxon,"" in the United States least.",-0.296,0.094,0.168,0.738,negative,The Eighteenth Brumaire of Louis Bonaparte
"What we still have from England, much as appearances may seem to point the other way, is not of our bone-and-marrow, so to speak, but rather partakes of the nature of ""importations.""",0.0,0.0,0.0,1.0,neutral,The Eighteenth Brumaire of Louis Bonaparte
We are no more English on account of them than we are Chinese because we all drink tea.,-0.296,0.0,0.115,0.885,negative,The Eighteenth Brumaire of Louis Bonaparte
"Of all European nations, France is the on to which we come nearest.",0.0,0.0,0.0,1.0,neutral,The Eighteenth Brumaire of Louis Bonaparte
"Besides its republican form of government--the directness of its history, the unity of its actions, the sharpness that marks its internal development, are all characteristics that find their parallel her best, and vice versa.",0.6369,0.113,0.0,0.887,positive,The Eighteenth Brumaire of Louis Bonaparte
"In all essentials the study of modern French history, particularly when sketched by such a master hand as Marx', is the most valuable one for the acquisition of that historic, social and biologic insight that our country stands particularly in need of, and that will be inestimable during the approaching critical days.",0.6478,0.116,0.04,0.844,positive,The Eighteenth Brumaire of Louis Bonaparte
