sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Twenty Thousand Leagues under the Sea This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.063,0.1,0.837,negative,Twenty Thousand Leagues under the Sea
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Twenty Thousand Leagues under the Sea
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Twenty Thousand Leagues under the Sea
"Title : Twenty Thousand Leagues under the Sea Author : Jules Verne Release date : September 1, 1994 [eBook #164] Most recently updated: March 18, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/164 Credits : a number of anonymous Gutenberg Project volunteers *** START OF THE PROJECT GUTENBERG EBOOK TWENTY THOUSAND LEAGUES UNDER THE SEA *** Twenty Thousand Leagues under the Sea by Jules Verne Contents PART I CHAPTER I A SHIFTING REEF CHAPTER II PRO AND CON CHAPTER III I FORM MY RESOLUTION CHAPTER IV NED LAND CHAPTER V AT A VENTURE CHAPTER VI AT FULL STEAM CHAPTER VII AN UNKNOWN SPECIES OF WHALE CHAPTER VIII MOBILIS IN MOBILI CHAPTER IX NED LAND'S TEMPERS CHAPTER X THE MAN OF THE SEAS CHAPTER XI ALL BY ELECTRICITY CHAPTER XII SOME FIGURES CHAPTER XIII THE BLACK RIVER CHAPTER XIV A NOTE OF INVITATION CHAPTER XV A WALK ON THE BOTTOM OF THE SEA CHAPTER XVI A SUBMARINE FOREST CHAPTER XVII FOUR THOUSAND LEAGUES UNDER THE PACIFIC CHAPTER XVIII VANIKORO CHAPTER XIX TORRES STRAITS CHAPTER XX A FEW DAYS ON LAND CHAPTER XXI CAPTAIN NEMO'S THUNDERBOLT CHAPTER XXII ""ÆGRI SOMNIA"" CHAPTER XXIII THE CORAL KINGDOM PART II CHAPTER I THE INDIAN OCEAN CHAPTER II A NOVEL PROPOSAL OF CAPTAIN NEMO'S CHAPTER III A PEARL OF TEN MILLIONS CHAPTER IV THE RED SEA CHAPTER V THE ARABIAN TUNNEL CHAPTER VI THE GRECIAN ARCHIPELAGO CHAPTER VII THE MEDITERRANEAN IN FORTY-EIGHT HOURS CHAPTER VIII VIGO BAY CHAPTER IX A VANISHED CONTINENT CHAPTER X THE SUBMARINE COAL-MINES CHAPTER XI THE SARGASSO SEA CHAPTER XII CACHALOTS AND WHALES CHAPTER XIII THE ICEBERG CHAPTER XIV THE SOUTH POLE CHAPTER XV ACCIDENT OR INCIDENT?",-0.2577,0.026,0.026,0.948,negative,Twenty Thousand Leagues under the Sea
CHAPTER XVI WANT OF AIR CHAPTER XVII FROM CAPE HORN TO THE AMAZON CHAPTER XVIII THE POULPS CHAPTER XIX THE GULF STREAM CHAPTER XX FROM LATITUDE 47° 24′ TO LONGITUDE 17° 28′ CHAPTER XXI A HECATOMB CHAPTER XXII THE LAST WORDS OF CAPTAIN NEMO CHAPTER XXIII CONCLUSION List of Illustrations An old grey-bearded gunner .,0.5371,0.081,0.0,0.919,positive,Twenty Thousand Leagues under the Sea
.,0.0,0.0,0.0,0.0,neutral,Twenty Thousand Leagues under the Sea
.,0.0,0.0,0.0,0.0,neutral,Twenty Thousand Leagues under the Sea
.,0.0,0.0,0.0,0.0,neutral,Twenty Thousand Leagues under the Sea
"Captain Nemo's state-room Captain Nemo took the Sun's altitude I was ready to set out Conseil seized his gun All fell on their knees in an attitude of prayer A terrible combat began ""A man!",-0.69,0.063,0.206,0.731,negative,Twenty Thousand Leagues under the Sea
"A shipwrecked sailor!""",0.0,0.0,0.0,1.0,neutral,Twenty Thousand Leagues under the Sea
