sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Flatland: A Romance of Many Dimensions This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.4588,0.14,0.096,0.764,positive,Flatland: A Romance of Many Dimensions
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Flatland: A Romance of Many Dimensions
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Flatland: A Romance of Many Dimensions
"Title : Flatland: A Romance of Many Dimensions Author : Edwin Abbott Abbott Release date : January 1, 1995 [eBook #201] Most recently updated: June 26, 2022 Language : English Other information and formats : www.gutenberg.org/ebooks/201 *** START OF THE PROJECT GUTENBERG EBOOK FLATLAND: A ROMANCE OF MANY DIMENSIONS *** Flatland: A Romance of Many Dimensions Edwin A. Abbott (1838-1926.",0.9106,0.191,0.0,0.809,positive,Flatland: A Romance of Many Dimensions
"English scholar, theologian, and writer.)",0.0,0.0,0.0,1.0,neutral,Flatland: A Romance of Many Dimensions
"With Illustrations by the Author, A SQUARE (Edwin A. Abbott) To The Inhabitants of SPACE IN GENERAL And H. C. IN PARTICULAR This Work is Dedicated By a Humble Native of Flatland In the Hope that Even as he was Initiated into the Mysteries Of THREE Dimensions Having been previously conversant With ONLY TWO So the Citizens of that Celestial Region May aspire yet higher and higher To the Secrets of FOUR FIVE OR EVEN SIX Dimensions Thereby contributing To the Enlargement of THE IMAGINATION And the possible Development Of that most rare and excellent Gift of MODESTY Among the Superior Races Of SOLID HUMANITY Preface to the Second and Revised Edition, 1884.",0.9558,0.15,0.0,0.85,positive,Flatland: A Romance of Many Dimensions
"By the Editor If my poor Flatland friend retained the vigour of mind which he enjoyed when he began to compose these Memoirs, I should not now need to represent him in this preface, in which he desires, firstly, to return his thanks to his readers and critics in Spaceland, whose appreciation has, with unexpected celerity, required a second edition of his work; secondly, to apologize for certain errors and misprints (for which, however, he is not entirely responsible); and, thirdly, to explain one or two misconceptions.",0.8591,0.19,0.076,0.733,positive,Flatland: A Romance of Many Dimensions
But he is not the Square he once was.,0.0,0.0,0.0,1.0,neutral,Flatland: A Romance of Many Dimensions
"Years of imprisonment, and the still heavier burden of general incredulity and mockery, have combined with the natural decay of old age to erase from his mind many of the thoughts and notions, and much also of the terminology, which he acquired during his short stay in Spaceland.",-0.6597,0.046,0.145,0.809,negative,Flatland: A Romance of Many Dimensions
"He has, therefore, requested me to reply in his behalf to two special objections, one of an intellectual, the other of a moral nature.",0.7184,0.222,0.0,0.778,positive,Flatland: A Romance of Many Dimensions
"The first objection is, that a Flatlander, seeing a Line, sees something that must be THICK to the eye as well as LONG to the eye (otherwise it would not be visible, if it had not some thickness); and consequently he ought (it is argued) to acknowledge that his countrymen are not only long and broad, but also (though doubtless in a very slight degree) THICK or HIGH.",0.4404,0.058,0.0,0.942,positive,Flatland: A Romance of Many Dimensions
"This objection is plausible, and, to Spacelanders, almost irresistible, so that, I confess, when I first heard it, I knew not what to reply.",0.2748,0.095,0.0,0.905,positive,Flatland: A Romance of Many Dimensions
But my poor old friend's answer appears to me completely to meet it.,-0.631,0.0,0.257,0.743,negative,Flatland: A Romance of Many Dimensions
