sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of At the Foot of the Rainbow This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.063,0.1,0.837,negative,At the Foot of the Rainbow
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,At the Foot of the Rainbow
"Title : At the Foot of the Rainbow Author : Gene Stratton-Porter Release date : May 1, 1996 [eBook #532] Most recently updated: January 1, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/532 *** START OF THE PROJECT GUTENBERG EBOOK AT THE FOOT OF THE RAINBOW *** At the Foot of the Rainbow by Gene Stratton-Porter ""And the bow shall be set in the cloud; and I will look upon it, that I may remember the everlasting covenant between God and every living creature of all flesh that is upon the earth.""",0.2732,0.024,0.0,0.976,positive,At the Foot of the Rainbow
"--GENESIS, ix-16.",0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
Contents I.,0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
THE RAT-CATCHERS OF THE WABASH II.,0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
RUBEN O'KHAYAM AND THE MILK PAIL III.,0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
THE FIFTY COONS OF THE CANOPER IV.,0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
WHEN THE KINGFISHER AND THE BLACK BASS CAME HOME V. WHEN THE RAINBOW SET ITS ARCH IN THE SKY VI.,0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
THE HEART OF MARY MALONE VII.,0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
THE APPLE OF DISCORD BECOMES A JOINTED ROD VIII.,-0.4019,0.0,0.278,0.722,negative,At the Foot of the Rainbow
WHEN THE BLACK BASS STRUCK IX.,-0.25,0.0,0.286,0.714,negative,At the Foot of the Rainbow
WHEN JIMMY MALONE CAME TO CONFESSION X. DANNIE'S RENUNCIATION XI.,0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
"THE POT OF GOLD GENE STRATTON-PORTER A LITTLE STORY OF HER LIFE AND WORK For several years Doubleday, Page & Company have been receiving repeated requests for information about the life and books of Gene Stratton-Porter.",0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
"Her fascinating nature work with bird, flower, and moth, and the natural wonders of the Limberlost Swamp, made famous as the scene of her nature romances, all have stirred much curiosity among readers everywhere.",0.8074,0.211,0.0,0.789,positive,At the Foot of the Rainbow
"Mrs. Porter did not possess what has been called ""an aptitude for personal publicity.""",0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
"Indeed, up to the present, she has discouraged quite successfully any attempt to stress the personal note.",-0.2516,0.152,0.239,0.609,negative,At the Foot of the Rainbow
"It is practically impossible, however, to do the kind of work she has done--to make genuine contributions to natural science by her wonderful field work among birds, insects, and flowers, and then, through her romances, to bring several hundred thousands of people to love and understand nature in a way they never did before--without arousing a legitimate interest in her own history, her ideals, her methods of work, and all that underlies the structure of her unusual achievement.",0.9477,0.2,0.0,0.8,positive,At the Foot of the Rainbow
Her publishers have felt the pressure of this growing interest and it was at their request that she furnished the data for a biographical sketch that was to be written of her.,0.3612,0.135,0.063,0.802,positive,At the Foot of the Rainbow
"But when this actually came to hand, the present compiler found that the author had told a story so much more interesting than anything he could write of her, that it became merely a question of how little need be added.",0.8653,0.19,0.0,0.81,positive,At the Foot of the Rainbow
The following pages are therefore adapted from what might be styled the personal record of Gene Stratton-Porter.,0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
This will account for the very intimate picture of family life in the Middle West for some years following the Civil War.,-0.5994,0.0,0.157,0.843,negative,At the Foot of the Rainbow
"Mark Stratton, the father of Gene Stratton-Porter, described his wife, at the time of their marriage, as a ""ninety-pound bit of pink porcelain, pink as a wild rose, plump as a partridge, having a big rope of bright brown hair, never ill a day in her life, and bearing the loveliest name ever given a woman--Mary.""",0.6407,0.098,0.0,0.902,positive,At the Foot of the Rainbow
"He further added that ""God fashioned her heart to be gracious, her body to be the mother of children, and as her especial gift of Grace, he put Flower Magic into her fingers.""",0.886,0.282,0.0,0.718,positive,At the Foot of the Rainbow
"Mary Stratton was the mother of twelve lusty babies, all of whom she reared past eight years of age, losing two a little over that, through an attack of scarlet fever with whooping cough; too ugly a combination for even such a wonderful mother as she.",-0.6486,0.072,0.174,0.754,negative,At the Foot of the Rainbow
"With this brood on her hands she found time to keep an immaculate house, to set a table renowned in her part of the state, to entertain with unfailing hospitality all who came to her door, to beautify her home with such means as she could command, to embroider and fashion clothing by hand for her children; but her great gift was conceded by all to be the making of things to grow.",0.9371,0.187,0.0,0.813,positive,At the Foot of the Rainbow
At that she was wonderful.,0.5719,0.481,0.0,0.519,positive,At the Foot of the Rainbow
She started dainty little vines and climbing plants from tiny seeds she found in rice and coffee.,0.0,0.0,0.0,1.0,neutral,At the Foot of the Rainbow
