sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The boy who couldn't fly This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,The boy who couldn't fly
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The boy who couldn't fly
"Title : The boy who couldn't fly Author : Charles Spain Verral Release date : March 8, 2026 [eBook #78136] Language : English Original publication : Chicago, IL: Ziff-Davis Publishing Company, 1938 Other information and formats : www.gutenberg.org/ebooks/78136 Credits : Prepared by volunteers at BookCove (bookcove.net) *** START OF THE PROJECT GUTENBERG EBOOK THE BOY WHO COULDN'T FLY *** Boys laughing at Dan pretending to fly Dan looked up to see the sneering faces of Frenchy Morenz and Jerry Blackwell.",0.8519,0.142,0.0,0.858,positive,The boy who couldn't fly
"THE BOY WHO COULDN'T FLY By Charles S. Verral ""She's a Ross Comet, Murph!""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Dan Sutherland said.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Look at that wing dihedral and that split undercarriage.""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
They stood at the top of Frazer's Hill and watched the red monoplane go swooping over the town of Newton in the valley below.,0.2023,0.073,0.0,0.927,positive,The boy who couldn't fly
The April afternoon sun was strong and Dan shaded his face.,0.5106,0.248,0.0,0.752,positive,The boy who couldn't fly
His blue eyes sharpened with excitement.,0.4939,0.39,0.0,0.61,positive,The boy who couldn't fly
Murph glanced uneasily at the intent face.,-0.34,0.0,0.286,0.714,negative,The boy who couldn't fly
"""They all look alike to me,"" he said, shortly.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Come on, Dan.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"I've got a tennis date.""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
But Dan stayed where he was.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Murph tried again.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Ah, let's go.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"That crate's beating it.""",-0.4588,0.0,0.5,0.5,negative,The boy who couldn't fly
The red plane wasn't.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"It had flown the length of the town and was now coming back, skimming low over Main Street.",-0.2732,0.0,0.11,0.89,negative,The boy who couldn't fly
"Dan caught his breath as the Comet roared over the white bank building, barely fifty feet above its roof.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""I'll bet your Dad's loving that,"" Murph said.",0.5994,0.358,0.0,0.642,positive,The boy who couldn't fly
Dan was thinking the same thing.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"He could visualize the effect the low flying was probably having on his father, the president of the bank.",-0.2732,0.0,0.104,0.896,negative,The boy who couldn't fly
His dad had no sympathy with aviation.,0.0772,0.258,0.227,0.515,positive,The boy who couldn't fly
It was the one thing Dan could never understand about him.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""You fly ?""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
his father had said the one time Dan spoke of it.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
There had been something like horror in his voice.,-0.296,0.189,0.28,0.53,negative,The boy who couldn't fly
"""No!",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"That's unthinkable, Daniel!""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"His father hadn't said why, but his eyes had dropped to Dan's crippled right leg encased in its steel brace.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
And to Dan that glance had been full of meaning.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"He'd wanted to cry out, ""You don't understand, Dad.",-0.4767,0.0,0.279,0.721,negative,The boy who couldn't fly
That's the very reason I want to fly.,0.1477,0.208,0.0,0.792,positive,The boy who couldn't fly
I haven't any freedom on the ground.,-0.5216,0.0,0.402,0.598,negative,The boy who couldn't fly
People feel sorry for me.,-0.0772,0.0,0.245,0.755,negative,The boy who couldn't fly
In a plane it'd be different.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"I'd be free as the wind.""",0.5106,0.398,0.0,0.602,positive,The boy who couldn't fly
"But, Dan had said nothing.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
And from then on he'd kept his increasing interest in flying hidden from his father.,0.4588,0.176,0.0,0.824,positive,The boy who couldn't fly
He knew he could never be a transport pilot.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
All he'd wanted was to hold an amateur license.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
And after that to enter aviation in some ground capacity where his crippled leg wouldn't be a handicap.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Dan had worn a brace on that leg as far back as he could remember.,-0.296,0.0,0.145,0.855,negative,The boy who couldn't fly
"His father had told him he'd been hurt in an accident when he was very small, an accident that had killed his mother.",-0.9337,0.0,0.426,0.574,negative,The boy who couldn't fly
But his dad wouldn't talk about it and no one in town volunteered information.,-0.4215,0.0,0.177,0.823,negative,The boy who couldn't fly
The accident had occurred before the Sutherlands had come to Newton.,-0.4767,0.0,0.237,0.763,negative,The boy who couldn't fly
"And now, as Dan gazed at the sleek monoplane scooting past the bank building he thought bitterly.",-0.4588,0.0,0.158,0.842,negative,The boy who couldn't fly
In two years he'd graduate from senior high and then take the position in the bank that his dad had arranged for.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
All his life would be spent in that white building.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
There'd be no red monoplane for him--ever.,-0.296,0.0,0.268,0.732,negative,The boy who couldn't fly
"Murph's voice cut in, ""Come on, come on,"" he said, gruffly.",-0.2732,0.0,0.174,0.826,negative,The boy who couldn't fly
"""What's biting you, Murph?""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Dan asked, his eyes never leaving the plane.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Look at that, will you!""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"The Comet had suddenly zoomed and was now racing up, the sun polishing its wings to glistening vermilion.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
The roar of its engine became a whine.,-0.3612,0.0,0.294,0.706,negative,The boy who couldn't fly
"Dan judged it had reached six thousand feet when the ship leveled, humped over and dived.",0.1027,0.085,0.0,0.915,positive,The boy who couldn't fly
"The wings flipped around slowly ... once, twice.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Now faster.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Holy smoke!""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Dan said.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""A spin.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Murph!,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
A spin!,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"He's aiming right at the school!""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"The Ross Comet came plummeting down, wings whipping.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Dan's long face whitened.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Maybe the pilot wasn't stunting.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
The ship had already dropped two thousand feet without straightening.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Maybe the pilot had lost control!,-0.3802,0.0,0.341,0.659,negative,The boy who couldn't fly
Color welled over Dan's high cheek bones.,0.1027,0.189,0.0,0.811,positive,The boy who couldn't fly
"""Get her out of it!""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
He wasn't conscious that he was shouting.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Jam the stick forward!",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Give her opposite rudder and aileron.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Hurry!""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"As if the pilot had heard his words, the Comet's wings straightened.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
The machine bulleted down in a power dive.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Then, the nose came up.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"The ship flattened and, with a bellow, careened away.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Dan blew out his breath.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
The guy was a swell pilot.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Whew!""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Murph gasped.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"The monoplane streaked across the residential section, climbing.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Dan saw it circle over the grounds of the Blackwell house.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Maybe he's a friend of Jerry's,"" Dan said.",0.4939,0.348,0.0,0.652,positive,The boy who couldn't fly
Jerry Blackwell had been away to flying school the previous summer and had come back flaunting an amateur license.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Naw,"" Murph said.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Jerry hasn't got a friend.""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"But, Dan thought, Jerry had plenty of friends even though he wasn't one of them.",0.631,0.229,0.0,0.771,positive,The boy who couldn't fly
Jerry was the school's star athlete; he owned a fast roadster; he had lots of money and.... A sudden thought flared across Dan's mind.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Jerry had boasted that his dad was going to buy him a plane.... Dan turned to Murph.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Could that be Jerry's plane?""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Murph's full-moon face flushed.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Well--yeah, that's right, Dan,"" he said.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""You knew it all the time?""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""I guess I did,"" Murph said miserably.",-0.4767,0.0,0.383,0.617,negative,The boy who couldn't fly
"""Jerry was spreading the word around after school that a Ross pilot was flying his crate down.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Jerry had him primed to put on that stunt, looks like.""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Dan said, ""Oh,"" and turned away.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""You could've told me, Murph.""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""I didn't because...."" Murph stumbled.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Ah, you know.""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Dan shoved back a shock of blond hair that had fallen over his face.,-0.6249,0.0,0.317,0.683,negative,The boy who couldn't fly
Distantly he realized that the Comet was now flying across the valley in the direction of the airport.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""It's going to land,"" Dan said.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""I'm going over.""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Aw, nuts,"" Murph said.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Don't do that.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"You and Jerry...."" He left the sentence hanging.",0.0772,0.157,0.0,0.843,positive,The boy who couldn't fly
"Dan said, ""I've got nothing against Jerry.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"And I want to see that plane.""",0.0772,0.206,0.0,0.794,positive,The boy who couldn't fly
Murph scowled.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""You got nothing against that guy?",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"How about your smashed model?""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Yes, how about it, Dan thought.",0.4019,0.351,0.0,0.649,positive,The boy who couldn't fly
That had been his first serious run-in with Jerry.,-0.0772,0.0,0.14,0.86,negative,The boy who couldn't fly
There'd been others since.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
But that first time ...,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
It'd happened last summer at a local gas model meet.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Dan had worked hard on his plane, had turned out a good job.",0.3612,0.203,0.098,0.699,positive,The boy who couldn't fly
"On its first timed run it had flown far across the airport, landing in tall grass.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Jerry Blackwell had gone in pursuit of the model in his yellow roadster.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"When he'd come back, he'd brought the smashed wreckage of the ship with him.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
He'd said that he'd found it cracked up.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
It'd been Murph who'd put the first doubt in Dan's mind.,-0.3612,0.0,0.2,0.8,negative,The boy who couldn't fly
"He'd pointed out the buckled fuselage and said, ""Jerry never found her like that.""",-0.2755,0.0,0.14,0.86,negative,The boy who couldn't fly
But there'd been no proof.,-0.4215,0.0,0.412,0.588,negative,The boy who couldn't fly
"And when Jerry's model had won the meet, his father had been so proud he'd given him a flying course.",0.8267,0.311,0.0,0.689,positive,The boy who couldn't fly
And now--a Ross Comet.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"No, Dan hadn't forgotten.",-0.1366,0.284,0.375,0.341,negative,The boy who couldn't fly
"But he turned to Murph and said, ""Maybe it was an accident.""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Nuts,"" Murph said.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Well, if you haven't anything against Jerry, he sure doesn't love you.""",-0.2658,0.147,0.215,0.638,negative,The boy who couldn't fly
"""Why?""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Dan asked.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
The question had bothered him for months.,-0.3182,0.0,0.277,0.723,negative,The boy who couldn't fly
"""For one thing you're too smart for him up here,"" Murph said, tapping his head.",0.4019,0.162,0.0,0.838,positive,The boy who couldn't fly
"""I know you don't mean it but you're always showing him up.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Not just in aviation but in everything.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
A grandstander like Jerry can't take it.,0.3612,0.333,0.0,0.667,positive,The boy who couldn't fly
"And...."" ""What?""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""Oh, nothing,"" Murph said.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"""But I wouldn't go down there, Dan.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Please.""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Dan stood with his legs spread far apart.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
He thrust his hands deep in the side pockets of his tan corduroy slacks.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Then he said, ""I'm not afraid of Jerry.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
And I want to see that plane.,0.0772,0.206,0.0,0.794,positive,The boy who couldn't fly
"I'm going to the airport.""",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Ten minutes later, Dan was far down the narrow road, out of earshot, of Murph's protests.",-0.2263,0.0,0.112,0.888,negative,The boy who couldn't fly
Dull anger had now replaced the thrill the first sight of the Comet had brought.,-0.5994,0.12,0.306,0.574,negative,The boy who couldn't fly
"That was envy, wasn't it?",-0.2732,0.0,0.344,0.656,negative,The boy who couldn't fly
"Envy for Jerry, for his amateur license, for his new plane.",-0.2732,0.0,0.174,0.826,negative,The boy who couldn't fly
"But Jerry really didn't care about aviation, Dan thought.",-0.594,0.0,0.325,0.675,negative,The boy who couldn't fly
He just saw it as another way to grandstand.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
While he....,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"The road, which curved through the rolling country like a care-free brook, was muddy from a recent rain.",0.3612,0.143,0.0,0.857,positive,The boy who couldn't fly
"Water stood in shimmering pools, reflecting the blue and cream of sky and clouds.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
The air was heavy with the full sweetness of April.,0.4939,0.262,0.0,0.738,positive,The boy who couldn't fly
But Dan didn't notice as he hurried awkwardly on.,-0.4497,0.0,0.269,0.731,negative,The boy who couldn't fly
He didn't see the gently flowing farmland lying in reddish brown molds from the steel of the plow.,-0.7077,0.0,0.269,0.731,negative,The boy who couldn't fly
He didn't recognize the cheerful hello of the meadow lark.,-0.431,0.0,0.241,0.759,negative,The boy who couldn't fly
Nor did he hear the car until its horn blasted out from behind.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Startled, he lurched to the side.",-0.1779,0.0,0.254,0.746,negative,The boy who couldn't fly
"The long yellow shape of a powerful roadster swooshed past, doing sixty.",0.4215,0.219,0.0,0.781,positive,The boy who couldn't fly
It was Jerry Blackwell's car.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Jerry was at the wheel and Frenchy Morenz, his sidekick, was with him.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"The car hurtled on its way, without slowing, without stopping.",-0.2331,0.0,0.268,0.732,negative,The boy who couldn't fly
"Jerry had seen him, all right.",0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
You'd think he'd stop and pick a guy up.,-0.296,0.0,0.239,0.761,negative,The boy who couldn't fly
But the roadster pelted over a rise in the road ahead and was gone.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"Dan stopped, shifting his weight to his good leg.",0.25,0.246,0.161,0.593,positive,The boy who couldn't fly
Maybe Murph was right.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Maybe he was just sticking out his neck.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
Maybe ...,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
But that was silly.,0.0387,0.277,0.0,0.723,neutral,The boy who couldn't fly
Why should he miss seeing a Ross Comet close up?,-0.1531,0.0,0.167,0.833,negative,The boy who couldn't fly
Jerry shouldn't mind that.,0.0,0.0,0.0,1.0,neutral,The boy who couldn't fly
"By the time Dan reached the rise in the road, he was tired.",-0.3612,0.092,0.19,0.719,negative,The boy who couldn't fly
"Far ahead, down in the lowland, he saw the air field.",-0.0258,0.0,0.099,0.901,neutral,The boy who couldn't fly
"Jerry's car was there, empty and the Ross Comet was racing across the airport and angling into the sky.",-0.2023,0.0,0.091,0.909,negative,The boy who couldn't fly
The distant drone of its engine was drowned by a clanking of machinery from back on the road.,-0.5994,0.0,0.196,0.804,negative,The boy who couldn't fly
