sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Cask of Amontillado This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.066,0.104,0.829,negative,The Cask of Amontillado
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Cask of Amontillado
"Title : The Cask of Amontillado Author : Edgar Allan Poe Release date : June 6, 2010 [eBook #1063] Most recently updated: December 6, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1063 Credits : Produced by Levent Kurnaz.",0.3612,0.07,0.0,0.93,positive,The Cask of Amontillado
HTML version by Al Haines.,0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"*** START OF THE PROJECT GUTENBERG EBOOK THE CASK OF AMONTILLADO *** The Cask of Amontillado by Edgar Allan Poe The thousand injuries of Fortunato I had borne as I best could, but when he ventured upon insult, I vowed revenge.",-0.8151,0.056,0.194,0.75,negative,The Cask of Amontillado
"You, who so well know the nature of my soul, will not suppose, however, that I gave utterance to a threat.",-0.1677,0.118,0.147,0.735,negative,The Cask of Amontillado
"At length I would be avenged; this was a point definitely settled--but the very definitiveness with which it was resolved, precluded the idea of risk.",0.3182,0.166,0.079,0.755,positive,The Cask of Amontillado
"I must not only punish, but punish with impunity.",0.6759,0.481,0.0,0.519,positive,The Cask of Amontillado
A wrong is unredressed when retribution overtakes its redresser.,-0.4767,0.0,0.307,0.693,negative,The Cask of Amontillado
It is equally unredressed when the avenger fails to make himself felt as such to him who has done the wrong.,-0.7096,0.0,0.237,0.763,negative,The Cask of Amontillado
It must be understood that neither by word nor deed had I given Fortunato cause to doubt my good will.,0.1027,0.129,0.112,0.759,positive,The Cask of Amontillado
"I continued, as was my wont, to smile in his face, and he did not perceive that my smile now was at the thought of his immolation.",-0.4973,0.0,0.15,0.85,negative,The Cask of Amontillado
He had a weak point--this Fortunato--although in other regards he was a man to be respected and even feared.,-0.4588,0.134,0.263,0.603,negative,The Cask of Amontillado
He prided himself on his connoisseurship in wine.,0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
Few Italians have the true virtuoso spirit.,0.7579,0.652,0.0,0.348,positive,The Cask of Amontillado
For the most part their enthusiasm is adopted to suit the time and opportunity--to practise imposture upon the British and Austrian millionaires .,0.4877,0.131,0.0,0.869,positive,The Cask of Amontillado
"In painting and gemmary, Fortunato, like his countrymen, was a quack--but in the matter of old wines he was sincere.",0.6486,0.283,0.0,0.717,positive,The Cask of Amontillado
"In this respect I did not differ from him materially: I was skillful in the Italian vintages myself, and bought largely whenever I could.",0.4767,0.134,0.0,0.866,positive,The Cask of Amontillado
"It was about dusk, one evening during the supreme madness of the carnival season, that I encountered my friend.",0.5994,0.275,0.117,0.607,positive,The Cask of Amontillado
"He accosted me with excessive warmth, for he had been drinking much.",0.4588,0.214,0.0,0.786,positive,The Cask of Amontillado
The man wore motley.,0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"He had on a tight-fitting parti-striped dress, and his head was surmounted by the conical cap and bells.",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"I was so pleased to see him, that I thought I should never have done wringing his hand.",0.7501,0.33,0.0,0.67,positive,The Cask of Amontillado
"I said to him--""My dear Fortunato, you are luckily met.",0.7096,0.457,0.0,0.543,positive,The Cask of Amontillado
How remarkably well you are looking to-day!,0.3989,0.309,0.0,0.691,positive,The Cask of Amontillado
"But I have received a pipe of what passes for Amontillado, and I have my doubts.""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""How?""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
said he.,0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""Amontillado?",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
A pipe?,0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
Impossible!,0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"And in the middle of the carnival!""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""I have my doubts,"" I replied; ""and I was silly enough to pay the full Amontillado price without consulting you in the matter.",-0.0516,0.102,0.065,0.833,negative,The Cask of Amontillado
"You were not to be found, and I was fearful of losing a bargain.""",-0.7003,0.0,0.367,0.633,negative,The Cask of Amontillado
"""Amontillado!""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""I have my doubts.""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""Amontillado!""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""And I must satisfy them.""",0.4588,0.5,0.0,0.5,positive,The Cask of Amontillado
"""Amontillado!""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""As you are engaged, I am on my way to Luchesi.",0.4019,0.231,0.0,0.769,positive,The Cask of Amontillado
"If any one has a critical turn, it is he.",-0.3182,0.0,0.223,0.777,negative,The Cask of Amontillado
"He will tell me--"" ""Luchesi cannot tell Amontillado from Sherry.""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""And yet some fools will have it that his taste is a match for your own.""",-0.4939,0.0,0.186,0.814,negative,The Cask of Amontillado
"""Come, let us go.""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""Whither?""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""To your vaults.""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""My friend, no; I will not impose upon your good nature.",0.6992,0.493,0.136,0.371,positive,The Cask of Amontillado
I perceive you have an engagement.,0.4588,0.429,0.0,0.571,positive,The Cask of Amontillado
"Luchesi--"" ""I have no engagement;--come.""",-0.296,0.0,0.355,0.645,negative,The Cask of Amontillado
"""My friend, no.",0.25,0.5,0.344,0.156,positive,The Cask of Amontillado
"It is not the engagement, but the severe cold with which I perceive you are afflicted.",-0.8121,0.0,0.411,0.589,negative,The Cask of Amontillado
The vaults are insufferably damp.,0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"They are encrusted with nitre.""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"""Let us go, nevertheless.",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
The cold is merely nothing.,0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
Amontillado!,0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
You have been imposed upon.,-0.0772,0.0,0.245,0.755,negative,The Cask of Amontillado
"And as for Luchesi, he cannot distinguish Sherry from Amontillado.""",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"Thus speaking, Fortunato possessed himself of my arm.",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"Putting on a mask of black silk, and drawing a roquelaire closely about my person, I suffered him to hurry me to my palazzo.",-0.4939,0.0,0.138,0.862,negative,The Cask of Amontillado
There were no attendants at home; they had absconded to make merry in honour of the time.,0.7184,0.308,0.094,0.598,positive,The Cask of Amontillado
"I had told them that I should not return until the morning, and had given them explicit orders not to stir from the house.",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"These orders were sufficient, I well knew, to insure their immediate disappearance, one and all, as soon as my back was turned.",0.2732,0.095,0.0,0.905,positive,The Cask of Amontillado
"I took from their sconces two flambeaux, and giving one to Fortunato, bowed him through several suites of rooms to the archway that led into the vaults.",0.34,0.088,0.0,0.912,positive,The Cask of Amontillado
"I passed down a long and winding staircase, requesting him to be cautious as he followed.",-0.1027,0.0,0.097,0.903,negative,The Cask of Amontillado
"We came at length to the foot of the descent, and stood together on the damp ground of the catacombs of the Montresors.",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
"The gait of my friend was unsteady, and the bells upon his cap jingled as he strode.",0.4939,0.167,0.0,0.833,positive,The Cask of Amontillado
"""The pipe,"" said he.",0.0,0.0,0.0,1.0,neutral,The Cask of Amontillado
