sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The silent places This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.068,0.107,0.825,negative,The silent places
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The silent places
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The silent places
"Title : The silent places Author : Stewart Edward White Illustrator : Philip R. Goodwin Release date : February 7, 2005 [eBook #14960] Most recently updated: December 19, 2020 Language : English Other information and formats : www.gutenberg.org/ebooks/14960 Credits : Produced by Rick Niles, Charlie Kirschner and the PG Online Distributed Proofreading Team.",0.3612,0.053,0.0,0.947,positive,The silent places
"*** START OF THE PROJECT GUTENBERG EBOOK THE SILENT PLACES *** The woodsmen, with a simultaneous movement, raised their rifles [Page 208] THE SILENT PLACES BY STEWART EDWARD WHITE Illustrated by Philip R. Goodwin NEW YORK McCLURE, PHILLIPS & CO. MCMIV Published, April, 1904 To My Mother CHAPTER ONE CHAPTER TWO CHAPTER THREE CHAPTER FOUR CHAPTER FIVE CHAPTER SIX CHAPTER SEVEN CHAPTER EIGHT CHAPTER NINE CHAPTER TEN CHAPTER ELEVEN CHAPTER TWELVE CHAPTER THIRTEEN CHAPTER FOURTEEN CHAPTER FIFTEEN CHAPTER SIXTEEN CHAPTER SEVENTEEN CHAPTER EIGHTEEN CHAPTER NINETEEN CHAPTER TWENTY CHAPTER TWENTY-ONE CHAPTER TWENTY-TWO CHAPTER TWENTY-THREE CHAPTER TWENTY-FOUR CHAPTER TWENTY-FIVE CHAPTER TWENTY-SIX CHAPTER TWENTY-SEVEN CHAPTER TWENTY-EIGHT CHAPTER TWENTY-NINE CHAPTER THIRTY CHAPTER THIRTY-ONE CHAPTER THIRTY-TWO LIST OF ILLUSTRATIONS The woodsmen, with a simultaneous movement, raised their rifles Frontispiece The child uttered a sharp cry of fright 26 ""Pretty enough to kiss!""",-0.4199,0.023,0.043,0.934,negative,The silent places
"cried Dick 66 ""Listen, Little Sister,"" said he.",-0.7096,0.0,0.496,0.504,negative,The silent places
"""Now I go on a long journey"" 148 Dick jumped forward and snatched aside the opening into the wigwam 228 The hound sniffed deep, filling his nostrils with the feather snow 258 ""Stop!""",-0.5562,0.0,0.107,0.893,negative,The silent places
"he commanded, his voice croaking harsh across the stillness 294 THE SILENT PLACES CHAPTER ONE At about eight o'clock one evening of the early summer a group of men were seated on a grass-plot overlooking a broad river.",-0.4404,0.0,0.079,0.921,negative,The silent places
The sun was just setting through the forest fringe directly behind them.,0.0,0.0,0.0,1.0,neutral,The silent places
"Of this group some reclined in the short grass, others lay flat on the bank's slope, while still others leaned against the carriages of two highly ornamented field-guns, whose embossed muzzles gaped silently at an eastern shore nearly two miles distant.",0.0,0.0,0.0,1.0,neutral,The silent places
"The men were busy with soft-voiced talk, punctuating their remarks with low laughter of a singularly infectious character.",0.2732,0.158,0.103,0.739,positive,The silent places
"It was strange speech, richly embroidered with the musical names of places, with unfamiliar names of beasts, and with unintelligible names of things.",0.2732,0.113,0.07,0.817,positive,The silent places
"Kenógami, Mamátawan, Wenebógan, Kapúskasíng, the silver-fox, the sea-otter, the sable, the wolverine, the musk-ox, parka, babiche, tump-line, giddés,--these and others sang like arrows cleaving the atmosphere of commoner words.",0.3612,0.082,0.0,0.918,positive,The silent places
In the distant woods the white-throats and olive thrushes called in a language hardly less intelligible.,0.2092,0.116,0.0,0.884,positive,The silent places
"There scarcely needed the row of glistening birch-barks below the men, the warehouse with its picketed lane, the tall flag-staff, the block-house stockade, the half-bred women chatting over the low fences of the log-houses, the squaws wandering to and fro in picturesque silence, the Indian children playing noisily or standing in awe before the veranda of the white house, to inform the initiated that this little forest- and river-girt settlement was a post of the Honourable the Hudson's Bay Company.",0.6597,0.089,0.025,0.887,positive,The silent places
The time of sunset and the direction of the river's flow would have indicated a high latitude.,0.0,0.0,0.0,1.0,neutral,The silent places
"The mile-long meadow, with its Indian camp, the oval of forest, the immense breadth of the river identified the place as Conjuror's House.",0.0,0.0,0.0,1.0,neutral,The silent places
"Thus the blue water in the distance was James Bay, the river was the Moose; enjoying his Manila cheroot on the Factory veranda with the other officers of the Company was Galen Albret, and these men lounging on the river bank were the Company's post-keepers and runners, the travellers of the Silent Places.",0.5267,0.061,0.0,0.939,positive,The silent places
They were of every age and dressed in a variety of styles.,0.0,0.0,0.0,1.0,neutral,The silent places
"All wore ornamented moccasins, bead garters, and red sashes of worsted.",0.0,0.0,0.0,1.0,neutral,The silent places
"As to the rest, each followed his taste.",0.0,0.0,0.0,1.0,neutral,The silent places
"So in the group could be seen bare heads, fillet-bound heads, covered heads; shirt sleeves, woollen jerseys, and long, beautiful blanket coats.",0.5994,0.157,0.0,0.843,positive,The silent places
"Two things, however, proved them akin.",0.0,0.0,0.0,1.0,neutral,The silent places
"They all possessed a lean, wiry hardness of muscle and frame, a hawk-like glance of the eye, an almost emaciated spareness of flesh on the cheeks.",0.0,0.0,0.0,1.0,neutral,The silent places
They all smoked pipes of strong plug tobacco.,0.5106,0.32,0.0,0.68,positive,The silent places
"Whether the bronze of their faces, thrown into relief by the evening glow, the frowning steadiness of their eyes, or more fancifully the background of the guns, the flag-staff and the stockade was most responsible, the militant impression persisted strongly.",0.7425,0.206,0.051,0.743,positive,The silent places
These were the veterans of an hundred battles.,-0.3818,0.0,0.271,0.729,negative,The silent places
They were of the stuff forlorn hopes are fashioned from.,0.4215,0.237,0.0,0.763,positive,The silent places
"A great enemy, a powerful enemy, an enemy to be respected and feared had hardened them to the unyielding.",-0.5719,0.297,0.407,0.297,negative,The silent places
"The adversary could almost be measured, the bitterness of the struggle almost be gauged from the scars of their spirits; the harshness of it, the cruelty of it, the wonderful immensity of it that should so fashion the souls and flesh of men.",-0.7184,0.071,0.204,0.725,negative,The silent places
For to the bearing of these loungers clung that hint of greater things which is never lacking to those who have called the deeps of man's nature to the conquering.,0.3612,0.079,0.0,0.921,positive,The silent places
"The sun dipped to the horizon, and over the landscape slipped the beautiful north-country haze of crimson.",0.5994,0.196,0.0,0.804,positive,The silent places
From the distant forest sounded a single mournful wolf-howl.,-0.3818,0.0,0.271,0.729,negative,The silent places
At once the sledge-dogs answered in chorus.,0.0,0.0,0.0,1.0,neutral,The silent places
The twilight descended.,0.0,0.0,0.0,1.0,neutral,The silent places
"The men gradually fell silent, smoking their pipes, savouring the sharp snow-tang, grateful to their toughened senses, that still lingered in the air.",0.4767,0.163,0.0,0.837,positive,The silent places
"Suddenly out of the dimness loomed the tall form of an Indian, advancing with long, straight strides.",-0.0516,0.1,0.111,0.789,negative,The silent places
In a moment he was among them responding composedly to their greetings.,0.4215,0.219,0.0,0.781,positive,The silent places
"""Bo' jou', bo' jou', Me-en-gen,"" said they.",0.0,0.0,0.0,1.0,neutral,The silent places
"""Bo' jou', bo' jou',"" said he.",0.0,0.0,0.0,1.0,neutral,The silent places
He touched two of the men lightly on the shoulder.,0.0,0.0,0.0,1.0,neutral,The silent places
"They arose, for they knew him as the bowsman of the Factor's canoe, and so understood that Galen Albret desired their presence.",0.2732,0.091,0.0,0.909,positive,The silent places
"Me-en-gen led the way in silence, across the grass-plot, past the flag-staff, to the foot of the steps leading to the Factory veranda.",0.0,0.0,0.0,1.0,neutral,The silent places
There the Indian left them.,0.0,0.0,0.0,1.0,neutral,The silent places
They mounted the steps.,0.0,0.0,0.0,1.0,neutral,The silent places
A voice halted them in the square of light cast through an intervening room from a lighted inner apartment.,0.0,0.0,0.0,1.0,neutral,The silent places
"The veranda was wide and low; railed in; and, except for the square of light, cast in dimness.",-0.2732,0.0,0.11,0.89,negative,The silent places
"A dozen men sat in chairs, smoking.",0.0,0.0,0.0,1.0,neutral,The silent places
Across the shaft of light the smoke eddied strangely.,-0.296,0.0,0.216,0.784,negative,The silent places
A woman's voice accompanied softly the tinkle of a piano inside.,0.0,0.0,0.0,1.0,neutral,The silent places
"The sounds, like the lamplight, were softened by the distance of the intervening room.",0.3612,0.161,0.0,0.839,positive,The silent places
Of the men on the veranda Galen Albret's identity alone was evident.,-0.25,0.0,0.154,0.846,negative,The silent places
"Grim, four-square, inert, his very way of sitting his chair, as though it were a seat of judgment and he the interpreter of some fierce blood-law, betrayed him.",-0.8271,0.0,0.235,0.765,negative,The silent places
From under the bushy white tufts of his eyebrows the woodsmen felt the search of his inspection.,0.0,0.0,0.0,1.0,neutral,The silent places
Unconsciously they squared their shoulders.,0.0,0.0,0.0,1.0,neutral,The silent places
"The older had some fifty-five or sixty years, though his frame was still straight and athletic.",0.2263,0.112,0.0,0.888,positive,The silent places
"A narrow-brimmed slouch hat shadowed quiet, gray eyes, a hawk nose, a long sweeping white mustache.",0.0,0.0,0.0,1.0,neutral,The silent places
"His hands were tanned to a hard mahogany-brown carved into veins, cords, and gnarled joints.",-0.1027,0.0,0.097,0.903,negative,The silent places
"He had kindly humour in the wrinkles of his eyes, the slowly developed imagination of the forest-dweller in the deliberation of their gaze, and an evident hard and wiry endurance.",0.7096,0.182,0.04,0.778,positive,The silent places
"His dress, from the rough pea-jacket to the unornamented moccasins, was severely plain.",-0.4588,0.0,0.2,0.8,negative,The silent places
"His companion was hardly more than a boy in years, though more than a man in physical development.",0.0,0.0,0.0,1.0,neutral,The silent places
In every respect he seemed to be especially adapted to the rigours of northern life.,0.4767,0.181,0.0,0.819,positive,The silent places
"The broad arch of his chest, the plump smoothness of his muscles, above all, the full roundness of his throat indicated that warmth-giving blood, and plenty of it, would be pumped generously to every part of his body.",0.4215,0.07,0.0,0.93,positive,The silent places
"His face from any point of view but one revealed a handsome, jaunty boy, whose beard was still a shade.",0.7964,0.307,0.0,0.693,positive,The silent places
"But when he looked at one directly, the immaturity fell away.",0.0,0.0,0.0,1.0,neutral,The silent places
"This might have been because of a certain confidence of experience beyond what most boys of twenty can know, or it might have been the result merely of a physical peculiarity.",0.7184,0.212,0.0,0.788,positive,The silent places
"For his eyes were so extraordinarily close together that they seemed by their very proximity to pinch the bridge of his nose, and in addition, they possessed a queer slant or cast which twinkled perpetually now in one, now in the other.",0.0,0.0,0.0,1.0,neutral,The silent places
It invested him at once with an air singularly remote and singularly determined.,0.34,0.167,0.0,0.833,positive,The silent places
"But at once when he looked away the old boyishness returned, enhanced further by a certain youthful barbarity in the details of his dress--a slanted heron's feather in his hat, a beaded knife-sheath, an excess of ornamentation on his garters and moccasins, and the like.",0.8338,0.181,0.0,0.819,positive,The silent places
In a moment one of the men on the veranda began to talk.,0.0,0.0,0.0,1.0,neutral,The silent places
"It was not Galen Albret, though Galen Albret had summoned them, but MacDonald, his Chief Trader and his right-hand man.",0.0,0.0,0.0,1.0,neutral,The silent places
"Galen Albret himself made no sign, but sat, his head sunk forward, watching the men's faces from his cavernous eyes.",-0.1531,0.0,0.078,0.922,negative,The silent places
"""You have been called for especial duty,"" began MacDonald, shortly.",0.0,0.0,0.0,1.0,neutral,The silent places
"""It is volunteer duty, and you need not go unless you want to.",0.0772,0.098,0.0,0.902,positive,The silent places
We have called you because you have the reputation of never having failed.,0.4023,0.184,0.0,0.816,positive,The silent places
"That is not much for you, Herron, because you are young.",0.0,0.0,0.0,1.0,neutral,The silent places
Still we believe in you.,0.0,0.0,0.0,1.0,neutral,The silent places
