sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Up from Slavery: An Autobiography This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.7506,0.06,0.196,0.745,negative,Up from Slavery: An Autobiography
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Up from Slavery: An Autobiography
"Title : Up from Slavery: An Autobiography Author : Booker T. Washington Release date : October 1, 2000 [eBook #2376] Most recently updated: September 9, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/2376 Credits : Internet Wiretap, An Anonymous Project Gutenberg Volunteer, Dan Muller, and David Widger *** START OF THE PROJECT GUTENBERG EBOOK UP FROM SLAVERY: AN AUTOBIOGRAPHY *** UP FROM SLAVERY: AN AUTOBIOGRAPHY By Booker T. Washington This volume is dedicated to my Wife MRS. MARGARET JAMES WASHINGTON And to my Brother MR. JOHN H. WASHINGTON Whose patience, fidelity, and hard work have gone far to make the work at Tuskegee successful.",-0.874,0.078,0.144,0.778,negative,Up from Slavery: An Autobiography
CONTENTS Preface Introduction UP FROM SLAVERY Chapter I.,-0.7603,0.0,0.441,0.559,negative,Up from Slavery: An Autobiography
A Slave Among Slaves Chapter II.,0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
Boyhood Days Chapter III.,0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
The Struggle For An Education Chapter IV.,-0.3182,0.0,0.277,0.723,negative,Up from Slavery: An Autobiography
Helping Others Chapter V. The Reconstruction Period Chapter VI.,0.296,0.216,0.0,0.784,positive,Up from Slavery: An Autobiography
Black Race And Red Race Chapter VII.,0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
Early Days At Tuskegee Chapter VIII.,0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
Teaching School In A Stable And A Hen-House Chapter IX.,0.296,0.239,0.0,0.761,positive,Up from Slavery: An Autobiography
Anxious Days And Sleepless Nights Chapter X.,-0.25,0.0,0.25,0.75,negative,Up from Slavery: An Autobiography
A Harder Task Than Making Bricks Without Straw Chapter XI.,0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
Making Their Beds Before They Could Lie On Them Chapter XII.,0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
Raising Money Chapter XIII.,0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
Two Thousand Miles For A Five-Minute Speech Chapter XIV.,0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
The Atlanta Exposition Address Chapter XV.,0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
The Secret Of Success In Public Speaking Chapter XVI.,0.5719,0.316,0.0,0.684,positive,Up from Slavery: An Autobiography
Europe Chapter XVII.,0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
"Last Words Preface This volume is the outgrowth of a series of articles, dealing with incidents in my life, which were published consecutively in the Outlook.",0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
"While they were appearing in that magazine I was constantly surprised at the number of requests which came to me from all parts of the country, asking that the articles be permanently preserved in book form.",0.296,0.088,0.0,0.912,positive,Up from Slavery: An Autobiography
I am most grateful to the Outlook for permission to gratify these requests.,0.6801,0.359,0.0,0.641,positive,Up from Slavery: An Autobiography
"I have tried to tell a simple, straightforward story, with no attempt at embellishment.",-0.296,0.0,0.167,0.833,negative,Up from Slavery: An Autobiography
My regret is that what I have attempted to do has been done so imperfectly.,-0.4215,0.0,0.177,0.823,negative,Up from Slavery: An Autobiography
"The greater part of my time and strength is required for the executive work connected with the Tuskegee Normal and Industrial Institute, and in securing the money necessary for the support of the institution.",0.8658,0.263,0.0,0.737,positive,Up from Slavery: An Autobiography
"Much of what I have said has been written on board trains, or at hotels or railroad stations while I have been waiting for trains, or during the moments that I could spare from my work while at Tuskegee.",0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
Without the painstaking and generous assistance of Mr. Max Bennett Thrasher I could not have succeeded in any satisfactory degree.,0.5374,0.24,0.097,0.663,positive,Up from Slavery: An Autobiography
"Introduction The details of Mr. Washington's early life, as frankly set down in ""Up from Slavery,"" do not give quite a whole view of his education.",0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
"He had the training that a coloured youth receives at Hampton, which, indeed, the autobiography does explain.",0.0,0.0,0.0,1.0,neutral,Up from Slavery: An Autobiography
