sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Adventures of Sherlock Holmes This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.2023,0.117,0.099,0.785,positive,The Adventures of Sherlock Holmes
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Adventures of Sherlock Holmes
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Adventures of Sherlock Holmes
"Title : The Adventures of Sherlock Holmes Author : Arthur Conan Doyle Release date : March 1, 1999 [eBook #1661] Most recently updated: October 10, 2023 Language : English Other information and formats : www.gutenberg.org/ebooks/1661 Credits : an anonymous Project Gutenberg volunteer and Jose Menendez *** START OF THE PROJECT GUTENBERG EBOOK THE ADVENTURES OF SHERLOCK HOLMES *** THERE IS AN ILLUSTRATED EDITION OF THIS TITLE WHICH MAY VIEWED AT EBOOK [ #48320 ] The Adventures of Sherlock Holmes by Arthur Conan Doyle Contents I.",0.8567,0.125,0.0,0.875,positive,The Adventures of Sherlock Holmes
A Scandal in Bohemia II.,-0.4404,0.0,0.492,0.508,negative,The Adventures of Sherlock Holmes
The Red-Headed League III.,0.0,0.0,0.0,1.0,neutral,The Adventures of Sherlock Holmes
A Case of Identity IV.,0.0,0.0,0.0,1.0,neutral,The Adventures of Sherlock Holmes
The Boscombe Valley Mystery V. The Five Orange Pips VI.,0.0,0.0,0.0,1.0,neutral,The Adventures of Sherlock Holmes
The Man with the Twisted Lip VII.,0.0,0.0,0.0,1.0,neutral,The Adventures of Sherlock Holmes
The Adventure of the Blue Carbuncle VIII.,0.3182,0.277,0.0,0.723,positive,The Adventures of Sherlock Holmes
The Adventure of the Speckled Band IX.,0.3182,0.277,0.0,0.723,positive,The Adventures of Sherlock Holmes
The Adventure of the Engineer's Thumb X.,0.3182,0.277,0.0,0.723,positive,The Adventures of Sherlock Holmes
The Adventure of the Noble Bachelor XI.,0.6486,0.515,0.0,0.485,positive,The Adventures of Sherlock Holmes
The Adventure of the Beryl Coronet XII.,0.3182,0.277,0.0,0.723,positive,The Adventures of Sherlock Holmes
The Adventure of the Copper Beeches I.,0.3182,0.277,0.0,0.723,positive,The Adventures of Sherlock Holmes
A SCANDAL IN BOHEMIA I. T o Sherlock Holmes she is always the woman.,-0.5622,0.0,0.266,0.734,negative,The Adventures of Sherlock Holmes
I have seldom heard him mention her under any other name.,0.0,0.0,0.0,1.0,neutral,The Adventures of Sherlock Holmes
In his eyes she eclipses and predominates the whole of her sex.,0.0,0.0,0.0,1.0,neutral,The Adventures of Sherlock Holmes
It was not that he felt any emotion akin to love for Irene Adler.,0.6369,0.244,0.0,0.756,positive,The Adventures of Sherlock Holmes
"All emotions, and that one particularly, were abhorrent to his cold, precise but admirably balanced mind.",0.4697,0.222,0.125,0.653,positive,The Adventures of Sherlock Holmes
"He was, I take it, the most perfect reasoning and observing machine that the world has seen, but as a lover he would have placed himself in a false position.",0.827,0.235,0.0,0.765,positive,The Adventures of Sherlock Holmes
"He never spoke of the softer passions, save with a gibe and a sneer.",0.7506,0.39,0.0,0.61,positive,The Adventures of Sherlock Holmes
They were admirable things for the observer--excellent for drawing the veil from men's motives and actions.,0.5574,0.194,0.0,0.806,positive,The Adventures of Sherlock Holmes
But for the trained reasoner to admit such intrusions into his own delicate and finely adjusted temperament was to introduce a distracting factor which might throw a doubt upon all his mental results.,-0.5499,0.096,0.166,0.739,negative,The Adventures of Sherlock Holmes
"Grit in a sensitive instrument, or a crack in one of his own high-power lenses, would not be more disturbing than a strong emotion in a nature such as his.",0.7567,0.213,0.0,0.787,positive,The Adventures of Sherlock Holmes
"And yet there was but one woman to him, and that woman was the late Irene Adler, of dubious and questionable memory.",-0.7227,0.0,0.232,0.768,negative,The Adventures of Sherlock Holmes
I had seen little of Holmes lately.,0.0,0.0,0.0,1.0,neutral,The Adventures of Sherlock Holmes
My marriage had drifted us away from each other.,0.0,0.0,0.0,1.0,neutral,The Adventures of Sherlock Holmes
"My own complete happiness, and the home-centred interests which rise up around the man who first finds himself master of his own establishment, were sufficient to absorb all my attention, while Holmes, who loathed every form of society with his whole Bohemian soul, remained in our lodgings in Baker Street, buried among his old books, and alternating from week to week between cocaine and ambition, the drowsiness of the drug, and the fierce energy of his own keen nature.",0.7269,0.117,0.036,0.848,positive,The Adventures of Sherlock Holmes
"He was still, as ever, deeply attracted by the study of crime, and occupied his immense faculties and extraordinary powers of observation in following out those clues, and clearing up those mysteries which had been abandoned as hopeless by the official police.",-0.7512,0.061,0.188,0.751,negative,The Adventures of Sherlock Holmes
"From time to time I heard some vague account of his doings: of his summons to Odessa in the case of the Trepoff murder, of his clearing up of the singular tragedy of the Atkinson brothers at Trincomalee, and finally of the mission which he had accomplished so delicately and successfully for the reigning family of Holland.",-0.3653,0.129,0.151,0.72,negative,The Adventures of Sherlock Holmes
