sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Scaramouche: A Romance of the French Revolution This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.4588,0.137,0.094,0.769,positive,Scaramouche: A Romance of the French Revolution
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Scaramouche: A Romance of the French Revolution
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Scaramouche: A Romance of the French Revolution
"Title : Scaramouche: A Romance of the French Revolution Author : Rafael Sabatini Release date : November 1, 1999 [eBook #1947] Most recently updated: February 26, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/1947 Credits : Produced by An Anonymous Project Gutenberg Volunteer, and David Widger *** START OF THE PROJECT GUTENBERG EBOOK SCARAMOUCHE: A ROMANCE OF THE FRENCH REVOLUTION *** SCARAMOUCHE A ROMANCE OF THE FRENCH REVOLUTION By Rafael Sabatini CONTENTS SCARAMOUCHE BOOK I.",0.941,0.187,0.0,0.813,positive,Scaramouche: A Romance of the French Revolution
CHAPTER I.,0.0,0.0,0.0,1.0,neutral,Scaramouche: A Romance of the French Revolution
THE REPUBLICAN CHAPTER II.,0.0,0.0,0.0,1.0,neutral,Scaramouche: A Romance of the French Revolution
THE ARISTOCRAT CHAPTER III.,0.0,0.0,0.0,1.0,neutral,Scaramouche: A Romance of the French Revolution
THE ELOQUENCE OF M. DE VILMORIN CHAPTER IV.,0.0,0.0,0.0,1.0,neutral,Scaramouche: A Romance of the French Revolution
THE HERITAGE CHAPTER V. THE LORD OF GAVRILLAC CHAPTER VI.,0.0,0.0,0.0,1.0,neutral,Scaramouche: A Romance of the French Revolution
THE WINDMILL CHAPTER VII.,0.0,0.0,0.0,1.0,neutral,Scaramouche: A Romance of the French Revolution
THE WIND CHAPTER VIII.,0.0,0.0,0.0,1.0,neutral,Scaramouche: A Romance of the French Revolution
