sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of A Shropshire Lad This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.07,0.109,0.821,negative,A Shropshire Lad
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,A Shropshire Lad
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,A Shropshire Lad
"Title : A Shropshire Lad Author : A. E. Housman Release date : May 1, 2004 [eBook #5720] Most recently updated: February 5, 2013 Language : English Other information and formats : www.gutenberg.org/ebooks/5720 Credits : Produced by Albert Imrie, and David Widger *** START OF THE PROJECT GUTENBERG EBOOK A SHROPSHIRE LAD *** A SHROPSHIRE LAD By A. E. Housman Introduction by William Stanley Braithwaite 1919 INTRODUCTION A SHROPSHIRE LAD INTRODUCTION The method of the poems in A Shropshire Lad illustrates better than any theory how poetry may assume the attire of reality, and yet in speech of the simplest, become in spirit the sheer quality of loveliness.",0.7269,0.07,0.0,0.93,positive,A Shropshire Lad
"For, in these unobtrusive pages, there is nothing shunned which makes the spectacle of life parade its dark and painful, its ironic and cynical burdens, as well as those images with happy and exquisite aspects.",-0.4019,0.131,0.214,0.655,negative,A Shropshire Lad
"With a broader and deeper background of experience and environment, which by some divine special privilege belongs to the poetic imagination, it is easier to set apart and contrast these opposing words and sympathies in a poet; but here we find them evoked in a restricted locale- an English county-where the rich, cool tranquil landscape gives a solid texture to the human show.",0.9091,0.261,0.047,0.692,positive,A Shropshire Lad
"What, I think, impresses one, thrills, like ecstatic, half-smothered strains of music, floating from unperceived instruments, in Mr. Housman's poems, is the encounter his spirit constantly endures with life.",0.872,0.351,0.059,0.59,positive,A Shropshire Lad
"It is, this encounter, what you feel in the Greeks, and as in the Greeks, it is a spiritual waging of miraculous forces.",0.0,0.0,0.0,1.0,neutral,A Shropshire Lad
"There is, too, in Mr. Housman's poems, the singularly Grecian Quality of a clean and fragrant mental and emotional temper, vibrating equally whether the theme dealt with is ruin or defeat, or some great tragic crisis of spirit, or with moods and ardours of pure enjoyment and simplicities of feeling.",-0.5423,0.217,0.239,0.544,negative,A Shropshire Lad
"Scarcely has any modern book of poems shown so sure a touch of genius in this respect: the magic, in a continuous glow saturating the substance of every picture and motive with its own peculiar essence.",0.8029,0.21,0.0,0.79,positive,A Shropshire Lad
"What has been called the ""cynical bitterness"" of Mr. Housman's poems, is really nothing more than his ability to etch in sharp tones the actualities of experience.",-0.4091,0.08,0.166,0.753,negative,A Shropshire Lad
The poet himself is never cynical; his joyousness is all too apparent in the very manner and intensity of expression.,-0.2235,0.094,0.132,0.774,negative,A Shropshire Lad
"The ""lads"" of Ludlow are so human to him, the hawthorn and broom on the Severn shores are so fragrant with associations, he cannot help but compose under a kind of imaginative wizardry of exultation, even when the immediate subject is grim or grotesque.",-0.7703,0.0,0.14,0.86,negative,A Shropshire Lad
"In many of these brief, tense poems the reader confronts a mask, as it were, with appalling and distorted lineaments; but behind it the poet smiles, perhaps sardonically, but smiles nevertheless.",0.6757,0.213,0.173,0.615,positive,A Shropshire Lad
"In the real countenance there are no tears or grievances, but a quizzical, humorous expression which shows, when one has torn the subterfuge away, that here is a spirit whom life may menace with its contradictions and fatalities, but never dupe with its circumstance and mystery.",-0.8953,0.131,0.321,0.548,negative,A Shropshire Lad
