sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Wheels of Chance: A Bicycling Idyll This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.1027,0.106,0.097,0.796,positive,The Wheels of Chance: A Bicycling Idyll
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Wheels of Chance: A Bicycling Idyll
"Title : The Wheels of Chance: A Bicycling Idyll Author : H. G. Wells Release date : April 1, 1998 [eBook #1264] Most recently updated: October 29, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1264 Credits : Dianne Bean *** START OF THE PROJECT GUTENBERG EBOOK THE WHEELS OF CHANCE: A BICYCLING IDYLL *** THE WHEELS OF CHANCE; A BICYCLING IDYLL By H.G.",0.874,0.19,0.0,0.81,positive,The Wheels of Chance: A Bicycling Idyll
Wells 1896 To MY DEAR MOTHER CONTENTS CHAPTER I.,0.6523,0.432,0.0,0.568,positive,The Wheels of Chance: A Bicycling Idyll
THE PRINCIPAL CHARACTER IN THE STORY CHAPTER II CHAPTER III CHAPTER IV.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE RIDING FORTH OF MR. HOOPDRIVER CHAPTER V. THE SHAMEFUL EPISODE OF THE YOUNG LADY IN GREY CHAPTER VI.,-0.4588,0.056,0.15,0.794,negative,The Wheels of Chance: A Bicycling Idyll
ON THE ROAD TO RIPLEY CHAPTER VII.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER VIII.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER IX.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
HOW MR. HOOPDRIVER WAS HAUNTED CHAPTER X.,-0.4767,0.0,0.341,0.659,negative,The Wheels of Chance: A Bicycling Idyll
THE IMAGININGS OF MR. HOOPDRIVER'S HEART CHAPTER XI.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
OMISSIONS CHAPTER XII.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE DREAMS OF MR. HOOPDRIVER CHAPTER XIII.,0.4019,0.31,0.0,0.69,positive,The Wheels of Chance: A Bicycling Idyll
HOW MR. HOOPDRIVER WENT TO HASLEMERE CHAPTER XIV.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
HOW MR. HOOPDRIVER REACHED MIDHURST CHAPTER XV.,0.1027,0.189,0.0,0.811,positive,The Wheels of Chance: A Bicycling Idyll
AN INTERLUDE CHAPTER XVI.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
"OF THE ARTIFICIAL IN MAN, AND OF THE ZEITGEIST CHAPTER XVII.",0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE ENCOUNTER AT MIDHURST CHAPTER XVIII.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER XIX.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER XX.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE PURSUIT CHAPTER XXI.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
AT BOGNOR CHAPTER XXII.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER XXIII.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER XXIV.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE MOONLIGHT RIDE CHAPTER XXV.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER XXVI.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE SURBITON INTERLUDE CHAPTER XXVII.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE AWAKENING OF MR. HOOPDRIVER CHAPTER XXVIII.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE DEPARTURE FROM CHICHESTER CHAPTER XXIX.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE UNEXPECTED ANECDOTE OF THE LION CHAPTER XXX.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE RESCUE EXPEDITION CHAPTER XXXI.,0.5106,0.452,0.0,0.548,positive,The Wheels of Chance: A Bicycling Idyll
CHAPTER XXXII.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
"MR. HOOPDRIVER, KNIGHT ERRANT CHAPTER XXXIII.",0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE ABASEMENT OF MR. HOOPDRIVER CHAPTER XXXIV.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER XXXV.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER XXXVI.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER XXXVII.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
IN THE NEW FOREST CHAPTER XXXVIII.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
AT THE RUFUS STONE CHAPTER XXXIX.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER XL.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
CHAPTER XLI.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
THE ENVOY I.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
"THE PRINCIPAL CHARACTER IN THE STORY If you (presuming you are of the sex that does such things)--if you had gone into the Drapery Emporium--which is really only magnificent for shop--of Messrs. Antrobus & Co.--a perfectly fictitious ""Co.,"" by the bye--of Putney, on the 14th of August, 1895, had turned to the right-hand side, where the blocks of white linen and piles of blankets rise up to the rail from which the pink and blue prints depend, you might have been served by the central figure of this story that is now beginning.",0.8166,0.084,0.019,0.896,positive,The Wheels of Chance: A Bicycling Idyll
"He would have come forward, bowing and swaying, he would have extended two hands with largish knuckles and enormous cuffs over the counter, and he would have asked you, protruding a pointed chin and without the slightest anticipation of pleasure in his manner, what he might have the pleasure of showing you.",0.7966,0.131,0.023,0.847,positive,The Wheels of Chance: A Bicycling Idyll
"Under certain circumstances--as, for instance, hats, baby linen, gloves, silks, lace, or curtains--he would simply have bowed politely, and with a drooping expression, and making a kind of circular sweep, invited you to ""step this way,"" and so led you beyond his ken; but under other and happier conditions,--huckaback, blankets, dimity, cretonne, linen, calico, are cases in point,--he would have requested you to take a seat, emphasising the hospitality by leaning over the counter and gripping a chair back in a spasmodic manner, and so proceeded to obtain, unfold, and exhibit his goods for your consideration.",0.7311,0.065,0.0,0.935,positive,The Wheels of Chance: A Bicycling Idyll
Under which happier circumstances you might--if of an observing turn of mind and not too much of a housewife to be inhuman--have given the central figure of this story less cursory attention.,0.5267,0.102,0.0,0.898,positive,The Wheels of Chance: A Bicycling Idyll
"Now if you had noticed anything about him, it would have been chiefly to notice how little he was noticeable.",0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
"He wore the black morning coat, the black tie, and the speckled grey nether parts (descending into shadow and mystery below the counter) of his craft.",0.0516,0.046,0.0,0.954,positive,The Wheels of Chance: A Bicycling Idyll
"He was of a pallid complexion, hair of a kind of dirty fairness, greyish eyes, and a skimpy, immature moustache under his peaked indeterminate nose.",-0.4927,0.0,0.132,0.868,negative,The Wheels of Chance: A Bicycling Idyll
"His features were all small, but none ill-shaped.",0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
A rosette of pins decorated the lappel of his coat.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
"His remarks, you would observe, were entirely what people used to call cliché , formulae not organic to the occasion, but stereotyped ages ago and learnt years since by heart.",-0.4215,0.0,0.091,0.909,negative,The Wheels of Chance: A Bicycling Idyll
"""This, madam,"" he would say, ""is selling very well.""",0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
"""We are doing a very good article at four three a yard.""",0.4927,0.262,0.0,0.738,positive,The Wheels of Chance: A Bicycling Idyll
"""We could show you something better, of course.""",0.4404,0.293,0.0,0.707,positive,The Wheels of Chance: A Bicycling Idyll
"""No trouble, madam, I assure you.""",-0.3612,0.258,0.527,0.215,negative,The Wheels of Chance: A Bicycling Idyll
Such were the simple counters of his intercourse.,0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
"So, I say, he would have presented himself to your superficial observation.",0.0,0.0,0.0,1.0,neutral,The Wheels of Chance: A Bicycling Idyll
"He would have danced about behind the counter, have neatly refolded the goods he had shown you, have put on one side those you selected, extracted a little book with a carbon leaf and a tinfoil sheet from a fixture, made you out a little bill in that weak flourishing hand peculiar to drapers, and have bawled ""Sayn!""",0.5562,0.126,0.049,0.825,positive,The Wheels of Chance: A Bicycling Idyll
"Then a puffy little shop-walker would have come into view, looked at the bill for a second, very hard (showing you a parting down the middle of his head meanwhile), have scribbled a still more flourishing J. M. all over the document, have asked you if there was nothing more, have stood by you--supposing that you were paying cash--until the central figure of this story reappeared with the change.",-0.1761,0.0,0.026,0.974,negative,The Wheels of Chance: A Bicycling Idyll
