sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Souls of Black Folk This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,The Souls of Black Folk
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Souls of Black Folk
Title : The Souls of Black Folk Author : W. E. B.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
"Du Bois Release date : January 1, 1996 [eBook #408] Most recently updated: August 11, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/408 *** START OF THE PROJECT GUTENBERG EBOOK THE SOULS OF BLACK FOLK *** The Souls of Black Folk by W. E. B.",0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Du Bois Herein is Written The Forethought I.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Of Our Spiritual Strivings II.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Of the Dawn of Freedom III.,0.6369,0.457,0.0,0.543,positive,The Souls of Black Folk
Of Mr. Booker T. Washington and Others IV.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Of the Meaning of Progress V. Of the Wings of Atalanta VI.,0.4215,0.203,0.0,0.797,positive,The Souls of Black Folk
Of the Training of Black Men VII.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Of the Black Belt VIII.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Of the Quest of the Golden Fleece IX.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Of the Sons of Master and Man X.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Of the Faith of the Fathers XI.,0.4215,0.318,0.0,0.682,positive,The Souls of Black Folk
Of the Passing of the First-Born XII.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Of Alexander Crummell XIII.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Of the Coming of John XIV.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Of the Sorrow Songs The Afterthought To Burghardt and Yolande The Lost and the Found The Forethought Herein lie buried many things which if read with patience may show the strange meaning of being black here at the dawning of the Twentieth Century.,-0.7579,0.0,0.158,0.842,negative,The Souls of Black Folk
"This meaning is not without interest to you, Gentle Reader; for the problem of the Twentieth Century is the problem of the color line.",-0.104,0.164,0.178,0.658,negative,The Souls of Black Folk
"I pray you, then, receive my little book in all charity, studying my words with me, forgiving mistake and foible for sake of the faith and passion that is in me, and seeking the grain of truth hidden there.",0.9136,0.325,0.048,0.626,positive,The Souls of Black Folk
"I have sought here to sketch, in vague, uncertain outline, the spiritual world in which ten thousand thousand Americans live and strive.",-0.3818,0.0,0.159,0.841,negative,The Souls of Black Folk
"First, in two chapters I have tried to show what Emancipation meant to them, and what was its aftermath.",0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
"In a third chapter I have pointed out the slow rise of personal leadership, and criticized candidly the leader who bears the chief burden of his race to-day.",-0.6597,0.0,0.184,0.816,negative,The Souls of Black Folk
"Then, in two other chapters I have sketched in swift outline the two worlds within and without the Veil, and thus have come to the central problem of training men for life.",-0.2263,0.054,0.081,0.866,negative,The Souls of Black Folk
"Venturing now into deeper detail, I have in two chapters studied the struggles of the massed millions of the black peasantry, and in another have sought to make clear the present relations of the sons of master and man.",0.0258,0.063,0.061,0.876,neutral,The Souls of Black Folk
"Leaving, then, the white world, I have stepped within the Veil, raising it that you may view faintly its deeper recesses,--the meaning of its religion, the passion of its human sorrow, and the struggle of its greater souls.",-0.0516,0.124,0.129,0.747,negative,The Souls of Black Folk
"All this I have ended with a tale twice told but seldom written, and a chapter of song.",0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Some of these thoughts of mine have seen the light before in other guise.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
"For kindly consenting to their republication here, in altered and extended form, I must thank the publishers of the Atlantic Monthly, The World's Work, the Dial, The New World, and the Annals of the American Academy of Political and Social Science.",0.6908,0.13,0.0,0.87,positive,The Souls of Black Folk
"Before each chapter, as now printed, stands a bar of the Sorrow Songs,--some echo of haunting melody from the only American music which welled up from black souls in the dark past.",-0.6249,0.04,0.158,0.802,negative,The Souls of Black Folk
"And, finally, need I add that I who speak here am bone of the bone and flesh of the flesh of them that live within the Veil?",0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
W.E.B.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
"Du B. Atlanta, Ga., Feb. 1, 1903.",0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
I.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
"Of Our Spiritual Strivings O water, voice of my heart, crying in the sand, All night long crying with a mournful cry, As I lie and listen, and cannot understand The voice of my heart in my side or the voice of the sea, O water, crying for rest, is it I, is it I?",-0.9325,0.0,0.246,0.754,negative,The Souls of Black Folk
All night long the water is crying to me.,-0.4767,0.0,0.279,0.721,negative,The Souls of Black Folk
"Unresting water, there shall never be rest Till the last moon droop and the last tide fail, And the fire of the end begin to burn in the west; And the heart shall be weary and wonder and cry like the sea, All life long crying without avail, As the water all night long is crying to me.",-0.93,0.035,0.244,0.72,negative,The Souls of Black Folk
ARTHUR SYMONS.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
Between me and the other world there is ever an unasked question: unasked by some through feelings of delicacy; by others through the difficulty of rightly framing it.,-0.34,0.0,0.082,0.918,negative,The Souls of Black Folk
"All, nevertheless, flutter round it.",0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
"They approach me in a half-hesitant sort of way, eye me curiously or compassionately, and then, instead of saying directly, How does it feel to be a problem?",0.0,0.092,0.092,0.816,neutral,The Souls of Black Folk
"they say, I know an excellent colored man in my town; or, I fought at Mechanicsville; or, Do not these Southern outrages make your blood boil?",0.6251,0.216,0.077,0.707,positive,The Souls of Black Folk
"At these I smile, or am interested, or reduce the boiling to a simmer, as the occasion may require.",0.6369,0.257,0.0,0.743,positive,The Souls of Black Folk
"To the real question, How does it feel to be a problem?",-0.4019,0.0,0.213,0.787,negative,The Souls of Black Folk
I answer seldom a word.,0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
"And yet, being a problem is a strange experience,--peculiar even for one who has never been anything else, save perhaps in babyhood and in Europe.",-0.0772,0.116,0.162,0.722,negative,The Souls of Black Folk
"It is in the early days of rollicking boyhood that the revelation first bursts upon one, all in a day, as it were.",0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
I remember well when the shadow swept across me.,0.2732,0.231,0.0,0.769,positive,The Souls of Black Folk
"I was a little thing, away up in the hills of New England, where the dark Housatonic winds between Hoosac and Taghkanic to the sea.",0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
"In a wee wooden schoolhouse, something put it into the boys' and girls' heads to buy gorgeous visiting-cards--ten cents a package--and exchange.",0.6124,0.174,0.0,0.826,positive,The Souls of Black Folk
"The exchange was merry, till one girl, a tall newcomer, refused my card,--refused it peremptorily, with a glance.",0.3182,0.178,0.112,0.711,positive,The Souls of Black Folk
"Then it dawned upon me with a certain suddenness that I was different from the others; or like, mayhap, in heart and life and longing, but shut out from their world by a vast veil.",0.3071,0.099,0.031,0.87,positive,The Souls of Black Folk
"I had thereafter no desire to tear down that veil, to creep through; I held all beyond it in common contempt, and lived above it in a region of blue sky and great wandering shadows.",0.2023,0.167,0.147,0.686,positive,The Souls of Black Folk
"That sky was bluest when I could beat my mates at examination-time, or beat them at a foot-race, or even beat their stringy heads.",0.0,0.0,0.0,1.0,neutral,The Souls of Black Folk
"Alas, with the years all this fine contempt began to fade; for the words I longed for, and all their dazzling opportunities, were theirs, not mine.",-0.3182,0.146,0.187,0.667,negative,The Souls of Black Folk
"But they should not keep these prizes, I said; some, all, I would wrest from them.",-0.4973,0.0,0.199,0.801,negative,The Souls of Black Folk
"Just how I would do it I could never decide: by reading law, by healing the sick, by telling the wonderful tales that swam in my head,--some way.",0.1027,0.119,0.106,0.774,positive,The Souls of Black Folk
"With other black boys the strife was not so fiercely sunny: their youth shrunk into tasteless sycophancy, or into silent hatred of the pale world about them and mocking distrust of everything white; or wasted itself in a bitter cry, Why did God make me an outcast and a stranger in mine own house?",-0.9598,0.031,0.316,0.652,negative,The Souls of Black Folk
