sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Lost World This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.4404,0.066,0.158,0.776,negative,The Lost World
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Lost World
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Lost World
"Title : The Lost World Author : Arthur Conan Doyle Release date : June 1, 1994 [eBook #139] Most recently updated: December 6, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/139 Credits : Produced by Judith Boss.",0.0516,0.07,0.064,0.866,positive,The Lost World
HTML version by Al Haines.,0.0,0.0,0.0,1.0,neutral,The Lost World
"*** START OF THE PROJECT GUTENBERG EBOOK THE LOST WORLD *** THE LOST WORLD I have wrought my simple plan If I give one hour of joy To the boy who's half a man, Or the man who's half a boy.",-0.3107,0.087,0.138,0.775,negative,The Lost World
"The Lost World By SIR ARTHUR CONAN DOYLE COPYRIGHT, 1912 Foreword Mr. E. D. Malone desires to state that both the injunction for restraint and the libel action have been withdrawn unreservedly by Professor G. E. Challenger, who, being satisfied that no criticism or comment in this book is meant in an offensive spirit, has guaranteed that he will place no impediment to its publication and circulation.",-0.765,0.077,0.162,0.76,negative,The Lost World
Contents CHAPTER I.,0.0,0.0,0.0,1.0,neutral,The Lost World
"""THERE ARE HEROISMS ALL ROUND US"" II.",0.4939,0.348,0.0,0.652,positive,The Lost World
"""TRY YOUR LUCK WITH PROFESSOR CHALLENGER"" III.",0.5423,0.474,0.0,0.526,positive,The Lost World
"""HE IS A PERFECTLY IMPOSSIBLE PERSON"" IV.",0.6369,0.457,0.0,0.543,positive,The Lost World
"""IT'S JUST THE VERY BIGGEST THING IN THE WORLD"" V.",0.0,0.0,0.0,1.0,neutral,The Lost World
"""QUESTION!""",0.0,0.0,0.0,1.0,neutral,The Lost World
VI.,0.0,0.0,0.0,1.0,neutral,The Lost World
"""I WAS THE FLAIL OF THE LORD"" VII.",0.0,0.0,0.0,1.0,neutral,The Lost World
"""TO-MORROW WE DISAPPEAR INTO THE UNKNOWN"" VIII.",-0.2263,0.0,0.241,0.759,negative,The Lost World
"""THE OUTLYING PICKETS OF THE NEW WORLD"" IX.",0.0,0.0,0.0,1.0,neutral,The Lost World
"""WHO COULD HAVE FORESEEN IT?""",0.0,0.0,0.0,1.0,neutral,The Lost World
X.,0.0,0.0,0.0,1.0,neutral,The Lost World
"""THE MOST WONDERFUL THINGS HAVE HAPPENED"" XI.",0.6115,0.4,0.0,0.6,positive,The Lost World
"""FOR ONCE I WAS THE HERO"" XII.",0.5574,0.419,0.0,0.581,positive,The Lost World
"""IT WAS DREADFUL IN THE FOREST"" XIII.",-0.4404,0.0,0.326,0.674,negative,The Lost World
"""A SIGHT I SHALL NEVER FORGET"" XIV.",0.1695,0.25,0.0,0.75,positive,The Lost World
"""THOSE WERE THE REAL CONQUESTS"" XV.",0.0,0.0,0.0,1.0,neutral,The Lost World
"""OUR EYES HAVE SEEN GREAT WONDERS"" XVI.",0.6249,0.406,0.0,0.594,positive,The Lost World
"""A PROCESSION!",0.0,0.0,0.0,1.0,neutral,The Lost World
"A PROCESSION!""",0.0,0.0,0.0,1.0,neutral,The Lost World
"THE LOST WORLD The Lost World CHAPTER I ""There Are Heroisms All Round Us"" Mr. Hungerton, her father, really was the most tactless person upon earth,--a fluffy, feathery, untidy cockatoo of a man, perfectly good-natured, but absolutely centered upon his own silly self.",0.2922,0.129,0.081,0.791,positive,The Lost World
"If anything could have driven me from Gladys, it would have been the thought of such a father-in-law.",0.0,0.0,0.0,1.0,neutral,The Lost World
"I am convinced that he really believed in his heart that I came round to the Chestnuts three days a week for the pleasure of his company, and very especially to hear his views upon bimetallism, a subject upon which he was by way of being an authority.",0.7717,0.158,0.0,0.842,positive,The Lost World
"For an hour or more that evening I listened to his monotonous chirrup about bad money driving out good, the token value of silver, the depreciation of the rupee, and the true standards of exchange.",0.5574,0.195,0.084,0.721,positive,The Lost World
"""Suppose,"" he cried with feeble violence, ""that all the debts in the world were called up simultaneously, and immediate payment insisted upon,--what under our present conditions would happen then?""",-0.836,0.0,0.255,0.745,negative,The Lost World
"I gave the self-evident answer that I should be a ruined man, upon which he jumped from his chair, reproved me for my habitual levity, which made it impossible for him to discuss any reasonable subject in my presence, and bounced off out of the room to dress for a Masonic meeting.",-0.4767,0.0,0.062,0.938,negative,The Lost World
"At last I was alone with Gladys, and the moment of Fate had come!",-0.3164,0.0,0.16,0.84,negative,The Lost World
All that evening I had felt like the soldier who awaits the signal which will send him on a forlorn hope; hope of victory and fear of repulse alternating in his mind.,0.1531,0.236,0.172,0.591,positive,The Lost World
"She sat with that proud, delicate profile of hers outlined against the red curtain.",0.5106,0.264,0.0,0.736,positive,The Lost World
How beautiful she was!,0.636,0.583,0.0,0.417,positive,The Lost World
And yet how aloof!,0.0,0.0,0.0,1.0,neutral,The Lost World
"We had been friends, quite good friends; but never could I get beyond the same comradeship which I might have established with one of my fellow-reporters upon the Gazette,--perfectly frank, perfectly kindly, and perfectly unsexual.",0.9723,0.45,0.0,0.55,positive,The Lost World
My instincts are all against a woman being too frank and at her ease with me.,0.3612,0.152,0.0,0.848,positive,The Lost World
It is no compliment to a man.,0.2263,0.333,0.237,0.43,positive,The Lost World
"Where the real sex feeling begins, timidity and distrust are its companions, heritage from old wicked days when love and violence went often hand in hand.",-0.128,0.283,0.295,0.422,negative,The Lost World
"The bent head, the averted eye, the faltering voice, the wincing figure--these, and not the unshrinking gaze and frank reply, are the true signals of passion.",0.6705,0.193,0.043,0.764,positive,The Lost World
Even in my short life I had learned as much as that--or had inherited it in that race memory which we call instinct.,0.0,0.0,0.0,1.0,neutral,The Lost World
Gladys was full of every womanly quality.,0.0,0.0,0.0,1.0,neutral,The Lost World
Some judged her to be cold and hard; but such a thought was treason.,-0.6187,0.0,0.315,0.685,negative,The Lost World
"That delicately bronzed skin, almost oriental in its coloring, that raven hair, the large liquid eyes, the full but exquisite lips,--all the stigmata of passion were there.",0.6705,0.18,0.0,0.82,positive,The Lost World
But I was sadly conscious that up to now I had never found the secret of drawing it forth.,-0.5719,0.0,0.188,0.812,negative,The Lost World
"However, come what might, I should have done with suspense and bring matters to a head to-night.",0.0258,0.073,0.0,0.927,neutral,The Lost World
"She could but refuse me, and better be a repulsed lover than an accepted brother.",0.6808,0.421,0.255,0.324,positive,The Lost World
"So far my thoughts had carried me, and I was about to break the long and uneasy silence, when two critical, dark eyes looked round at me, and the proud head was shaken in smiling reproof.",0.2263,0.144,0.147,0.709,positive,The Lost World
"""I have a presentiment that you are going to propose, Ned.",0.0,0.0,0.0,1.0,neutral,The Lost World
"I do wish you wouldn't; for things are so much nicer as they are.""",0.7076,0.348,0.0,0.652,positive,The Lost World
I drew my chair a little nearer.,0.0,0.0,0.0,1.0,neutral,The Lost World
"""Now, how did you know that I was going to propose?""",0.0,0.0,0.0,1.0,neutral,The Lost World
I asked in genuine wonder.,0.0,0.0,0.0,1.0,neutral,The Lost World
"""Don't women always know?",0.0,0.0,0.0,1.0,neutral,The Lost World
Do you suppose any woman in the world was ever taken unawares?,0.0,0.0,0.0,1.0,neutral,The Lost World
"But--oh, Ned, our friendship has been so good and so pleasant!",0.8892,0.568,0.0,0.432,positive,The Lost World
What a pity to spoil it!,-0.3595,0.0,0.384,0.616,negative,The Lost World
"Don't you feel how splendid it is that a young man and a young woman should be able to talk face to face as we have talked?""",0.5859,0.137,0.0,0.863,positive,The Lost World
"""I don't know, Gladys.",0.0,0.0,0.0,1.0,neutral,The Lost World
"You see, I can talk face to face with--with the station-master.""",0.0,0.0,0.0,1.0,neutral,The Lost World
"I can't imagine how that official came into the matter; but in he trotted, and set us both laughing.",0.6542,0.251,0.0,0.749,positive,The Lost World
"""That does not satisfy me in the least.",-0.357,0.0,0.262,0.738,negative,The Lost World
"I want my arms round you, and your head on my breast, and--oh, Gladys, I want----"" She had sprung from her chair, as she saw signs that I proposed to demonstrate some of my wants.",0.0772,0.04,0.0,0.96,positive,The Lost World
"""You've spoiled everything, Ned,"" she said.",0.0,0.0,0.0,1.0,neutral,The Lost World
"""It's all so beautiful and natural until this kind of thing comes in!",0.8421,0.422,0.0,0.578,positive,The Lost World
It is such a pity!,-0.3595,0.0,0.454,0.546,negative,The Lost World
"Why can't you control yourself?""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""I didn't invent it,"" I pleaded.",0.0,0.0,0.0,1.0,neutral,The Lost World
"""It's nature.",0.0,0.0,0.0,1.0,neutral,The Lost World
"It's love.""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""Well, perhaps if both love, it may be different.",0.6369,0.344,0.0,0.656,positive,The Lost World
"I have never felt it.""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""But you must--you, with your beauty, with your soul!",0.7574,0.407,0.0,0.593,positive,The Lost World
"Oh, Gladys, you were made for love!",0.6696,0.428,0.0,0.572,positive,The Lost World
"You must love!""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""One must wait till it comes.""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""But why can't you love me, Gladys?",-0.6759,0.0,0.431,0.569,negative,The Lost World
"Is it my appearance, or what?""",0.0,0.0,0.0,1.0,neutral,The Lost World
She did unbend a little.,0.0,0.0,0.0,1.0,neutral,The Lost World
"She put forward a hand--such a gracious, stooping attitude it was--and she pressed back my head.",0.5574,0.217,0.0,0.783,positive,The Lost World
Then she looked into my upturned face with a very wistful smile.,0.4173,0.217,0.0,0.783,positive,The Lost World
"""No it isn't that,"" she said at last.",-0.296,0.0,0.239,0.761,negative,The Lost World
"""You're not a conceited boy by nature, and so I can safely tell you it is not that.",0.539,0.188,0.0,0.812,positive,The Lost World
"It's deeper.""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""My character?""",0.0,0.0,0.0,1.0,neutral,The Lost World
She nodded severely.,-0.4588,0.0,0.6,0.4,negative,The Lost World
"""What can I do to mend it?",0.0,0.0,0.0,1.0,neutral,The Lost World
Do sit down and talk it over.,0.0,0.0,0.0,1.0,neutral,The Lost World
"No, really, I won't if you'll only sit down!""",-0.3595,0.0,0.263,0.737,negative,The Lost World
She looked at me with a wondering distrust which was much more to my mind than her whole-hearted confidence.,0.128,0.149,0.127,0.724,positive,The Lost World
How primitive and bestial it looks when you put it down in black and white!--and perhaps after all it is only a feeling peculiar to myself.,0.3382,0.129,0.0,0.871,positive,The Lost World
"Anyhow, she sat down.",0.0,0.0,0.0,1.0,neutral,The Lost World
"""Now tell me what's amiss with me?""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""I'm in love with somebody else,"" said she.",0.6369,0.375,0.0,0.625,positive,The Lost World
It was my turn to jump out of my chair.,0.0,0.0,0.0,1.0,neutral,The Lost World
"""It's nobody in particular,"" she explained, laughing at the expression of my face: ""only an ideal.",0.765,0.32,0.0,0.68,positive,The Lost World
"I've never met the kind of man I mean.""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""Tell me about him.",0.0,0.0,0.0,1.0,neutral,The Lost World
"What does he look like?""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""Oh, he might look very much like you.""",0.4173,0.284,0.0,0.716,positive,The Lost World
"""How dear of you to say that!",0.4389,0.325,0.0,0.675,positive,The Lost World
"Well, what is it that he does that I don't do?",0.2732,0.189,0.0,0.811,positive,The Lost World
"Just say the word,--teetotal, vegetarian, aeronaut, theosophist, superman.",0.0,0.0,0.0,1.0,neutral,The Lost World
"I'll have a try at it, Gladys, if you will only give me an idea what would please you.""",0.3182,0.119,0.0,0.881,positive,The Lost World
She laughed at the elasticity of my character.,0.4588,0.3,0.0,0.7,positive,The Lost World
"""Well, in the first place, I don't think my ideal would speak like that,"" said she.",-0.0711,0.137,0.152,0.711,negative,The Lost World
"""He would be a harder, sterner man, not so ready to adapt himself to a silly girl's whim.",-0.3733,0.062,0.15,0.788,negative,The Lost World
"But, above all, he must be a man who could do, who could act, who could look Death in the face and have no fear of him, a man of great deeds and strange experiences.",-0.8402,0.117,0.303,0.58,negative,The Lost World
"It is never a man that I should love, but always the glories he had won; for they would be reflected upon me.",0.9153,0.396,0.0,0.604,positive,The Lost World
Think of Richard Burton!,0.0,0.0,0.0,1.0,neutral,The Lost World
When I read his wife's life of him I could so understand her love!,0.6962,0.302,0.0,0.698,positive,The Lost World
And Lady Stanley!,0.0,0.0,0.0,1.0,neutral,The Lost World
Did you ever read the wonderful last chapter of that book about her husband?,0.5719,0.222,0.0,0.778,positive,The Lost World
"These are the sort of men that a woman could worship with all her soul, and yet be the greater, not the less, on account of her love, honored by all the world as the inspirer of noble deeds.""",0.9578,0.371,0.0,0.629,positive,The Lost World
She looked so beautiful in her enthusiasm that I nearly brought down the whole level of the interview.,0.8356,0.345,0.0,0.655,positive,The Lost World
"I gripped myself hard, and went on with the argument.",-0.4404,0.0,0.358,0.642,negative,The Lost World
"""We can't all be Stanleys and Burtons,"" said I; ""besides, we don't get the chance,--at least, I never had the chance.",-0.1877,0.0,0.084,0.916,negative,The Lost World
"If I did, I should try to take it.""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""But chances are all around you.",0.296,0.306,0.0,0.694,positive,The Lost World
It is the mark of the kind of man I mean that he makes his own chances.,0.2023,0.107,0.0,0.893,positive,The Lost World
You can't hold him back.,0.0,0.0,0.0,1.0,neutral,The Lost World
"I've never met him, and yet I seem to know him so well.",0.4101,0.199,0.0,0.801,positive,The Lost World
There are heroisms all round us waiting to be done.,0.4939,0.262,0.0,0.738,positive,The Lost World
"It's for men to do them, and for women to reserve their love as a reward for such men.",0.836,0.331,0.0,0.669,positive,The Lost World
Look at that young Frenchman who went up last week in a balloon.,0.0,0.0,0.0,1.0,neutral,The Lost World
It was blowing a gale of wind; but because he was announced to go he insisted on starting.,0.0,0.0,0.0,1.0,neutral,The Lost World
"The wind blew him fifteen hundred miles in twenty-four hours, and he fell in the middle of Russia.",0.0,0.0,0.0,1.0,neutral,The Lost World
That was the kind of man I mean.,0.0,0.0,0.0,1.0,neutral,The Lost World
"Think of the woman he loved, and how other women must have envied her!",0.4753,0.229,0.115,0.656,positive,The Lost World
"That's what I should like to be,--envied for my man.""",0.3612,0.238,0.0,0.762,positive,The Lost World
"""I'd have done it to please you.""",0.3182,0.277,0.0,0.723,positive,The Lost World
"""But you shouldn't do it merely to please me.",0.4497,0.269,0.0,0.731,positive,The Lost World
"You should do it because you can't help yourself, because it's natural to you, because the man in you is crying out for heroic expression.",0.1882,0.188,0.165,0.647,positive,The Lost World
"Now, when you described the Wigan coal explosion last month, could you not have gone down and helped those people, in spite of the choke-damp?""",-0.5267,0.0,0.124,0.876,negative,The Lost World
"""I did.""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""You never said so.""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""There was nothing worth bucking about.""",-0.1695,0.0,0.25,0.75,negative,The Lost World
"""I didn't know.""",0.0,0.0,0.0,1.0,neutral,The Lost World
She looked at me with rather more interest.,0.5095,0.32,0.0,0.68,positive,The Lost World
"""That was brave of you.""",0.5267,0.459,0.0,0.541,positive,The Lost World
"""I had to.",0.0,0.0,0.0,1.0,neutral,The Lost World
"If you want to write good copy, you must be where the things are.""",0.4939,0.259,0.0,0.741,positive,The Lost World
"""What a prosaic motive!",0.0,0.0,0.0,1.0,neutral,The Lost World
It seems to take all the romance out of it.,0.5574,0.286,0.0,0.714,positive,The Lost World
"But, still, whatever your motive, I am glad that you went down that mine.""",0.6124,0.25,0.0,0.75,positive,The Lost World
She gave me her hand; but with such sweetness and dignity that I could only stoop and kiss it.,0.928,0.494,0.0,0.506,positive,The Lost World
"""I dare say I am merely a foolish woman with a young girl's fancies.",-0.2732,0.0,0.174,0.826,negative,The Lost World
"And yet it is so real with me, so entirely part of my very self, that I cannot help acting upon it.",-0.3089,0.0,0.101,0.899,negative,The Lost World
"If I marry, I do want to marry a famous man!""",0.1511,0.185,0.0,0.815,positive,The Lost World
"""Why should you not?""",0.0,0.0,0.0,1.0,neutral,The Lost World
I cried.,-0.3818,0.0,1.0,0.0,negative,The Lost World
"""It is women like you who brace men up.",0.3612,0.238,0.0,0.762,positive,The Lost World
"Give me a chance, and see if I will take it!",0.3164,0.223,0.0,0.777,positive,The Lost World
"Besides, as you say, men ought to MAKE their own chances, and not wait until they are given.",0.2023,0.096,0.0,0.904,positive,The Lost World
"Look at Clive--just a clerk, and he conquered India!",0.0,0.0,0.0,1.0,neutral,The Lost World
By George!,0.0,0.0,0.0,1.0,neutral,The Lost World
"I'll do something in the world yet!""",0.0,0.0,0.0,1.0,neutral,The Lost World
She laughed at my sudden Irish effervescence.,0.4588,0.333,0.0,0.667,positive,The Lost World
"""Why not?""",0.0,0.0,0.0,1.0,neutral,The Lost World
she said.,0.0,0.0,0.0,1.0,neutral,The Lost World
"""You have everything a man could have,--youth, health, strength, education, energy.",0.6486,0.398,0.0,0.602,positive,The Lost World
I was sorry you spoke.,-0.0772,0.0,0.302,0.698,negative,The Lost World
"And now I am glad--so glad--if it wakens these thoughts in you!""",0.0,0.0,0.0,1.0,neutral,The Lost World
"""And if I do----"" Her dear hand rested like warm velvet upon my lips.",0.8481,0.531,0.0,0.469,positive,The Lost World
"""Not another word, Sir!",0.0,0.0,0.0,1.0,neutral,The Lost World
