sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Red House Mystery This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.066,0.104,0.829,negative,The Red House Mystery
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Red House Mystery
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Red House Mystery
Title : The Red House Mystery Author : A.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
"A. Milne Release date : August 1, 1999 [eBook #1872] Most recently updated: June 27, 2020 Language : English Other information and formats : www.gutenberg.org/ebooks/1872 Credits : Produced by An Anonymous Project Gutenberg Volunteer, and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE RED HOUSE MYSTERY *** The Red House Mystery by A.",0.3612,0.048,0.0,0.952,positive,The Red House Mystery
"A. Milne TO JOHN VINE MILNE My dear Father, Like all really nice people, you have a weakness for detective stories, and feel that there are not enough of them.",0.659,0.228,0.078,0.695,positive,The Red House Mystery
"So, after all that you have done for me, the least that I can do for you is to write you one.",0.0,0.0,0.0,1.0,neutral,The Red House Mystery
Here it is: with more gratitude and affection than I can well put down here.,0.854,0.46,0.0,0.54,positive,The Red House Mystery
A.A.M.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
Contents CHAPTER I. Mrs. Stevens is Frightened CHAPTER II.,-0.4404,0.0,0.266,0.734,negative,The Red House Mystery
Mr. Gillingham Gets Out at the Wrong Station CHAPTER III.,-0.4767,0.0,0.256,0.744,negative,The Red House Mystery
Two Men and a Body CHAPTER IV.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
The Brother from Australia CHAPTER V. Mr. Gillingham Chooses a New Profession CHAPTER VI.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
Outside Or Inside?,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
CHAPTER VII.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
Portrait of a Gentleman CHAPTER VIII.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
"""Do You Follow Me, Watson?""",0.0,0.0,0.0,1.0,neutral,The Red House Mystery
CHAPTER IX.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
Possibilities of a Croquet Set CHAPTER X. Mr. Gillingham Talks Nonsense CHAPTER XI.,-0.4019,0.0,0.197,0.803,negative,The Red House Mystery
The Reverend Theodore Ussher CHAPTER XII.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
A Shadow on the Wall CHAPTER XIII.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
The Open Window CHAPTER XIV.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
Mr. Beverley Qualifies for the Stage CHAPTER XV.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
Mrs. Norbury Confides in Dear Mr. Gillingham CHAPTER XVI.,0.3818,0.245,0.0,0.755,positive,The Red House Mystery
Getting Ready for the Night CHAPTER XVII.,0.3612,0.294,0.0,0.706,positive,The Red House Mystery
Mr. Beverley Takes the Water CHAPTER XVIII.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
Guess-work CHAPTER XIX.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
The Inquest CHAPTER XX.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
Mr. Beverley is Tactful CHAPTER XXI.,0.0,0.0,0.0,1.0,neutral,The Red House Mystery
Cayley's Apology CHAPTER XXII.,0.0516,0.286,0.0,0.714,positive,The Red House Mystery
