sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Pour comprendre Einstein This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.068,0.107,0.825,negative,Pour comprendre Einstein
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Pour comprendre Einstein
"Title : Pour comprendre Einstein Author : Théophile Moreux Release date : March 7, 2026 [eBook #78128] Language : French Original publication : Paris: Gaston Doin, 1922 Other information and formats : www.gutenberg.org/ebooks/78128 Credits : Laurent Vogel and the Online Distributed Proofreading Team at https://www.pgdp.net (This book was produced from images made available by the HathiTrust Digital Library and the Internet Archive.)",0.5859,0.083,0.0,0.917,positive,Pour comprendre Einstein
*** START OF THE PROJECT GUTENBERG EBOOK POUR COMPRENDRE EINSTEIN *** Pour comprendre EINSTEIN… PAR l'Abbé Th.,0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"MOREUX DIRECTEUR DE L'OBSERVATOIRE DE BOURGES Avec figures dans le texte PARIS LIBRAIRIE OCTAVE DOIN GASTON DOIN, ÉDITEUR 8, PLACE DE L'ODÉON , 8 1922 Tous droits réservés Copyright by Gaston Doin, 1922 DU MÊME AUTEUR A LA MÊME LIBRAIRIE Bibliothèque d'Éducation scientifique : Pour comprendre l'Arithmétique , un vol.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"in-16 de 216 pages avec figures, cartonné 8 fr.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"» Pour comprendre l'Algèbre , un vol.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"in-16 de 252 pages avec figures, cartonné 8 fr.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"» Pour comprendre la Géométrie plane , un vol.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"in-16 de 252 pages avec 218 figures, cartonné 8 fr.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"» Les Énigmes de la Science , un vol.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
in-16 de 304 pages avec fig.,0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
dans le texte et 8 pl.,0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
hors texte 8 fr.,0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"» Origine et Formation des Mondes , un volume in-8 de 416 pages avec 124 figures dans le texte et 18 planches hors texte 25 fr.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"» L'Étude de la Lune, avec Dictionnaire sélénographique , nouvelle édition, un volume in-16 de 168 pages 6 fr.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"» Petit Formulaire mathématique ( Tables de logarithmes, des lignes trigonométriques, des carrés et des cubes, des racines carrées et cubiques, de la mortalité, etc., etc.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"), un vol.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"in-16 de 96 pages, cartonné 5 fr.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
» Les autres Mondes sont-ils habités ?,0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"un volume in-16 ( Nouvelle édition, sous presse ).",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"POUR COMPRENDRE EINSTEIN… INTRODUCTION Peu de théories, en ces dernières années, ont suscité autant de conversations et de controverses que les doctrines de la relativité : Confinées tout d'abord en un cénacle fort restreint de savants, elles ont peu à peu gagné les salons, la presse, le grand public.",0.3612,0.061,0.03,0.909,positive,Pour comprendre Einstein
"Lors de son dernier passage à Paris, Einstein lui-même se demandait les raisons d'un tel engouement pour un sujet de pure science et dont la discussion, en raison des difficultés d'ordre mathématique qu'elle comporte, ne saurait être fructueuse en dehors des initiés.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"Or, il suffit d'être en contact permanent avec ce même public pour saisir les causes profondes de son émoi.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"Non certes que les Traités sérieux sur la Relativité, s'étalant aux vitrines des éditeurs, aient pu, malgré leur multiplicité, pénétrer tous les milieux, mais simplement parce que nous avons assisté en ces derniers mois, à la glose de la doctrine, par des vulgarisateurs dont la plupart, ayant à peine saisi les nuances si subtiles des théories en jeu, n'ont pas craint d'en dénaturer les conclusions.",-0.2732,0.0,0.033,0.967,negative,Pour comprendre Einstein
"Dans une sphère plus élevée, des physiciens qui, depuis plusieurs années, professent l'exposé des nouveaux principes, ont su piquer l'intérêt de leurs élèves en énonçant des corollaires paradoxaux déduits, avec toutes les apparences de la logique, de théorèmes paraissant désormais acquis à la science.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"En soulignant la relativité du temps, certains auteurs n'ont pas manqué de pénétrer sur le terrain de la philosophie pour nous inviter à méditer à nouveau sur la brièveté de la vie humaine, qu'un mouvement rapide, ont-ils ajouté, pourrait singulièrement allonger ; d'autres ont fait miroiter à nos yeux la possibilité d'une éternelle jeunesse entrevue grâce aux effarants principes déduits de la théorie.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"M. P. Langevin, l'éminent professeur du Collège de France, est allé plus loin : imitant ces prédicateurs en quête d'une fin de sermon, il nous a conviés « à travailler en communion de pensée avec Einstein qui dans l'Histoire aura le mérite essentiel d'avoir ouvert toute grande aux hommes une nouvelle fenêtre sur l'éternité ».",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"Du coup les plus indifférents aux conclusions de la science dans les champs les plus variés, ont pris intérêt à l'exploration d'un territoire auquel ils étaient demeurés étrangers depuis la fin de leurs études, et les acquisitions des cinquante dernières années, qui auparavant n'avaient pas su retenir leur attention, furent pour eux la révélation subite d'horizons inconnus.",0.4215,0.048,0.0,0.952,positive,Pour comprendre Einstein
"Au milieu de cette abondance de faits, de découvertes et de théories, comment un profane ne se trouverait-il pas déconcerté ?",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"Quel jugement portera-t-il sur l'œuvre d'Einstein, s'il n'a pas suivi la marche et le progrès des idées scientifiques depuis un demi-siècle pour le moins.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"Car, en fait, pour comprendre la doctrine actuelle de la Relativité, il faut pouvoir embrasser d'un seul regard les domaines étroitement liés entre eux de la Physique et de la Chimie moléculaire, avoir présente à l'esprit la vieille querelle de l'éther, avoir assisté, ne serait-ce que d'une façon rétrospective, à la lente découverte des secrets de la nature encore mystérieuse de la matière ; bref, posséder des idées nettes sur les efforts et les luttes engagées par les physiciens depuis Newton, pour arriver, après de fantastiques chevauchées et parfois de retentissants échecs, à la conquête de quelques propositions en apparence solidement établies, bien que souvent contradictoires.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"C'est qu'en réalité, au lieu de se fondre en un tout harmonieux et bien équilibré, les différentes parties de la Physique et de la Mécanique, au seuil du XX e siècle, apparaissaient de plus en plus étrangères l'une à l'autre et les expériences célèbres de Fizeau et de Michelson sur la vitesse de la lumière n'avaient fait récemment qu'accentuer les hiatus et souligner les antinomies.",0.296,0.041,0.023,0.936,positive,Pour comprendre Einstein
"La considération et l'application d'une formule mathématique opérant une sorte de synthèse satisfaisant à la fois le monde infiniment petit de l'atome et l'incommensurablement grand, en un mot adéquate aux phénomènes de la Physique moléculaire comme aux lois de la Mécanique céleste, une formule synthétique, même acquise en posant quelques postulats proches de la vérité, voilà ce qu'a cherché Einstein.",0.4588,0.049,0.0,0.951,positive,Pour comprendre Einstein
Le système qu'il nous propose est-il définitif ?,0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
Évidemment non.,0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
"Les meilleures théories, l'Histoire nous l'apprend, ne sont que fragile échafaudage et le Temps, ce tremplin d'Einstein, en a plus ou moins vite raison.",0.0,0.0,0.0,1.0,neutral,Pour comprendre Einstein
