sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of On the Origin of Species By Means of Natural Selection This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.2263,0.107,0.089,0.805,positive,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
"Title : On the Origin of Species By Means of Natural Selection Author : Charles Darwin Release date : March 1, 1998 [eBook #1228] Most recently updated: October 29, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1228 Credits : Sue Asscher and David Widger *** START OF THE PROJECT GUTENBERG EBOOK ON THE ORIGIN OF SPECIES BY MEANS OF NATURAL SELECTION *** There are several editions of this ebook in the Project Gutenberg collection.",0.8038,0.109,0.0,0.891,positive,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
Various characteristics of each ebook are listed to aid in selecting the preferred file.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
Click on any of the filenumbers below to quickly view each ebook.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
"1228 1859, First Edition 22764 1860, Second Edition 2009 1872, Sixth Edition, considered the definitive edition.",0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
"On the Origin of Species BY MEANS OF NATURAL SELECTION, OR THE PRESERVATION OF FAVOURED RACES IN THE STRUGGLE FOR LIFE.",0.5766,0.243,0.109,0.648,positive,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
"By Charles Darwin, M.A., Fellow Of The Royal, Geological, Linnæan, Etc., Societies; Author Of 'Journal Of Researches During H.M.S.",0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
Beagle's Voyage Round The World.',0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
"LONDON: JOHN MURRAY, ALBEMARLE STREET.",0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
1859.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
"""But with regard to the material world, we can at least go so far as this--we can perceive that events are brought about not by insulated interpositions of Divine power, exerted in each particular case, but by the establishment of general laws.""",0.7096,0.107,0.0,0.893,positive,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
W. W HEWELL : Bridgewater Treatise .,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
"""To conclude, therefore, let no man out of a weak conceit of sobriety, or an ill-applied moderation, think or maintain, that a man can search too far or be too well studied in the book of God's word, or in the book of God's works; divinity or philosophy; but rather let men endeavour an endless progress or proficience in both.""",0.6187,0.118,0.055,0.826,positive,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
B ACON : Advancement of Learning .,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
"Down, Bromley, Kent, October , 1 st , 1859.",0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
Contents INTRODUCTION.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
1.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
VARIATION UNDER DOMESTICATION.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
2.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
VARIATION UNDER NATURE.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
3.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
STRUGGLE FOR EXISTENCE.,-0.3182,0.0,0.535,0.465,negative,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
4.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
NATURAL SELECTION.,0.3612,0.714,0.0,0.286,positive,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
5.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
LAWS OF VARIATION.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
6.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
DIFFICULTIES ON THEORY.,-0.296,0.0,0.524,0.476,negative,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
7.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
INSTINCT.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
8.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
HYBRIDISM.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
9.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
ON THE IMPERFECTION OF THE GEOLOGICAL RECORD.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
10.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
ON THE GEOLOGICAL SUCCESSION OF ORGANIC BEINGS.,0.2023,0.231,0.0,0.769,positive,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
11.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
GEOGRAPHICAL DISTRIBUTION.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
12.,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
GEOGRAPHICAL DISTRIBUTION-- continued .,0.0,0.0,0.0,1.0,neutral,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
