sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Dubliners This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Dubliners
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Dubliners
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Dubliners
"Title : Dubliners Author : James Joyce Release date : September 1, 2001 [eBook #2814] Most recently updated: May 21, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/2814 Credits : David Reed, Karol Pietrzak and David Widger *** START OF THE PROJECT GUTENBERG EBOOK DUBLINERS *** DUBLINERS by James Joyce Contents The Sisters An Encounter Araby Eveline After the Race Two Gallants The Boarding House A Little Cloud Counterparts Clay A Painful Case Ivy Day in the Committee Room A Mother Grace The Dead THE SISTERS There was no hope for him this time: it was the third stroke.",-0.296,0.079,0.091,0.83,negative,Dubliners
"Night after night I had passed the house (it was vacation time) and studied the lighted square of window: and night after night I had found it lighted in the same way, faintly and evenly.",0.0,0.0,0.0,1.0,neutral,Dubliners
"If he was dead, I thought, I would see the reflection of candles on the darkened blind for I knew that two candles must be set at the head of a corpse.",-0.8934,0.0,0.3,0.7,negative,Dubliners
"He had often said to me: ""I am not long for this world,"" and I had thought his words idle.",0.0,0.0,0.0,1.0,neutral,Dubliners
Now I knew they were true.,0.4215,0.412,0.0,0.588,positive,Dubliners
Every night as I gazed up at the window I said softly to myself the word paralysis.,0.0,0.0,0.0,1.0,neutral,Dubliners
"It had always sounded strangely in my ears, like the word gnomon in the Euclid and the word simony in the Catechism.",0.0772,0.101,0.089,0.81,positive,Dubliners
But now it sounded to me like the name of some maleficent and sinful being.,-0.3919,0.154,0.232,0.615,negative,Dubliners
"It filled me with fear, and yet I longed to be nearer to it and to look upon its deadly work.",-0.4939,0.0,0.144,0.856,negative,Dubliners
"Old Cotter was sitting at the fire, smoking, when I came downstairs to supper.",-0.34,0.0,0.167,0.833,negative,Dubliners
"While my aunt was ladling out my stirabout he said, as if returning to some former remark of his: ""No, I wouldn't say he was exactly ... but there was something queer ... there was something uncanny about him.",0.0,0.0,0.0,1.0,neutral,Dubliners
"I'll tell you my opinion...."" He began to puff at his pipe, no doubt arranging his opinion in his mind.",-0.5719,0.0,0.207,0.793,negative,Dubliners
Tiresome old fool!,-0.4926,0.0,0.615,0.385,negative,Dubliners
"When we knew him first he used to be rather interesting, talking of faints and worms; but I soon grew tired of him and his endless stories about the distillery.",-0.4588,0.057,0.118,0.826,negative,Dubliners
"""I have my own theory about it,"" he said.",0.0,0.0,0.0,1.0,neutral,Dubliners
"""I think it was one of those ... peculiar cases....",0.1531,0.151,0.0,0.849,positive,Dubliners
"But it's hard to say...."" He began to puff again at his pipe without giving us his theory.",-0.486,0.0,0.206,0.794,negative,Dubliners
"My uncle saw me staring and said to me: ""Well, so your old friend is gone, you'll be sorry to hear.""",0.4877,0.146,0.055,0.8,positive,Dubliners
"""Who?""",0.0,0.0,0.0,1.0,neutral,Dubliners
said I.,0.0,0.0,0.0,1.0,neutral,Dubliners
"""Father Flynn.""",0.0,0.0,0.0,1.0,neutral,Dubliners
"""Is he dead?""",0.0,0.0,0.0,1.0,neutral,Dubliners
"""Mr Cotter here has just told us.",0.0,0.0,0.0,1.0,neutral,Dubliners
"He was passing by the house.""",0.0,0.0,0.0,1.0,neutral,Dubliners
I knew that I was under observation so I continued eating as if the news had not interested me.,-0.3089,0.0,0.131,0.869,negative,Dubliners
My uncle explained to old Cotter.,0.0,0.0,0.0,1.0,neutral,Dubliners
"""The youngster and he were great friends.",0.802,0.59,0.0,0.41,positive,Dubliners
"The old chap taught him a great deal, mind you; and they say he had a great wish for him.""",0.8979,0.421,0.0,0.579,positive,Dubliners
"""God have mercy on his soul,"" said my aunt piously.",0.5574,0.365,0.0,0.635,positive,Dubliners
Old Cotter looked at me for a while.,0.0,0.0,0.0,1.0,neutral,Dubliners
